 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
1,cpt1m012-fa06-20200224-0068-e91.fits,1,0,58904.29657,2458904.296568,NaN,NaN,NaN,2458904.302476,NaN,1.978502,8.703327,14,30,45,0.199128,0.335685,0.683901,0.521001,0.000544,0.000817,0.001404,0.001113,366.285376,410.981819,487.156433,468.188458,1479978.384,1505.784013,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406485,294704.8805,615.75216,746.617992,394.719768,6620.078125,478.609576,354.419186,3058,6.18347,9.531338,9.459757,9.602919,69.818098,0.999611,20.141785,1446.722733,2548.649938,1447.222733,1547.850062,11.042343,-16.402812,371949.2313,796.958807,466.710736,8023.100098,604.056722,355.278238,7.905209,10.165831,9.735591,10.596071,65.112257,0.982881,20.767805,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400616,601079.7091,931.537331,645.255632,12893.40723,976.171499,360.127393,11.146101,11.181107,13.007719,9.354495,359.855255,0.898722,20.574679,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352147,506949.444,874.345672,579.804373,11177.17871,823.301122,348.054171,9.578527,10.718782,12.135408,9.302157,354.917616,0.930341,20.083081
2,cpt1m012-fa06-20200224-0069-e91.fits,2,0,58904.29769,2458904.297694,NaN,NaN,NaN,2458904.303602,NaN,1.958564,10.421685,14,30,45,0.198698,0.334048,0.686911,0.520676,0.000541,0.000811,0.001404,0.001108,367.423601,411.663529,489.224936,469.823835,1488606.858,1508.984715,1936.638261,2510.720994,1937.138261,1585.779006,11.046038,-16.406485,295783.0231,615.75216,747.098731,395.908881,7920.746094,480.360512,353.972959,2966,5.998561,9.043301,9.1488,8.937802,20.234881,0.99906,16.595408,1446.722733,2548.649938,1447.222733,1547.850062,11.042346,-16.402816,372749.6814,798.031743,467.086284,9815.734375,605.356677,355.361307,8.094691,9.664038,9.247705,10.080371,61.473965,0.974996,16.816197,1215.988323,2570.775155,1216.488323,1525.724845,11.040607,-16.400621,606161.4109,934.031807,648.972986,15997.1875,984.424335,359.549173,10.017681,10.340304,11.962948,8.71766,358.273743,0.905835,16.497994,1418.276025,3016.440249,1418.776025,1080.059751,11.042103,-16.352151,509695.7654,876.221884,581.697142,13399.5166,827.76123,346.977269,8.872479,10.150277,11.508687,8.791867,357.639263,0.930386,16.565336
3,cpt1m012-fa06-20200224-0070-e91.fits,3,0,58904.29882,2458904.298816,NaN,NaN,NaN,2458904.304724,NaN,1.939167,11.262354,14,30,45,0.199155,0.335658,0.689249,0.516699,0.000544,0.000817,0.001416,0.001107,365.921313,410.642994,486.73982,466.706096,1474352.995,1502.218336,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406432,293624.4507,615.75216,744.56766,394.355633,6471.148926,476.854926,351.63336,2981,6.569086,9.788754,9.695252,9.882255,51.018702,0.99161,20.576196,1446.722733,2548.649938,1447.222733,1547.850062,11.042345,-16.402764,370513.0813,794.314991,466.45611,8043.700684,601.724371,351.478387,8.176463,10.616022,9.800601,11.431443,64.554779,0.941386,20.509879,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.40057,601566.7608,931.432362,645.851256,13396.55957,976.962485,356.505654,10.601027,10.988386,12.355137,9.621635,352.868322,0.93611,19.150092,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352098,502273.1528,870.722331,576.846527,10908.89356,815.706684,344.33701,9.281156,10.678579,11.724635,9.632522,349.783104,0.957116,20.173373
4,cpt1m012-fa06-20200224-0071-e91.fits,4,0,58904.29993,2458904.299932,NaN,NaN,NaN,2458904.305840,NaN,1.920333,11.388649,14,30,45,0.198675,0.336377,0.686828,0.517728,0.000538,0.000809,0.001396,0.001097,369.595373,415.780212,491.991265,472.091479,1490466.898,1501.769326,1936.638261,2510.720994,1937.138261,1585.779006,11.046034,-16.40648,296117.9684,615.75216,743.567537,398.239506,7529.269531,480.904474,344.406504,3030,5.926897,8.87884,8.727895,9.029785,270.422998,0.998844,17.766878,1446.722733,2548.649938,1447.222733,1547.850062,11.042342,-16.402812,375162.8155,793.91062,472.550443,9004.432617,609.275679,344.90464,7.590128,9.655202,9.037026,10.273379,72.719863,0.97602,19.122565,1215.988323,2570.775155,1216.488323,1525.724845,11.040603,-16.400618,606875.2159,930.753324,652.025838,14895.53223,985.583576,350.015783,10.810848,10.693725,12.588463,8.798987,357.267598,0.880873,18.230417,1418.276025,3016.440249,1418.776025,1080.059751,11.042099,-16.352149,508428.8662,871.042643,583.701464,12449.42481,825.703748,337.737624,9.964369,10.53093,12.28487,8.776989,357.895582,0.894383,18.273858
5,cpt1m012-fa06-20200224-0072-e91.fits,5,0,58904.30105,2458904.301047,NaN,NaN,NaN,2458904.306955,NaN,1.901927,11.548102,14,30,45,0.198236,0.337037,0.685924,0.51761,0.000536,0.00081,0.001393,0.001096,369.772129,416.08773,492.297983,472.271279,1491803.028,1502.316124,1936.638261,2510.720994,1937.138261,1585.779006,11.046034,-16.406451,295729.166,615.75216,742.242703,398.426505,8224.083008,480.273047,344.782871,3020,5.679901,8.780112,8.619656,8.940567,85.853223,0.998637,16.146646,1446.722733,2548.649938,1447.222733,1547.850062,11.042342,-16.402782,376050.2729,795.145034,472.932933,9983.234375,610.716937,345.591443,8.009288,9.7049,8.83874,10.57106,75.802507,0.959475,16.59448,1215.988323,2570.775155,1216.488323,1525.724845,11.040603,-16.400587,606944.9856,930.149641,652.524023,16522.71484,985.696884,349.346496,11.344272,10.737507,12.838286,8.636728,355.822347,0.854904,15.809969,1418.276025,3016.440249,1418.776025,1080.059751,11.042099,-16.35212,508807.7694,871.504307,583.827028,13251.47363,826.319098,338.122884,9.770297,10.411483,12.155158,8.667808,352.626074,0.886489,17.268486
6,cpt1m012-fa06-20200224-0073-e91.fits,6,0,58904.30217,2458904.302167,NaN,NaN,NaN,2458904.308075,NaN,1.883826,11.801463,14,30,45,0.199011,0.335558,0.685685,0.519713,0.000537,0.000809,0.001394,0.0011,370.298048,414.890903,491.808631,472.448562,1488066.453,1499.84644,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406469,296141.4907,615.75216,741.948367,399.140296,8130.33252,480.942674,342.851355,3063,5.857794,9.0469,8.955083,9.138717,78.580228,0.999515,16.019074,1446.722733,2548.649938,1447.222733,1547.850062,11.042343,-16.402797,373876.0117,793.511936,471.16621,9954.274414,607.185871,342.976786,7.851204,9.686914,8.984634,10.389195,74.138906,0.971246,16.193815,1215.988323,2570.775155,1216.488323,1525.724845,11.040604,-16.400601,605299.6543,928.852338,651.664026,15838.37598,983.024817,348.063043,11.46512,10.858495,12.874778,8.842211,355.677492,0.868143,16.374393,1418.276025,3016.440249,1418.776025,1080.059751,11.0421,-16.352132,508890.7871,870.121535,584.850238,13832.37793,826.453921,335.560192,10.483632,10.496071,12.225569,8.766573,353.365805,0.891338,15.640721
7,cpt1m012-fa06-20200224-0074-e91.fits,7,0,58904.30329,2458904.303288,NaN,NaN,NaN,2458904.309196,NaN,1.86619,11.40341,14,30,45,0.198617,0.334742,0.688497,0.518491,0.000535,0.000804,0.001394,0.001094,371.336197,416.422368,493.859888,473.947034,1488564.904,1494.558835,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406474,295654.7238,615.75216,738.785368,400.190281,6654.802734,480.15215,335.015177,3051,6.379321,9.480661,9.46502,9.496303,46.898033,0.997516,20.307605,1446.722733,2548.649938,1447.222733,1547.850062,11.042345,-16.402801,373319.1073,789.456355,472.881249,8445.916992,606.281442,336.234792,8.156007,10.154096,9.650467,10.657724,63.464447,0.972875,19.395941,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.400604,606973.34,926.708132,654.977893,13819.61523,985.742932,339.781346,10.130842,10.946024,12.575158,9.316889,359.606805,0.915177,18.586775,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352137,508272.457,866.992972,586.247494,11233.70801,825.449734,328.831006,9.146008,10.697706,12.171443,9.223969,1.370534,0.92672,20.196629
8,cpt1m012-fa06-20200224-0075-e91.fits,8,0,58904.30441,2458904.304407,NaN,NaN,NaN,2458904.310315,NaN,1.84894,11.243197,14,30,45,0.199313,0.337148,0.682377,0.520352,0.000532,0.000803,0.001377,0.001093,374.475319,419.771512,495.395338,476.109181,1489026.361,1488.787614,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406546,296781.6493,615.75216,734.879104,403.850984,7196.717773,481.982311,326.764383,2987,6.087712,9.216263,9.119951,9.312576,71.58365,0.999318,18.767839,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402882,375442.4225,786.307781,477.475146,8743.582031,609.729769,327.701802,6.427521,9.60839,9.348222,9.868558,59.150344,0.986972,19.38676,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.400689,603953.4926,921.95332,655.080338,14519.36035,980.83861,332.122935,10.954923,10.824794,12.354286,9.295302,12.099528,0.907736,18.049748,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352224,509630.446,864.99174,589.173772,11652.15234,827.655149,321.156323,10.099221,10.657626,11.971242,9.344009,11.588423,0.93023,19.721954
9,cpt1m012-fa06-20200224-0076-e91.fits,9,0,58904.30553,2458904.305525,NaN,NaN,NaN,2458904.311433,NaN,1.832072,11.751811,14,30,45,0.198839,0.336778,0.686311,0.51763,0.000532,0.000803,0.001385,0.001089,373.4631,419.281581,495.35828,475.336392,1488403.558,1489.120266,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406428,295952.5049,615.75216,735.059072,402.62411,7129.505859,480.635756,328.406376,2982,6.463597,9.398323,9.281758,9.514889,69.058149,0.99889,18.513753,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402757,374977.116,786.430218,476.80914,8934.204102,608.974097,328.498128,8.87166,10.313772,9.464605,11.162938,71.958648,0.959042,18.355908,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.400561,605764.6558,923.313397,656.07697,14437.21289,983.779993,331.8991,10.732408,10.969411,12.665941,9.272881,349.62636,0.895643,18.075708,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352098,507661.7867,864.001765,587.570312,12126.14356,824.457987,321.410232,9.696381,10.791604,12.375913,9.207295,349.476702,0.905155,18.090334
10,cpt1m012-fa06-20200224-0077-e91.fits,10,0,58904.30664,2458904.306644,NaN,NaN,NaN,2458904.312552,NaN,1.815565,11.30941,14,30,45,0.19871,0.335015,0.685227,0.52079,0.000531,0.000799,0.00138,0.001092,374.151068,419.486503,496.372461,477.081008,1493788.184,1491.070524,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406474,296830.3191,615.75216,735.93884,403.33558,7546.458984,482.061352,329.554727,3094,6.137436,9.317221,9.427112,9.20733,345.312949,0.999267,17.098262,1446.722733,2548.649938,1447.222733,1547.850062,11.042345,-16.402805,374858.2882,786.396915,476.678228,8851.646484,608.781118,330.060555,8.39799,10.099787,9.680022,10.519553,62.887739,0.979853,18.942206,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.400611,607386.3383,924.517749,656.976396,14994.45996,986.413654,334.360129,10.037228,10.735365,12.484613,8.986116,352.689027,0.892362,17.330646,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352147,511543.5574,866.105151,590.625234,12398.8418,830.7621,323.085732,8.913176,10.464846,11.94638,8.983311,355.176781,0.920722,17.886642
11,cpt1m012-fa06-20200224-0078-e91.fits,11,0,58904.30776,2458904.307763,NaN,NaN,NaN,2458904.313671,NaN,1.799424,12.240796,14,30,45,0.196905,0.335582,0.687898,0.517888,0.000533,0.000806,0.001394,0.001093,369.561187,416.572,493.4688,473.759757,1481554.639,1488.295918,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406431,291725.6488,615.75216,732.971247,398.004219,5711.87207,473.771215,329.77559,3086,7.149818,10.242474,10.224214,10.260735,47.068543,0.997557,22.802903,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.40276,372259.5155,786.644048,473.224855,7229.390625,604.560633,330.589636,9.277275,11.038074,10.361034,11.715114,66.798378,0.96859,22.978531,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400565,603803.4371,923.227272,654.013866,11215.24805,980.594915,333.916446,11.087755,11.601116,13.212671,9.989561,349.32374,0.914352,23.717386,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352104,505491.6864,862.477411,586.092668,9469.444336,820.933679,322.650266,10.138927,11.366447,12.744845,9.988049,348.633169,0.932838,23.802813
12,cpt1m012-fa06-20200224-0079-e91.fits,12,0,58904.30888,2458904.308880,NaN,NaN,NaN,2458904.314788,NaN,1.783571,12.015377,14,30,45,0.197986,0.333906,0.68562,0.521912,0.000534,0.000803,0.00139,0.001101,371.103577,416.0082,493.336507,474.14083,1480584.892,1487.49027,1936.638261,2510.720994,1937.138261,1585.779006,11.046037,-16.406485,293135.0238,615.75216,732.947324,399.940097,6399.641113,476.060082,329.356203,2985,5.766943,10.121438,10.278691,9.964184,28.772173,0.996649,19.432179,1446.722733,2548.649938,1447.222733,1547.850062,11.042347,-16.402818,370622.8067,784.637673,472.348983,8064.773926,601.902568,330.941194,6.710001,10.690139,10.379932,11.000346,55.842208,0.975371,18.97689,1215.988323,2570.775155,1216.488323,1525.724845,11.040608,-16.400624,602222.7261,921.550668,653.488459,12662.70703,978.027793,334.497248,11.859024,11.419298,13.045175,9.79342,1.546516,0.921875,19.94744,1418.276025,3016.440249,1418.776025,1080.059751,11.042104,-16.352166,507739.3593,864.705379,587.181914,10776.45313,824.583968,322.998678,11.484743,11.315254,12.642458,9.98805,3.04431,0.945843,19.489303
13,cpt1m012-fa06-20200224-0080-e91.fits,13,0,58904.31,2458904.310001,NaN,NaN,NaN,2458904.315909,NaN,1.76813,11.437688,14,30,45,0.198367,0.335248,0.6818,0.523288,0.000527,0.000795,0.001366,0.001089,376.656423,421.947248,499.045233,480.395955,1504484.722,1492.983536,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.40645,298439.877,615.75216,734.909896,406.090432,7806.895508,484.675323,326.156977,3052,6.195732,9.011799,9.003804,9.019794,45.742061,0.995307,17.277431,1446.722733,2548.649938,1447.222733,1547.850062,11.042345,-16.40278,377739.4601,787.828023,479.469439,10189.74805,613.460227,327.574696,8.147859,9.792469,9.146381,10.438557,65.339543,0.959372,16.040528,1215.988323,2570.775155,1216.488323,1525.724845,11.040606,-16.400584,609916.452,924.648209,659.62,16831.38477,990.522635,331.571875,10.347414,10.531858,12.341178,8.722539,354.573356,0.884523,15.403454,1418.276025,3016.440249,1418.776025,1080.059751,11.042102,-16.352122,516828.8096,867.958832,595.453138,13390.45117,839.345508,319.550731,9.044373,10.337092,11.817178,8.857006,353.254657,0.916725,16.99221
14,cpt1m012-fa06-20200224-0081-e91.fits,14,0,58904.31112,2458904.311119,NaN,NaN,NaN,2458904.317027,NaN,1.752966,11.367198,14,30,45,0.197699,0.335722,0.686408,0.518915,0.000528,0.000797,0.001379,0.001086,374.584219,420.993123,497.921662,477.965319,1498791.564,1491.857399,1936.638261,2510.720994,1937.138261,1585.779006,11.046034,-16.406448,296310.0123,615.75216,733.996316,403.694141,8333.405273,481.216359,327.438361,3048,5.964061,8.828921,8.748384,8.909458,69.60009,0.999419,15.90833,1446.722733,2548.649938,1447.222733,1547.850062,11.042343,-16.402779,376707.7272,787.193427,478.545316,10969.82227,611.784662,328.2925,8.416546,9.742937,8.938843,10.547031,70.820465,0.956287,14.659354,1215.988323,2570.775155,1216.488323,1525.724845,11.040604,-16.400585,610043.4757,924.949708,659.54232,17258.08789,990.728925,331.647308,10.489671,10.563927,12.372181,8.755672,353.072382,0.882648,15.075099,1418.276025,3016.440249,1418.776025,1080.059751,11.0421,-16.352123,512040.3614,866.275388,591.082661,14539.49414,831.568924,322.005453,9.160824,10.223621,11.718518,8.728724,351.146491,0.909665,15.093466
15,cpt1m012-fa06-20200224-0082-e91.fits,15,0,58904.31224,2458904.312235,NaN,NaN,NaN,2458904.318143,NaN,1.738229,11.658733,14,30,45,0.197335,0.336506,0.685221,0.518866,0.000524,0.000795,0.00137,0.00108,376.607542,423.409379,500.125875,480.217013,1494412.651,1480.559832,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406444,294899.2417,615.75216,726.493542,405.921353,7434.875977,478.925225,314.54103,3075,6.220436,9.368628,9.179451,9.557805,270.545221,0.99837,17.141954,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402775,376263.3913,781.426075,481.50862,9352.984375,611.063047,315.35172,8.665719,10.134921,9.32103,10.948811,73.900122,0.964435,17.351105,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400581,607637.1822,917.871493,662.006814,15640.98242,986.821032,318.522867,10.697502,10.821703,12.426823,9.216582,349.546002,0.903452,16.158949,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352118,510512.077,859.617723,593.88268,12339.11133,829.086945,309.001873,9.684078,10.650475,12.116225,9.184726,348.174529,0.913034,18.126774
16,cpt1m012-fa06-20200224-0083-e91.fits,16,0,58904.31335,2458904.313353,NaN,NaN,NaN,2458904.319261,NaN,1.723689,11.086873,14,30,45,0.197299,0.333774,0.687731,0.520366,0.000521,0.000786,0.001368,0.001077,378.447746,424.553245,502.889738,483.074755,1507347.167,1485.486017,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406472,297397.3913,615.75216,729.135037,407.876972,8768.060547,482.982295,314.822064,3052,5.891539,8.891858,8.735146,9.04857,86.879081,0.998743,14.411624,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402806,377210.1512,782.128487,482.28668,10338.94629,612.600614,314.803388,8.301951,9.774411,9.15877,10.390053,63.852766,0.957912,15.739097,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400612,614226.8202,922.093689,666.121922,16234.18164,997.522802,319.731851,9.645388,10.341836,11.888956,8.794715,352.902473,0.908878,16.577086,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352149,515910.1952,862.952471,597.843117,13380.74219,837.853651,309.081627,8.84988,10.228215,11.577976,8.878453,353.412819,0.929019,17.171498
17,cpt1m012-fa06-20200224-0084-e91.fits,17,0,58904.31447,2458904.314469,NaN,NaN,NaN,2458904.320377,NaN,1.709542,12.773214,14,30,45,0.197747,0.335755,0.683948,0.520873,0.000528,0.000798,0.001376,0.00109,374.764266,420.594237,497.186921,477.859547,1481843.404,1476.547627,1936.638261,2510.720994,1937.138261,1585.779006,11.046032,-16.406435,293029.7358,615.75216,725.341517,403.988644,5475.47998,475.889091,313.746697,3032,6.803003,10.167098,10.104541,10.229655,65.513324,0.999649,24.339415,1446.722733,2548.649938,1447.222733,1547.850062,11.042342,-16.402765,372475.346,779.049488,478.115128,6974.549316,604.911148,314.389713,8.987944,10.932197,10.098058,11.766336,83.431913,0.975728,23.78467,1215.988323,2570.775155,1216.488323,1525.724845,11.040603,-16.40057,601861.848,914.946507,657.810969,11401.53418,977.441716,318.336041,12.462775,12.028439,14.046498,10.010381,352.143833,0.885059,23.088903,1418.276025,3016.440249,1418.776025,1080.059751,11.042099,-16.352112,507506.2102,857.990489,591.505637,9428.542969,824.205327,308.55699,11.75226,11.825635,13.583758,10.067513,350.671641,0.905723,24.12083
18,cpt1m012-fa06-20200224-0085-e91.fits,18,0,58904.31559,2458904.315588,NaN,NaN,NaN,2458904.321496,NaN,1.695648,11.77477,14,30,45,0.198149,0.336688,0.684507,0.51921,0.000522,0.00079,0.001363,0.001076,379.806409,426.04126,502.233304,482.535459,1501894.803,1480.983792,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406471,297598.5471,615.75216,726.525862,409.618656,8152.438965,483.308978,310.473377,3050,5.617806,9.007189,8.843154,9.171223,289.556231,0.997798,15.797768,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402802,378300.5567,780.274611,484.830022,9973.300781,614.371465,311.533656,7.550964,9.688098,8.955137,10.42106,78.947924,0.973631,16.52903,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400607,610301.9213,919.136936,663.994555,16710.26367,991.148649,316.071985,10.720567,10.762544,12.563878,8.96121,353.879475,0.888981,15.131285,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352146,513292.3249,860.041752,596.822565,13386.95606,833.602151,305.808307,10.436529,10.647483,12.168551,9.126416,352.884081,0.916557,16.141551
19,cpt1m012-fa06-20200224-0086-e91.fits,19,0,58904.31671,2458904.316708,NaN,NaN,NaN,2458904.322617,NaN,1.681991,11.58093,14,30,45,0.196844,0.343027,0.680498,0.514345,0.000515,0.000793,0.001343,0.001059,382.161769,432.792471,506.545782,485.81766,1516402.851,1481.894151,1936.638261,2510.720994,1937.138261,1585.779006,11.046034,-16.406454,298494.6719,615.75216,724.554109,411.970159,8764.699219,484.764311,305.932645,3027,5.42432,8.710633,8.495015,8.92625,85.998776,0.997504,15.163152,1446.722733,2548.649938,1447.222733,1547.850062,11.042343,-16.402786,387309.3404,784.094009,493.957785,11305.61231,629.002,306.595092,7.742369,10.104682,9.863313,10.34605,66.934174,0.995253,14.706638,1215.988323,2570.775155,1216.488323,1525.724845,11.040604,-16.400591,614049.3912,918.100332,668.82602,18569.85156,997.234652,309.849023,10.672921,10.456244,12.193874,8.718613,351.339273,0.885218,13.8445,1418.276025,3016.440249,1418.776025,1080.059751,11.0421,-16.352133,515044.119,859.243062,599.416093,15553.00293,836.447117,301.201203,10.709339,10.352079,12.044904,8.659255,351.474294,0.888992,13.971797
20,cpt1m012-fa06-20200224-0087-e91.fits,20,0,58904.31783,2458904.317827,NaN,NaN,NaN,2458904.323736,NaN,1.66861,11.330035,14,30,45,0.197004,0.334413,0.688872,0.518614,0.000523,0.000789,0.001373,0.001078,376.947726,423.732521,501.564819,481.265444,1506487.017,1488.877029,1936.638261,2510.720994,1937.138261,1585.779006,11.046036,-16.406449,296783.727,615.75216,730.658126,406.186856,7784.615234,481.985686,319.224197,2993,6.032442,9.150679,9.127531,9.173826,47.350933,0.996191,16.940352,1446.722733,2548.649938,1447.222733,1547.850062,11.042346,-16.402779,377535.5725,784.012172,481.542999,10060.08106,613.129108,320.028404,8.550833,10.054924,9.353513,10.756335,63.913268,0.948746,15.98557,1215.988323,2570.775155,1216.488323,1525.724845,11.040607,-16.400583,614479.194,924.369688,664.754808,15138.00293,997.932665,323.754524,9.906869,10.522212,11.986426,9.057998,351.541881,0.918564,17.936167,1418.276025,3016.440249,1418.776025,1080.059751,11.042103,-16.35213,514472.2507,864.650451,595.006052,13223.07227,835.518386,313.949771,9.249067,10.388135,11.813923,8.962348,352.386991,0.922031,16.84182
21,cpt1m012-fa06-20200224-0088-e91.fits,21,0,58904.31895,2458904.318946,NaN,NaN,NaN,2458904.324855,NaN,1.655552,11.776433,14,30,45,0.198275,0.333509,0.689803,0.519032,0.000522,0.000785,0.001371,0.001075,379.977606,424.665143,502.985339,482.981183,1503525.2,1481.522599,1936.638261,2510.720994,1937.138261,1585.779006,11.046034,-16.406451,298112.1646,615.75216,727.48396,409.785206,7808.01123,484.143108,311.694618,3088,5.645179,9.097894,8.805138,9.39065,76.392985,0.994774,16.603747,1446.722733,2548.649938,1447.222733,1547.850062,11.042343,-16.40278,376030.001,779.422503,482.446939,9505.106445,610.684014,312.49597,6.939874,9.781435,8.855054,10.707816,78.073262,0.957866,17.232046,1215.988323,2570.775155,1216.488323,1525.724845,11.040604,-16.400584,613761.6612,920.954519,666.440794,15809.61621,996.76737,316.023512,11.810441,11.127194,13.171383,9.083005,355.882431,0.871026,16.669383,1418.276025,3016.440249,1418.776025,1080.059751,11.0421,-16.352118,513733.5378,859.79797,597.504944,12730.58301,834.318694,305.276789,11.380201,10.876675,12.571621,9.18173,355.087006,0.904638,17.587452
22,cpt1m012-fa06-20200224-0089-e91.fits,22,0,58904.3201,2458904.320101,NaN,NaN,NaN,2458904.326010,NaN,1.642298,11.378923,14,30,45,0.197475,0.334626,0.687525,0.519427,0.000518,0.000783,0.001361,0.001071,381.42035,427.272071,504.978614,484.968202,1506280.722,1477.887649,1936.638261,2510.720994,1937.138261,1585.779006,11.046035,-16.406494,297452.3351,615.75216,723.186783,411.307759,8015.976074,483.071525,304.783672,3063,5.65918,9.075481,8.95439,9.196573,272.471287,0.999283,16.097135,1446.722733,2548.649938,1447.222733,1547.850062,11.042344,-16.402826,377664.6899,777.418824,485.793086,9772.915039,613.338798,305.232979,7.952542,9.830967,9.246375,10.41556,70.690286,0.976993,16.613422,1215.988323,2570.775155,1216.488323,1525.724845,11.040605,-16.400632,613683.1217,918.068265,668.450425,16392.2793,996.63982,309.196377,10.620893,10.705448,12.374136,9.03676,356.871731,0.906257,15.641319,1418.276025,3016.440249,1418.776025,1080.059751,11.042101,-16.352175,514932.9108,858.441924,599.845949,13327.44531,836.266511,300.09057,9.506645,10.468864,11.890529,9.0472,354.568251,0.926262,16.423632
