Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,Variance_C8
elp1m008-fa05-20201118-0373-e91.fits,1,0,59172.85776,2459172.858,2459172.860264,1.73503,33.573948,28,53,80,0.09016,0.057637,0.081231,0.057756,0.072583,0.687638,1.004984,0.100475,0.000274,0.000259,0.00027,0.000261,0.000267,0.000815,0.001187,0.0003,329.153059,222.157994,300.726095,221.259551,272.229386,843.212797,846.45099,334.840028,5525024.619,3262.334614,2003.298422,2039.176556,2003.798422,2057.323444,10.108044,74.827815,498134.5093,2463.00864,1484.524763,335.551499,1436.097168,202.246351,552.96834,9710,33.463687,27.447076,27.887507,27.006645,355.801284,0.998948,36962.053,1863.769386,1925.36038,1864.269386,2171.13962,10.111825,74.840447,318446.1299,1421.035712,224.094389,1107.11438,129.29152,551.746525,33.549552,27.415413,28.41122,26.419606,359.721244,0.994736,15334.10382,1892.496379,1754.071258,1892.996379,2342.428742,10.110934,74.858915,448802.9946,1468.681437,305.582261,1326.655884,182.217385,553.621335,33.6764,27.68136,27.983643,27.379077,20.498109,0.999163,28947.26785,1685.275253,1709.255246,1685.775253,2387.244754,10.116633,74.864215,319101.8811,1429.845087,223.172345,1108.405029,129.55776,555.836837,33.585856,26.652832,27.400545,25.905119,8.932847,0.99653,17108.09515,1705.164324,2269.284223,1705.664324,1827.215777,10.116384,74.803579,401022.1623,1453.948312,275.815969,1245.992798,162.818009,554.075858,33.355012,26.901702,27.50119,26.302214,357.672346,0.998002,25757.06861,1451.091751,1456.609057,1451.591751,2639.890943,10.122979,74.892021,2251202.929,1993.710856,1129.152165,4214.643066,914.005291,557.054876,33.883014,27.52308,27.805507,27.240653,19.796536,0.999291,731178.6025,1936.781206,2378.692009,1937.281206,1717.807991,10.110074,74.791234,2769379.445,2117.484756,1307.862754,5133.719238,1124.388847,554.418066,33.356643,27.177663,27.756719,26.598607,358.273191,0.998179,1160231.423,2766.180327,1569.349828,2766.680327,2527.150172,10.086673,74.876644,504442.2453,1477.904755,341.322567,1424.921387,204.807339,543.921184,33.72142,27.261037,27.594457,26.927617,338.386619,0.998873,38900.15703
elp1m008-fa05-20201118-0374-e91.fits,2,0,59172.85911,2459172.859,2459172.861610,1.729703,37.722216,28,53,80,0.090043,0.056983,0.082298,0.058024,0.073714,0.689979,1.004323,0.09968,0.000274,0.00026,0.000271,0.000261,0.000268,0.000819,0.001188,0.0003,328.075736,219.154117,303.187094,222.148538,275.543232,842.091078,845.070387,332.285415,5511653.978,3259.932925,2002.757161,2038.702829,2003.257161,2057.797171,10.107583,74.826824,496283.6024,2463.00864,1483.958043,334.432368,1355.805786,201.494869,552.323831,9769,33.470182,27.549325,28.442586,26.656063,2.673455,0.995767,34706.48306,1863.284006,1924.927414,1863.784006,2171.572586,10.111361,74.839458,314070.5902,1421.013491,221.018725,1070.733765,127.515018,552.27789,33.72061,27.351141,28.654812,26.047471,2.716174,0.990872,14388.84698,1892.03361,1753.876315,1892.53361,2342.623685,10.110468,74.857899,453600.722,1471.85658,308.182691,1253.295898,184.165299,553.137191,33.595694,28.010622,28.796357,27.224887,10.738434,0.996371,27218.84254,1684.763066,1708.872179,1685.263066,2387.627821,10.116167,74.863228,319807.4094,1427.129894,224.091311,1084.019775,129.844209,556.178081,33.593799,26.907686,28.220979,25.594393,7.431851,0.989849,16038.06516,1704.856519,2269.004388,1705.356519,1827.495612,10.115919,74.802581,406286.8146,1454.780623,279.277032,1248.40625,164.955497,553.411458,33.024484,27.200255,28.209303,26.191207,5.448248,0.994307,24528.35994,1450.673728,1456.281111,1451.173728,2640.218889,10.122506,74.891039,2250280.434,1993.276357,1128.935497,4026.94458,913.630751,556.592121,33.898892,27.724248,28.463461,26.985035,14.175676,0.996334,681651.0895,1936.334051,2378.32815,1936.834051,1718.17185,10.109614,74.790235,2761771.234,2115.978273,1305.198295,4791.432617,1121.299856,554.240729,33.237218,27.349217,28.471216,26.227218,3.076849,0.993212,1075111.913,2765.725873,1568.99553,2766.225873,2527.50447,10.086206,74.875603,499602.3095,1475.346734,338.633826,1401.851196,202.842289,543.706566,33.662903,27.448916,28.227205,26.670628,350.798768,0.996434,35317.6797
elp1m008-fa05-20201118-0375-e91.fits,3,0,59172.86045,2459172.86,2459172.862952,1.724432,37.91552,28,53,80,0.090203,0.057263,0.081785,0.057944,0.073027,0.688761,1.003977,0.100301,0.000273,0.000259,0.00027,0.000261,0.000266,0.000816,0.001185,0.0003,329.924792,220.986076,302.811862,222.367908,274.592581,844.17079,847.320754,334.888441,5524417.352,3258.897818,2002.899277,2039.101394,2003.399277,2057.398606,10.108059,74.827719,498317.2341,2463.00864,1481.514151,336.356716,1460.924683,202.320538,549.809279,9695,33.049216,27.022742,27.712416,26.333068,359.619558,0.997397,40177.9608,1863.51661,1925.373856,1864.01661,2171.126144,10.111837,74.840339,316342.0632,1419.28657,222.888083,1149.287598,128.437253,548.555091,33.392449,27.114285,28.117984,26.110585,1.838913,0.994511,16342.70753,1892.123058,1754.142472,1892.623058,2342.357528,10.110951,74.858802,451813.6009,1468.062315,307.761868,1385.703125,183.439714,550.847009,33.234733,27.367955,27.87988,26.85603,8.737106,0.998463,31565.25695,1685.129059,1709.366293,1685.629059,2387.133707,10.116644,74.864092,320105.5755,1427.092386,224.306134,1167.255737,129.965267,553.472047,33.232293,26.319951,27.205916,25.433986,9.33218,0.994962,18364.38352,1704.869596,2269.30988,1705.369596,1827.19012,10.116395,74.803464,403432.7794,1449.801642,278.26757,1340.12207,163.796737,550.989072,32.899729,26.541132,27.263798,25.818466,6.675157,0.996872,28337.90368,1450.88354,1456.654132,1451.38354,2639.845868,10.122993,74.8919,2253133.504,1991.970447,1131.107898,4505.620117,914.789119,553.289991,33.642995,27.182521,27.678506,26.686536,17.795956,0.997987,782690.5937,1936.452495,2378.637878,1936.952495,1717.862122,10.110085,74.791134,2767690.224,2115.681506,1308.179051,5674.446289,1123.703011,552.110079,32.818713,26.775852,27.520151,26.031553,359.292573,0.996912,1258389.71,2765.88179,1569.375506,2766.38179,2527.124494,10.086689,74.876557,503593.6233,1475.249299,341.36171,1471.519287,204.462792,541.486791,33.331815,26.839334,27.245627,26.43304,340.327587,0.998468,41772.62776
elp1m008-fa05-20201118-0376-e91.fits,4,0,59172.8618,2459172.862,2459172.864303,1.719156,38.300721,28,53,80,0.090396,0.056466,0.081842,0.057678,0.073467,0.692502,1.000786,0.09968,0.000276,0.000261,0.000272,0.000262,0.000269,0.000824,0.001187,0.000302,327.854447,216.33568,300.989657,219.9444,273.524736,840.388718,843.067019,330.218057,5509227.157,3267.165951,2002.627629,2038.925303,2003.127629,2057.574697,10.107548,74.826846,498012.5961,2463.00864,1490.017291,334.232763,1478.159302,202.196853,557.424734,9667,33.352483,27.293319,27.882498,26.70414,354.225893,0.99806,38119.30015,1863.025784,1925.126902,1863.525784,2171.373098,10.11133,74.83947,311084.4987,1426.088035,218.138356,1119.407715,126.302642,556.530412,33.478924,27.081559,28.311655,25.851463,3.36378,0.991667,15537.225,1891.948402,1753.90569,1892.448402,2342.59431,10.110435,74.857927,450888.6789,1473.962852,305.902336,1345.371948,183.064189,558.92274,33.763195,27.593283,27.962252,27.224315,3.311393,0.999275,29803.81,1684.916262,1709.006146,1685.416262,2387.493854,10.116127,74.86323,317762.6911,1432.398413,221.8396,1140.808228,129.014038,561.136095,33.711932,26.659892,27.525253,25.79453,9.3629,0.995311,17160.59408,1704.571214,2269.063205,1705.071214,1827.436795,10.115882,74.802607,404745.839,1460.144003,277.195837,1282.779907,164.329849,557.848873,33.345002,26.759336,27.557716,25.960956,359.698437,0.996445,26954.11793,1450.79533,1456.521783,1451.29533,2639.978217,10.12247,74.891007,2254149.264,1997.025075,1128.753611,4386.704102,915.201525,560.709526,33.946411,27.479006,27.900257,27.057755,14.337804,0.998779,741316.2492,1936.207865,2378.400885,1936.707865,1718.099115,10.109573,74.790278,2755695.72,2117.415369,1301.443146,5221.929199,1118.833152,559.812703,33.263931,27.060067,27.808422,26.311712,357.69061,0.996925,1177184.24,2765.878524,1569.136562,2766.378524,2527.363438,10.086176,74.875671,499382.1726,1484.188786,336.468094,1471.479858,202.752911,551.092138,33.628372,27.146326,27.583203,26.709448,338.308659,0.99804,38958.5433
elp1m008-fa05-20201118-0377-e91.fits,5,0,59172.86315,2459172.863,2459172.865655,1.713959,34.213624,28,53,80,0.090543,0.057383,0.08206,0.058296,0.073392,0.687822,1.00908,0.099167,0.000275,0.00026,0.000272,0.000262,0.000267,0.000818,0.001195,0.0003,329.219929,220.628488,302.028451,222.837203,274.599807,841.263273,844.153221,330.464637,5515198.281,3264.293245,2002.775786,2039.235803,2003.275786,2057.264197,10.108065,74.827716,499360.8896,2463.00864,1487.72602,335.653799,1461.837158,202.74427,553.845123,9789,33.405844,27.202049,27.858765,26.545332,7.182881,0.997519,39899.75054,1863.377586,1925.296209,1863.877586,2171.203791,10.111842,74.840356,316480.56,1422.167295,222.533988,1125.250854,128.493483,553.643397,33.478991,27.048254,27.997699,26.098809,9.674551,0.994477,16574.418,1892.129937,1754.09332,1892.629937,2342.40668,10.110953,74.858813,452576.0286,1474.31828,306.973084,1364.599121,183.749266,555.299006,1.552253,27.460496,27.983837,26.937155,10.832209,0.998319,31173.48373,1685.084746,1709.314796,1685.584746,2387.185204,10.116646,74.864101,321512.9941,1430.211458,224.80102,1145.614014,130.53669,558.152831,33.333832,26.566529,27.53496,25.598098,12.278634,0.993592,18534.56129,1705.003012,2269.40263,1705.503012,1827.09737,10.116392,74.803467,404771.3087,1454.441811,278.300105,1326.251953,164.34019,555.131632,33.186273,26.686519,27.446958,25.926081,8.869055,0.996426,28219.35114,1450.784571,1456.70551,1451.284571,2639.79449,10.122996,74.891894,2247555.222,1994.734947,1126.743794,4369.857422,912.524295,558.778744,33.844673,27.285724,27.741376,26.830071,19.704925,0.998132,780520.113,1936.430287,2378.727418,1936.930287,1717.772582,10.110087,74.79114,2770061.724,2119.626338,1306.863231,5511.411133,1124.665857,556.269903,33.163326,26.943696,27.684579,26.202813,3.091902,0.996945,1242978.431,2766.001339,1569.435303,2766.501339,2527.064697,10.086691,74.876558,497581.3345,1477.777747,336.709181,1474.717529,202.021758,546.914761,33.443075,26.810018,27.250395,26.369642,345.596272,0.998595,41417.08982
elp1m008-fa05-20201118-0378-e91.fits,6,0,59172.8645,2459172.864,2459172.867003,1.708812,38.149436,28,53,80,0.090342,0.057349,0.082213,0.057686,0.07351,0.686308,1.007191,0.100377,0.000276,0.000262,0.000273,0.000263,0.000269,0.000817,0.001195,0.000302,327.723,219.281217,301.645706,219.648652,273.410838,839.546529,842.646349,332.313408,5508182.306,3266.469443,2002.57898,2038.985894,2003.07898,2057.514106,10.108078,74.827743,497622.71,2463.00864,1489.472777,334.093189,1419.511841,202.038556,557.732828,9625,33.871274,27.445485,28.250438,26.640532,359.983988,0.996565,37868.2167,1863.312013,1925.102338,1863.812013,2171.397662,10.111851,74.840369,315889.8326,1428.337553,221.159089,1122.544922,128.253644,557.348057,33.829948,27.366575,28.596712,26.136439,0.281898,0.99195,15457.73145,1891.925079,1754.012981,1892.425079,2342.487019,10.110966,74.858807,452845.8668,1477.036368,306.590871,1347.367554,183.858822,560.253628,34.015562,27.797997,28.256839,27.339154,11.746739,0.998705,29686.02948,1684.801809,1709.246394,1685.301809,2387.253606,10.116659,74.86409,317747.6001,1434.292904,221.536061,1134.505005,129.007911,563.05192,33.88589,26.776766,27.740276,25.813255,1.854677,0.994813,17141.07099,1704.760803,2269.196232,1705.260803,1827.303768,10.116403,74.803496,404906.1033,1461.348043,277.077117,1333.429443,164.394918,559.195112,33.611493,27.108508,28.022284,26.194732,0.805186,0.995462,26336.31721,1450.598326,1456.49533,1451.098326,2640.00467,10.123004,74.891884,2241767.181,1994.519679,1123.96343,4227.472168,910.174306,563.095826,34.131106,27.629914,28.185727,27.0741,11.937058,0.998066,729245.3702,1936.194832,2378.54621,1936.694832,1717.95379,10.1101,74.791174,2763957.848,2119.175402,1304.261009,5447.964355,1122.187638,559.864071,33.650648,27.286735,28.09195,26.481521,358.465295,0.996513,1168232.544,2765.691483,1569.327431,2766.191483,2527.172569,10.086717,74.876556,502457.2767,1483.512549,338.694322,1474.966675,204.001427,548.961302,33.985942,27.366491,27.870191,26.862791,345.465824,0.998227,38570.39671
elp1m008-fa05-20201118-0379-e91.fits,7,0,59172.86585,2459172.866,2459172.868350,1.703717,38.581405,28,53,80,0.090098,0.057306,0.082264,0.057651,0.073199,0.689092,1.007628,0.099063,0.000275,0.00026,0.000271,0.000262,0.000267,0.000819,0.001193,0.0003,328.187804,220.298901,302.998912,220.373939,274.14243,841.859446,844.5172,329.757941,5521317.502,3266.895263,2002.733363,2038.932221,2003.233363,2057.567779,10.108064,74.82774,497460.4385,2463.00864,1486.926902,334.556082,1508.884277,201.972673,554.625194,9575,33.763797,27.49574,28.351533,26.639946,359.765608,0.996132,39074.5278,1863.046368,1925.048738,1863.546368,2171.451262,10.111851,74.840377,316405.2161,1424.000468,222.194601,1122.799561,128.462893,553.520884,33.905044,27.298359,28.555494,26.041224,3.410256,0.991432,16092.20155,1892.017824,1753.940647,1892.517824,2342.559353,10.110955,74.85883,454206.5409,1474.749419,307.988961,1374.018066,184.411266,555.67106,34.033907,27.851477,28.498282,27.204672,11.089837,0.997487,30754.24562,1684.825868,1708.984252,1685.325868,2387.515748,10.116654,74.864138,318308.3992,1432.069629,222.271594,1186.519409,129.2356,558.713409,33.641199,26.615284,27.733004,25.497565,2.748008,0.992905,18219.50957,1704.773313,2269.130472,1705.273313,1827.369528,10.116399,74.80348,404157.0701,1454.735552,277.821677,1378.748413,164.090805,555.460575,33.671454,26.964085,27.913127,26.015043,1.770164,0.995038,27706.92382,1450.572725,1456.385953,1451.072725,2640.114047,10.123005,74.891937,2252510.023,1995.499818,1128.794903,4588.539062,914.535981,558.962807,34.032369,27.501062,28.191578,26.810545,10.830302,0.997084,776781.8704,1936.272746,2378.401938,1936.772746,1718.098062,10.11009,74.791156,2771147.586,2120.424611,1306.883335,5848.779297,1125.106726,556.738035,33.542526,27.218639,28.233438,26.20384,359.448027,0.994453,1228031.095,2765.740666,1569.219362,2766.240666,2527.280638,10.08669,74.876589,497659.8932,1481.34554,335.951255,1445.727661,202.053653,547.85216,33.911508,27.040173,27.695395,26.384952,347.998069,0.997189,41095.52197
elp1m008-fa05-20201118-0380-e91.fits,8,0,59172.86719,2459172.867,2459172.869695,1.698698,34.302319,28,53,80,0.090757,0.056654,0.08149,0.057703,0.073683,0.686565,1.008944,0.099741,0.000273,0.000259,0.00027,0.00026,0.000266,0.000813,0.00119,0.000299,331.995469,219.071891,302.052564,222.039104,276.882196,844.530836,847.56421,333.179962,5540246.7,3265.957903,2002.925105,2038.957935,2003.425105,2057.542065,10.10805,74.827883,502813.5862,2463.00864,1485.231283,338.542281,1546.442505,204.146091,551.846267,9652,33.375432,27.246911,27.863793,26.630029,359.818391,0.997952,41077.50446,1863.440256,1925.160225,1863.940256,2171.339775,10.11183,74.840507,313877.2213,1420.761192,220.921871,1171.256226,127.436508,552.177156,1.901762,27.031194,28.24896,25.813429,4.218232,0.991737,16776.07092,1892.326756,1753.845028,1892.826756,2342.654972,10.110937,74.858979,451476.8213,1470.810672,306.957809,1402.980347,183.302979,554.195832,33.489812,27.491317,28.117672,26.864963,5.219445,0.997855,31907.65764,1685.231899,1709.073835,1685.731899,2387.426165,10.116632,74.864264,319688.4182,1427.397444,223.965946,1203.014771,129.795898,556.648703,33.451598,26.486366,27.501835,25.470898,4.998659,0.993955,18843.35172,1704.786385,2269.164706,1705.286385,1827.335294,10.116387,74.803626,408220.8653,1454.576805,280.645796,1440.074463,165.740736,553.548051,33.27175,26.772864,27.621161,25.924567,4.756047,0.99588,29163.93609,1450.788842,1456.433382,1451.288842,2640.066618,10.122988,74.892061,2255317.092,1994.87023,1130.558298,4740.992188,915.675672,557.231566,33.626377,27.31465,27.842961,26.786339,16.670561,0.997858,802244.3192,1936.452741,2378.536031,1936.952741,1717.963969,10.110075,74.791295,2782456.62,2120.588367,1312.115384,5809.164062,1129.698278,554.314028,33.157259,26.947288,27.763995,26.13058,359.767917,0.996332,1290834.042,2766.027104,1569.264246,2766.527104,2527.235754,10.086678,74.876725,502472.9878,1479.891471,339.533674,1523.801758,204.007806,545.798328,33.563155,26.985939,27.489823,26.482056,348.827928,0.998371,42518.17422
elp1m008-fa05-20201118-0381-e91.fits,9,0,59172.86853,2459172.869,2459172.871037,1.693704,38.115331,28,53,80,0.089838,0.056921,0.081747,0.058089,0.072929,0.689412,1.002303,0.10053,0.000273,0.000259,0.000269,0.00026,0.000265,0.000815,0.001181,0.0003,329.231823,220.070829,303.344622,223.691561,275.661699,845.699008,848.747835,335.639327,5539983.671,3263.023898,2002.865086,2038.981623,2003.365086,2057.518377,10.108104,74.827831,497703.4859,2463.00864,1483.016268,335.602176,1478.255981,202.071352,550.417002,9652,33.776674,27.461367,28.457944,26.46479,3.309419,0.994675,39268.55592,1863.401214,1925.224661,1863.901214,2171.275339,10.111882,74.840447,315341.3282,1420.819841,221.943218,1155.011475,128.030947,550.215149,33.872684,27.158848,28.38028,25.937417,5.345628,0.991655,16553.78949,1892.359179,1753.834763,1892.859179,2342.665237,10.110987,74.858917,452878.1416,1468.926735,308.305466,1343.997192,183.871926,551.948804,33.966951,27.684229,28.543635,26.824822,11.843716,0.995412,31269.66023,1685.079724,1708.955757,1685.579724,2387.544243,10.116684,74.864215,321811.5659,1426.098442,225.658732,1160.718506,130.657912,554.171057,33.920439,26.735346,27.876556,25.594136,6.97822,0.99229,18450.50906,1704.926188,2269.154297,1705.426188,1827.345703,10.116433,74.803592,404023.1094,1446.200684,279.368634,1323.138428,164.036416,551.751673,33.535922,26.807033,27.941991,25.672076,7.107244,0.992397,28412.43733,1450.925253,1456.345973,1451.425253,2640.154027,10.123028,74.891998,2260745.032,1993.674312,1133.959052,4548.417969,917.879456,554.729362,34.027311,27.492781,28.25058,26.734983,15.232444,0.995916,789870.4956,1936.556037,2378.501794,1937.056037,1717.998206,10.110125,74.791267,2773177.589,2117.726217,1309.507134,5902.932617,1125.930922,553.110808,33.494238,27.198852,28.269239,26.128465,3.531621,0.993729,1243964.403,2766.191582,1569.194725,2766.691582,2527.305275,10.086735,74.876651,506061.0496,1479.129258,342.134433,2052.142822,205.464586,543.908169,34.026107,27.309399,27.959117,26.659682,357.115672,0.997715,41696.46213
elp1m008-fa05-20201118-0382-e91.fits,10,0,59172.86988,2459172.87,2459172.872382,1.688788,38.26769,28,53,80,0.090406,0.057648,0.08228,0.058076,0.073467,0.688743,1.006088,0.099674,0.000272,0.000257,0.000268,0.000258,0.000264,0.000812,0.001182,0.000297,332.861449,224.337833,306.731502,224.899301,278.174064,848.046773,851.015538,335.07933,5541109.318,3254.006979,2002.504956,2039.070784,2003.004956,2057.429216,10.108063,74.827789,500947.148,2463.00864,1475.939879,339.408912,1474.644897,203.388303,543.512217,9733,33.427831,27.187529,28.18042,26.194637,1.631577,0.994662,42872.79215,1863.110677,1925.162057,1863.610677,2171.337943,10.111841,74.840429,319433.425,1411.483972,226.310345,1161.927612,129.692369,542.492451,33.579555,26.982229,28.395515,25.568943,5.033962,0.988742,17778.12854,1891.916419,1753.813317,1892.416419,2342.686683,10.110948,74.858904,455924.7941,1462.084424,311.832057,1367.802368,185.108889,543.875001,33.671676,27.529216,28.398769,26.659663,10.327687,0.995451,33602.3685,1684.881925,1709.171887,1685.381925,2387.328113,10.116642,74.864182,321806.3727,1418.356568,226.886793,1228.734009,130.655803,547.066009,33.457913,26.452775,27.618838,25.286712,10.656905,0.991079,19912.57617,1704.436115,2269.153775,1704.936115,1827.346225,10.116401,74.803553,407088.2708,1443.771719,281.96166,1364.465454,165.280894,544.075095,33.19242,26.698675,27.645595,25.751755,5.889638,0.994763,30263.00198,1450.408691,1456.513665,1450.908691,2639.986335,10.122996,74.891989,2259905.091,1988.531421,1136.46939,4770.481934,917.538434,546.144331,33.839403,27.261078,27.951395,26.570761,15.998703,0.996438,845785.8422,1936.065929,2378.531443,1936.565929,1717.968557,10.11009,74.791214,2778962.535,2114.565718,1314.200127,5893.754883,1128.279653,545.912772,33.185116,26.943414,27.946401,25.940427,2.454125,0.994432,1332894.563,2765.509927,1569.41881,2766.009927,2527.08119,10.086691,74.876604,502241.692,1470.685566,341.501748,1474.64978,203.913898,537.997334,33.672273,26.951255,27.695965,26.206545,353.039785,0.996763,44282.29384
elp1m008-fa05-20201118-0383-e91.fits,11,0,59172.87123,2459172.871,2459172.873730,1.683899,38.852581,28,53,80,0.090675,0.057532,0.081341,0.058195,0.073268,0.689102,1.004514,0.099995,0.000271,0.000256,0.000267,0.000258,0.000263,0.00081,0.001177,0.000296,334.552222,224.439792,304.842511,225.813311,278.457604,850.383388,853.65551,337.89364,5546030.932,3247.245266,2002.251734,2039.052653,2002.751734,2057.447347,10.108053,74.827936,502888.8195,2463.00864,1474.049371,341.161449,1517.230957,204.176636,538.980734,9909,33.849863,27.438014,28.475401,26.400626,5.643549,0.994071,41379.1524,1862.991002,1925.176682,1863.491002,2171.323318,10.111828,74.840566,319072.022,1409.308956,226.403175,1155.269897,129.545636,538.048222,34.115006,27.585897,29.051062,26.120733,8.120253,0.987827,16644.6344,1891.659547,1754.066421,1892.159547,2342.433579,10.110942,74.859016,451117.4904,1456.074836,309.817517,1366.696655,183.157088,540.120777,34.29456,27.783139,28.611663,26.954616,11.395957,0.995822,32093.00699,1684.688138,1709.003595,1685.188138,2387.496405,10.116633,74.86433,322751.0472,1416.73497,227.813285,1181.415649,131.039348,542.530095,34.128024,26.915991,28.301726,25.530257,8.777176,0.988398,18649.3986,1704.418862,2269.206912,1704.918862,1827.293088,10.116382,74.803681,406345.2819,1439.745994,282.234008,1362.387207,164.979235,540.428145,33.84689,27.076362,28.157632,25.995091,6.150383,0.993339,28784.43566,1450.405629,1456.584828,1450.905629,2639.915172,10.122985,74.892098,2262610.701,1986.395056,1139.053732,4659.467285,918.636932,542.381276,34.357979,27.671924,28.468496,26.875351,16.123393,0.995374,801041.7524,1935.944857,2378.513733,1936.444857,1717.986267,10.110073,74.791361,2779259.596,2111.061623,1316.522249,5906.440918,1128.400262,541.782655,33.792737,27.328492,28.417269,26.239714,4.176284,0.993535,1270516.085,2765.406509,1569.292353,2765.906509,2527.207647,10.086683,74.876794,504160.6354,1463.644535,344.455654,1535.010132,204.693003,532.591928,34.167903,27.260425,27.99291,26.52794,1.58133,0.997107,42506.6711
