Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7
elp1m008-fa05-20201021-0125-e91.fits,0,59144.70786,2459144.708,2459144.710170,1.845379,16.073937,23,37,56,0.170532,0.016586,0.018851,0.214263,0.380173,0.582129,0.219737,0.000265,0.000181,0.000183,0.000331,0.000467,0.00065,0.000334,643.03337,91.842646,103.04864,648.260247,814.710155,895.174871,657.217344,5352179.33,2963.324969,1993.679728,2027.242266,1994.179728,2069.257734,4.337661,84.900515,912716.0295,1661.902514,1326.387073,688.121928,6062.930664,549.1995,378.373416,4767,16.153761,16.776645,17.419901,16.13339,19.085969,0.990513,704869.5439,2289.399249,2054.527423,2289.899249,2041.972577,4.313823,84.895868,88772.53157,965.321548,91.961618,977.712769,53.416209,373.705138,16.270678,17.27643,17.880511,16.672349,1.608237,0.995106,6817.553276,1851.358487,1755.826062,1851.858487,2340.673938,4.348157,84.930599,100892.358,977.480248,103.216774,1004.714905,60.708951,380.372201,16.425771,17.140104,17.711438,16.56877,25.960946,0.988341,8551.168269,1565.55426,2920.558588,1566.05426,1175.941412,4.375293,84.806039,944420.6953,1342.391271,703.536082,6747.811523,568.276832,380.678514,15.19313,16.532882,17.396226,15.669537,18.663559,0.982844,803402.975,1362.738028,2714.234088,1363.238028,1382.265912,4.39085,84.829187,1474275.697,1531.07102,962.904841,10067.25586,887.10119,385.052914,15.500295,16.503725,17.335697,15.671752,19.561973,0.983195,1949320.976,3133.802595,1241.761016,3134.302595,2854.738984,4.240585,84.977621,1969282.266,1679.000924,1172.889328,11993.22266,1184.956548,377.158989,16.388696,16.838725,17.175709,16.50174,20.961275,0.997109,3171190.828,850.086008,1396.62774,850.586008,2699.87226,4.42911,84.973421,964200.6718,1347.611952,715.488365,6153.776855,580.17884,379.991753,16.585231,17.067908,17.690656,16.445159,27.024117,0.984592,736820.8081
elp1m008-fa05-20201021-0126-e91.fits,0,59144.70889,2459144.709,2459144.711206,1.843867,18.557566,23,37,56,0.170645,0.016593,0.019262,0.215077,0.380697,0.579592,0.220018,0.000267,0.00018,0.000183,0.000332,0.000468,0.000649,0.000335,640.265733,92.101735,104.996601,648.696776,814.272015,893.517113,657.515735,5328190.089,2953.083708,1993.290154,2027.31997,1993.790154,2069.18003,4.337669,84.900527,909227.953,1661.902514,1327.659851,684.835014,4536.746582,547.100655,377.05427,4820,16.49767,17.801269,18.253408,17.34913,22.927465,0.994687,562193.3751,2289.216243,2054.855134,2289.716243,2041.644866,4.313819,84.895852,88413.0711,958.698623,92.221965,778.514893,53.199914,372.1356,15.975069,18.200284,18.68442,17.716148,16.292716,0.996019,5429.519072,1851.743941,1755.816351,1852.243941,2340.683649,4.348101,84.930613,102631.1256,975.814462,105.174836,1934.4021,61.755202,379.26406,16.381777,17.920531,18.653489,17.187573,13.916885,0.991472,8704.43896,1565.149727,2920.78734,1565.649727,1175.71266,4.3753,84.806045,943125.0289,1339.145227,704.273898,4814.21875,567.497203,378.874273,15.464423,17.71044,18.419402,17.001479,17.094692,0.990662,631843.6993,1362.311665,2714.490144,1362.811665,1382.009856,4.390857,84.829187,1469131.447,1526.061886,962.694541,7293.518555,884.005791,382.309586,15.796693,17.700922,18.344296,17.057547,20.007898,0.991015,1511490.815,3133.729108,1241.80535,3134.229108,2854.69465,4.240577,84.977625,1955046.396,1672.678092,1168.812102,9116.025391,1176.39054,375.728441,16.764131,17.978305,18.257321,17.699289,20.257298,0.998334,2495149.29,849.745234,1396.697122,850.245234,2699.802878,4.429104,84.973426,960887.2177,1341.892906,716.068483,4533.686035,578.185068,375.675454,16.949259,18.120042,18.627968,17.612116,27.59273,0.990373,586508.101
elp1m008-fa05-20201021-0127-e91.fits,0,59144.70993,2459144.71,2459144.712245,1.842361,18.272937,23,37,56,0.169954,0.01633,0.018634,0.214121,0.38113,0.582416,0.218964,0.000263,0.000177,0.00018,0.000327,0.000464,0.000647,0.000331,646.108278,92.040798,103.549304,654.484064,821.186025,900.736189,661.401369,5363232.527,2948.156428,1993.372091,2026.805369,1993.872091,2069.694631,4.337669,84.90053,911500.5081,1661.902514,1318.779348,691.169838,5327.593262,548.468096,368.519325,4728,15.504459,17.025832,17.459083,16.592582,22.624806,0.994781,656413.5627,2289.362065,2054.317296,2289.862065,2042.182704,4.313812,84.895856,87581.10883,950.327934,92.158828,846.19696,52.699306,364.729018,15.680882,17.284738,17.626517,16.942959,9.895426,0.998235,6315.059766,1851.32635,1755.321272,1851.82635,2341.178728,4.348142,84.930617,99937.9895,963.559923,103.717462,941.891357,60.134688,369.894649,15.987577,17.624237,17.845433,17.403042,34.996304,0.994619,7820.971131,1565.376303,2920.272904,1565.876303,1176.227096,4.37529,84.806045,945853.9325,1330.899028,710.687973,5802.912109,569.139239,369.821356,14.854252,16.785385,17.379978,16.190793,18.559232,0.992126,751956.3193,1362.513539,2713.942318,1363.013539,1382.557682,4.390849,84.829191,1480011.557,1524.187444,971.016762,8762.088867,890.552571,373.116942,15.049406,16.898776,17.505288,16.292265,20.811625,0.990803,1809860.034,3133.862391,1241.437911,3134.362391,2855.062089,4.24057,84.977612,1973963.832,1675.212059,1178.336689,11069.54492,1187.77354,369.521623,15.998993,17.084671,17.218812,16.950529,25.934384,0.999353,3030797.103,849.916578,1396.241775,850.416578,2700.258225,4.429099,84.973425,963403.2056,1338.226922,719.910196,5636.981934,579.698988,368.315483,16.277424,17.332058,17.722583,16.941534,30.280204,0.991602,697425.2499
elp1m008-fa05-20201021-0128-e91.fits,0,59144.71093,2459144.711,2459144.713247,1.840911,17.958819,23,37,56,0.169114,0.016353,0.018745,0.214694,0.37799,0.584723,0.219471,0.000263,0.000177,0.00018,0.000328,0.000462,0.00065,0.000332,643.59356,92.132124,104.357449,654.114427,817.928425,899.188864,661.175324,5319460.15,2929.638387,1993.803961,2027.253275,1994.303961,2069.246725,4.337675,84.900518,899596.4886,1661.902514,1307.019413,688.280893,5331.043457,541.30521,360.698461,4823,15.329086,17.149603,17.716658,16.582549,18.708492,0.993082,635204.6963,2289.540293,2054.593014,2290.040293,2041.906986,4.313839,84.895865,86990.46839,942.976327,92.250957,814.21637,52.343906,355.850569,15.402362,17.528015,18.099575,16.956456,14.19639,0.994516,6010.721833,1851.710461,1755.794711,1852.210461,2340.705289,4.348151,84.9306,99711.80716,953.90397,104.530236,929.227783,59.99859,362.290789,15.249431,17.646379,17.972781,17.319977,8.891284,0.998492,7763.747661,1565.49976,2920.651281,1565.99976,1175.848719,4.375317,84.806049,940201.2067,1323.299933,710.497434,5521.843262,565.737881,361.570171,14.410037,17.042002,17.879926,16.204079,13.415306,0.987914,719309.1615,1362.812011,2714.399702,1363.312011,1382.100298,4.390861,84.829184,1459156.858,1510.745649,965.8521,8657.539062,878.003881,366.924223,14.974762,17.028354,17.791742,16.264966,15.384392,0.989155,1730001.501,3134.355546,1241.809675,3134.855546,2854.690325,4.240578,84.977604,1962748.177,1667.620287,1176.975473,10041.16016,1181.024856,361.081989,15.91926,17.443296,17.810265,17.076326,4.114362,0.998194,2793437.296,850.102541,1396.654888,850.602541,2699.845112,4.429118,84.973413,957353.9086,1329.792663,719.9272,5339.494141,576.059005,362.849295,16.153859,17.467232,18.05974,16.874723,24.716487,0.989143,672097.4368
elp1m008-fa05-20201021-0129-e91.fits,0,59144.71196,2459144.712,2459144.714272,1.839437,17.691717,23,37,56,0.170378,0.016463,0.018554,0.214285,0.379972,0.582414,0.219702,0.000262,0.000176,0.000178,0.000326,0.000462,0.000645,0.000331,649.895468,93.572223,104.101845,656.580048,822.770401,903.2799,664.590741,5337631.308,2925.660437,1993.360961,2027.330865,1993.860961,2069.169135,4.337675,84.90052,909414.7818,1661.902514,1307.531716,695.520247,5245.812012,547.213073,356.682924,4775,15.272592,17.43671,17.885993,16.987426,16.593739,0.996213,619333.6904,2289.179985,2054.804318,2289.679985,2041.695682,4.313831,84.895852,87874.37686,937.871511,93.695539,815.064819,52.875771,351.039974,14.983365,17.719352,17.854309,17.584394,38.01765,0.996016,5941.460293,1851.229278,1755.93208,1851.729278,2340.56792,4.348156,84.930599,99035.31192,949.781022,104.271732,902.691162,59.591529,357.863971,15.457606,17.359687,18.017647,16.701727,14.675046,0.992459,7561.056167,1565.209907,2920.647501,1565.709907,1175.852499,4.375307,84.806046,941934.0518,1321.058476,713.014654,5602.683594,566.780569,357.271005,14.417897,17.217233,17.931953,16.502513,17.040241,0.989987,701261.4134,1362.405525,2714.39025,1362.905525,1382.10975,4.390863,84.829185,1469704.276,1511.590358,972.290057,8396.286133,884.350474,361.612879,14.670449,17.237837,17.94907,16.526604,17.896973,0.989685,1692379.744,3133.841842,1241.893105,3134.341842,2854.606895,4.240574,84.977618,1964536.498,1662.661894,1181.561029,10351.07813,1182.100925,355.739793,15.46768,17.48379,17.731883,17.235697,17.893714,0.998777,2819066.337,849.641571,1396.681707,850.141571,2699.818293,4.429132,84.973424,961456.4819,1328.511766,723.709422,5049.048828,578.527606,358.565599,15.613611,17.734294,18.328421,17.140166,26.822819,0.987252,646453.2608
elp1m008-fa05-20201021-0130-e91.fits,0,59144.71297,2459144.713,2459144.715280,1.837991,17.533971,23,37,56,0.170411,0.016149,0.018403,0.21357,0.381732,0.580838,0.219989,0.000261,0.000175,0.000177,0.000325,0.000462,0.000641,0.000329,652.578558,92.338952,104.020944,657.591175,826.860508,905.831727,667.837504,5349894.56,2922.33705,1992.495261,2027.072357,1992.995261,2069.427643,4.337677,84.900522,911679.9593,1661.902514,1305.268468,698.461643,5503.980957,548.576076,353.592299,4723,15.027942,16.873851,17.413482,16.334221,18.233835,0.993687,680388.0011,2288.589692,2054.501083,2289.089692,2041.998917,4.31381,84.895856,86394.32875,934.430784,92.456638,853.365662,51.985197,349.505516,14.848601,16.796902,17.432856,16.160949,23.688481,0.987532,6464.602489,1850.22861,1755.686155,1850.72861,2340.813845,4.348168,84.930601,98454.72632,944.960306,104.189272,945.203247,59.242179,355.427773,15.279644,16.993523,17.481611,16.505435,25.821067,0.991446,8164.720082,1564.440426,2920.467029,1564.940426,1176.032971,4.375303,84.806041,941500.1438,1318.978287,713.810192,5835.40332,566.519478,355.060121,14.322779,16.70084,17.458484,15.943197,16.237679,0.988481,763594.8345,1361.608619,2714.099941,1362.108619,1382.400059,4.390861,84.829192,1478018.712,1511.117563,978.096442,8792.881836,889.353437,358.603657,14.471499,16.778066,17.545642,16.01049,17.334331,0.987675,1859713.015,3133.101332,1241.720778,3133.601332,2854.779222,4.240565,84.977606,1965679.765,1660.865106,1183.527644,10990.59961,1182.788851,354.116631,15.374273,17.02623,17.350992,16.701468,15.332654,0.998034,3057615.803,849.226693,1396.626083,849.726693,2699.873917,4.429096,84.973407,964695.939,1326.047105,727.497489,5333.194824,580.476852,353.195004,15.721339,17.271384,17.749338,16.79343,28.128949,0.990087,704198.9467
elp1m008-fa05-20201021-0131-e91.fits,0,59144.71397,2459144.714,2459144.716283,1.836568,17.292288,23,37,56,0.169675,0.016195,0.018441,0.214453,0.382051,0.579847,0.219439,0.000261,0.000174,0.000176,0.000325,0.000462,0.00064,0.000329,651.220747,93.009894,104.57561,660.194146,827.588593,905.966241,667.866933,5327984.287,2908.089129,1993.583693,2026.906441,1994.083693,2069.593559,4.337669,84.900525,904026.6726,1661.902514,1297.549308,696.71855,5175.415527,543.97094,347.96303,4733,14.880098,17.169506,17.484655,16.854357,27.105029,0.996062,631648.0608,2289.646482,2054.464507,2290.146482,2042.035493,4.313805,84.895845,86284.41886,926.494566,93.129978,840.822021,51.919062,343.221142,14.832003,17.341286,17.724778,16.957794,17.345315,0.997109,6016.62527,1851.497412,1755.480968,1851.997412,2341.019032,4.348145,84.930608,98251.53465,937.994549,104.746381,876.320129,59.119915,349.070344,14.901076,17.120139,17.387881,16.852398,35.533654,0.990711,7754.634874,1565.474897,2920.266957,1565.974897,1176.233043,4.375302,84.806049,940836.9159,1311.90753,717.151853,5645.719727,566.1204,348.369083,13.792909,17.030798,17.575378,16.486219,19.331653,0.993306,717537.9635,1362.790397,2713.96904,1363.290397,1382.53096,4.390847,84.829193,1472854.777,1504.413365,979.022662,8365.619141,886.246194,351.958311,14.121148,17.061798,17.60021,16.523386,21.36757,0.992631,1746230.877,3133.975027,1241.491633,3134.475027,2855.008367,4.240571,84.977614,1955516.167,1653.876684,1182.383297,10366.82617,1176.673211,346.868247,15.417591,17.239224,17.31638,17.162067,35.264437,0.999279,2879381.325,850.060649,1396.269137,850.560649,2700.230863,4.429107,84.973436,958776.4274,1318.071834,727.408327,5035.218262,576.914963,346.634369,15.56722,17.50865,17.881584,17.135717,31.324661,0.99141,662380.0055
elp1m008-fa05-20201021-0132-e91.fits,0,59144.71496,2459144.715,2459144.717276,1.835158,17.184456,23,37,56,0.169757,0.016207,0.0189,0.213919,0.380947,0.582653,0.219169,0.000259,0.000172,0.000174,0.000323,0.000459,0.00064,0.000327,654.540508,94.080559,108.388157,662.951555,830.608472,910.848434,670.983987,5345515.941,2903.554391,1993.512152,2027.147991,1994.012152,2069.352009,4.337661,84.900519,907436.5216,1661.902514,1295.79278,700.294472,5313.302246,546.022714,341.432471,4720,14.901115,16.98608,17.406197,16.565962,24.622847,0.994265,669767.5479,2289.342185,2054.614339,2289.842185,2041.885661,4.313818,84.895851,86633.7291,919.643091,94.203643,837.760864,52.129248,337.777994,14.026577,17.231224,17.480378,16.98207,33.853595,0.994191,6303.094797,1851.281324,1755.589485,1851.781324,2340.910515,4.348148,84.930615,101030.1946,930.497883,108.576491,910.684326,60.79189,341.534773,15.106331,17.431828,17.992508,16.871147,24.957793,0.99004,8044.341214,1565.277785,2920.528624,1565.777785,1175.971376,4.3753,84.806048,941996.1327,1308.249597,720.043128,5510.663574,566.817924,343.793021,13.70824,16.796792,17.446314,16.147269,21.354236,0.988956,760453.4432,1362.567295,2714.270003,1363.067295,1382.229997,4.390847,84.829185,1474611.049,1501.904647,981.827343,8919.563477,887.302978,346.77736,14.28807,16.843606,17.486337,16.200874,21.111766,0.98941,1835916.983,3133.859218,1241.539756,3134.359218,2854.960244,4.240575,84.977627,1967949.398,1653.542544,1190.141376,10686.15039,1184.154535,341.351098,15.352303,17.141406,17.266225,17.016588,30.101014,0.999141,2983921.977,849.840404,1396.577542,850.340404,2699.922458,4.429106,84.973415,960959.3606,1314.986912,730.774848,5169.634766,578.228478,341.800056,15.616271,17.348136,17.809342,16.88693,30.167884,0.988474,691882.5602
elp1m008-fa05-20201021-0133-e91.fits,0,59144.71596,2459144.716,2459144.718278,1.833738,17.417395,23,37,56,0.170128,0.016235,0.018698,0.214931,0.381903,0.577736,0.220333,0.000259,0.000172,0.000175,0.000323,0.000459,0.000634,0.000327,656.799076,94.360145,106.943179,665.155439,832.279929,911.009612,673.773863,5363643.157,2909.635806,1993.881265,2026.987249,1994.381265,2069.512751,4.337668,84.900516,912506.2691,1661.902514,1298.146236,702.930258,5690.541016,549.073283,343.379005,4783,14.80898,16.848922,17.40754,16.290304,18.538095,0.993108,698756.8918,2289.785827,2054.46804,2290.285827,2042.03196,4.313818,84.895846,87076.70496,921.602553,94.48401,857.178101,52.395796,339.298723,15.152066,17.126773,17.612905,16.640641,4.882902,0.996687,6414.778604,1851.731158,1755.621671,1852.231158,2340.878329,4.34815,84.930591,100289.4836,936.203454,107.123599,952.669189,60.346189,344.86247,14.906505,17.126932,17.92108,16.332784,12.696648,0.989507,8547.628609,1565.702487,2920.325046,1566.202487,1176.174954,4.375303,84.806046,948871.2837,1312.840222,722.762198,6007.522949,570.95484,346.320155,14.325277,16.639712,17.390517,15.888908,16.333214,0.988555,798086.7235,1362.945836,2714.080325,1363.445836,1382.419675,4.390854,84.829182,1482296.756,1505.993494,984.265046,9116.09668,891.927622,349.38966,14.386347,16.673099,17.401496,15.944703,17.274953,0.988789,1922888.529,3134.322365,1241.595773,3134.822365,2854.904227,4.240573,84.977603,1964059.948,1653.8269,1187.584957,10876.43555,1181.814175,343.296144,15.506777,17.116626,17.513116,16.720137,4.151618,0.99781,3003014.29,850.274986,1396.503593,850.774986,2699.996407,4.429111,84.973404,968415.1685,1318.814336,734.307432,5643.982422,582.714787,344.148913,15.651359,17.120567,17.664858,16.576277,26.545644,0.988813,736860.7347
elp1m008-fa05-20201021-0134-e91.fits,0,59144.71697,2459144.717,2459144.719289,1.83232,17.579823,23,37,56,0.170403,0.016622,0.018473,0.214558,0.381468,0.579692,0.219879,0.00026,0.000174,0.000176,0.000324,0.000459,0.000638,0.000328,655.283386,95.463349,105.090234,661.975249,830.346348,909.120405,670.967256,5376503.159,2924.467802,1994.191924,2027.439716,1994.691924,2069.060284,4.33766,84.900514,916173.477,1661.902514,1306.305869,701.346828,6046.481445,551.279915,352.029546,4793,15.126105,16.4238,16.855497,15.992103,22.546179,0.994463,751015.0444,2290.151416,2054.869109,2290.651416,2041.630891,4.313807,84.89585,89367.0745,934.877252,95.592308,893.735352,53.773957,347.358431,14.767705,16.969933,17.08117,16.858696,36.883004,0.997801,7106.071125,1852.127565,1756.013506,1852.627565,2340.486494,4.348134,84.930593,99318.22993,943.530443,105.262348,984.843811,59.761766,353.550151,15.421952,16.526188,16.853811,16.198564,26.497851,0.995664,9067.188337,1565.9597,2920.906141,1566.4597,1175.593859,4.375297,84.806036,949788.8276,1321.06685,718.955916,6340.626953,571.506944,353.845093,14.408961,16.238851,16.881599,15.596103,17.375595,0.990746,853359.2187,1363.323947,2714.634734,1363.823947,1381.865266,4.390837,84.829174,1484626.463,1511.531794,982.199957,10191.41699,893.329453,356.822436,14.386735,16.292365,16.977041,15.607689,20.069272,0.987956,2066420.267,3134.667376,1241.973713,3135.167376,2854.526287,4.240569,84.977604,1972990.659,1662.827434,1186.527608,12498.68945,1187.187962,350.903987,15.621517,16.595304,16.72346,16.467148,28.074859,0.999231,3311216.92,850.392868,1396.838494,850.892868,2699.661506,4.429113,84.973409,969097.2092,1325.734083,730.989134,6420.146484,583.125184,352.205721,15.908391,16.75622,17.192592,16.319848,30.000614,0.989163,785841.0627
elp1m008-fa05-20201021-0135-e91.fits,0,59144.71799,2459144.718,2459144.720301,1.830906,18.115928,23,37,56,0.169842,0.015995,0.018585,0.215219,0.381007,0.578711,0.220158,0.000261,0.000176,0.000177,0.000327,0.000461,0.00064,0.000329,650.26528,91.061662,104.776383,659.129517,825.681521,904.582524,668.466433,5357861.461,2928.897181,1993.658057,2026.97542,1994.158057,2069.52458,4.337652,84.900505,909988.4599,1661.902514,1308.012229,695.703327,5582.072266,547.558267,356.987485,4884,15.649058,16.867386,17.360877,16.373895,17.785112,0.994834,675390.7439,2289.535058,2054.50471,2290.035058,2041.99529,4.313804,84.895828,85700.20612,939.956038,91.174696,843.994751,51.567529,353.680231,15.347515,17.074267,17.168144,16.98039,40.197293,0.995657,6361.981313,1851.446407,1755.366829,1851.946407,2341.133171,4.348137,84.930607,99574.99881,948.797135,104.948671,928.480286,59.916269,358.95395,16.072666,16.776702,17.435587,16.117818,3.446587,0.993759,8368.841599,1565.51209,2920.273239,1566.01209,1176.226761,4.375288,84.806038,948893.6456,1325.333485,715.965948,6093.522461,570.968295,359.60399,14.726693,16.545079,17.20591,15.884249,20.212664,0.989024,797720.4689,1362.714915,2713.920619,1363.214915,1382.579381,4.390841,84.829188,1478184.901,1514.109778,976.273268,9123.448242,889.453436,362.759637,14.930952,16.606572,17.28464,15.928503,18.959119,0.98932,1907455.285,3133.93109,1241.504353,3134.43109,2854.995647,4.240567,84.977598,1964041.542,1663.826727,1180.436346,10917.95215,1181.8031,356.645695,16.105801,16.942336,17.219929,16.664743,14.491213,0.998597,3052914.86,850.071353,1396.23836,850.571353,2700.26164,4.429093,84.973425,966741.3731,1327.057666,728.484826,5406.601562,581.70763,356.537862,16.398986,17.123781,17.620561,16.627001,26.704896,0.990541,721193.9675
elp1m008-fa05-20201021-0136-e91.fits,0,59144.71899,2459144.719,2459144.721309,1.829507,18.315988,23,37,56,0.169761,0.016064,0.018517,0.214875,0.380856,0.581487,0.218969,0.00026,0.000174,0.000177,0.000324,0.000459,0.000639,0.000327,653.711513,92.53528,104.71693,663.191123,829.748154,910.087676,670.245231,5392365.285,2931.518762,1993.082373,2027.293532,1993.582373,2069.206468,4.337651,84.900501,915415.6611,1661.902514,1308.921754,699.366221,5528.841797,550.823922,355.880558,4826,15.757426,16.854971,17.367942,16.342,20.785079,0.993393,678470.6954,2288.859175,2054.777031,2289.359175,2041.722969,4.31381,84.895832,86624.09504,934.934393,92.652592,832.828125,52.123451,352.212882,15.75658,16.600363,16.897967,16.302759,31.305481,0.993929,6531.340507,1850.819115,1755.630316,1851.319115,2340.869684,4.348142,84.930609,99847.99358,951.957487,104.88703,910.212524,60.080536,356.497514,15.979368,16.850698,17.490106,16.21129,12.073996,0.993103,8269.515648,1564.801805,2920.607671,1565.301805,1175.892329,4.375294,84.806029,953747.6774,1323.746783,720.491025,5999.983887,573.889064,357.093472,14.757154,16.803974,17.467047,16.140902,16.739321,0.991076,768765.1148,1362.019712,2714.299312,1362.519712,1382.200688,4.390848,84.829173,1487276.892,1516.548005,980.698855,8622.424805,894.924269,360.517532,15.295371,16.718632,17.405547,16.031718,16.658633,0.990363,1859429.148,3133.333673,1241.681443,3133.833673,2854.818557,4.240568,84.977618,1982685.011,1667.487227,1189.025607,10932.8584,1193.021248,355.147757,16.065393,17.001389,17.268168,16.734609,13.366599,0.998766,3070638.489,849.550574,1396.682788,850.050574,2699.817212,4.429092,84.973402,968655.7045,1327.051318,729.930856,5194.533203,582.859522,354.588662,16.484696,17.163053,17.594594,16.731511,28.124369,0.991818,706599.6829
elp1m008-fa05-20201021-0137-e91.fits,0,59144.72,2459144.72,2459144.722319,1.828105,18.552,23,37,56,0.169742,0.016263,0.018927,0.213637,0.381401,0.581618,0.219715,0.000258,0.000171,0.000174,0.000322,0.000457,0.000637,0.000326,657.396984,94.84838,108.703865,664.097449,833.769575,913.689491,673.819467,5397852.304,2922.653444,1993.548588,2026.838744,1994.048588,2069.661256,4.337664,84.900521,916241.2754,1661.902514,1302.460303,703.469636,5304.712402,551.320711,348.435691,4751,15.716587,16.838938,17.283314,16.394562,21.867974,0.994671,678242.4549,2289.441246,2054.278096,2289.941246,2042.221904,4.313813,84.895858,87784.09581,924.298969,94.973703,860.376221,52.821447,344.290791,16.11619,17.018817,17.299663,16.737972,9.730963,0.998775,6433.469883,1851.479164,1755.306786,1851.979164,2341.193214,4.34814,84.930615,102165.834,938.225324,108.892642,882.734497,61.475227,348.552902,16.257375,17.342982,18.079036,16.606927,22.777656,0.985358,8214.344781,1565.263796,2920.153272,1565.763796,1176.346728,4.375305,84.806046,950186.3603,1317.789571,721.045591,5450.674805,571.746148,350.358898,15.197253,16.789787,17.581108,15.998466,17.051964,0.987098,752524.8335,1362.540709,2713.945788,1363.040709,1382.554212,4.390856,84.829178,1490331.941,1511.564231,985.953432,8557.819336,896.762553,353.740992,15.219341,16.712717,17.488746,15.936688,17.695495,0.987079,1861847.388,3133.955032,1241.442548,3134.455032,2855.057452,4.24057,84.977621,1984985.396,1663.066708,1193.569318,10476.4082,1194.405436,347.79721,16.389879,17.01536,17.258841,16.771879,18.929348,0.998687,3040084.441,849.997431,1396.244088,850.497431,2700.255912,4.429111,84.973417,972348.6065,1324.657124,734.037955,5189.366211,585.081615,348.683864,16.651387,17.198486,17.690011,16.706962,28.415996,0.989102,708426.7318
