Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8
elp1m006-fa07-20201224-0149-e91.fits,0,59208.75921,2459208.759,2459208.762938,1.736222,89.975,16.827554,21.628516,1.35,18,32,48,0.175593,0.113215,0.156748,0.147143,0.99341,0.036923,4.458613,0.224285,0.000541,0.000509,0.000527,0.000521,0.00113,0.000475,0.013156,0.000662,324.721275,222.542406,297.604717,282.223948,879.434364,77.737717,338.909501,338.909501,3042815.455,2633.49731,2169.75714,2105.249208,2170.25714,1991.250792,10.107902,74.827109,534296.4406,1469.614177,1579.08409,338.358447,4025.543701,363.562389,923.066923,3484,16.698277,15.113477,15.820763,14.406191,18.345578,0.986435,2031.501331,1990.329912,2032.001331,2106.170088,10.11168,74.839748,344492.0952,1518.999833,226.788764,2858.518555,234.409888,933.622203,17.035687,15.534562,16.228122,14.841001,21.885923,0.98477,2061.789635,1819.675641,2062.289635,2276.824359,10.110786,74.8582,476953.7653,1548.567655,307.996724,3549.970947,324.543525,913.837978,17.087914,15.330468,15.926882,14.734055,25.048191,0.985333,1870.248312,2332.578773,1870.748312,1763.921227,10.116237,74.802863,447729.9923,1538.381957,291.03955,3501.79541,304.658188,918.097901,16.961658,15.221631,16.131432,14.311829,17.395552,0.978962,2100.55965,2443.819354,2101.05965,1652.680646,10.109929,74.790519,3022764.443,2229.332399,1355.905671,18665.62891,2056.84219,929.789641,16.55957,15.1231,15.986245,14.259955,13.029734,0.983959,1984.380456,2330.851269,1984.880456,1765.648731,10.113091,74.802911,112351.0281,1441.982822,77.914262,1501.966309,76.449336,927.665503,16.748127,17.056356,16.644192,17.468519,61.257737,0.991925,1623.659331,1519.111036,1624.159331,2577.388964,10.122826,74.891277,2485381.66,2110.459705,1177.649426,14197.78027,1691.179698,937.035741,17.354756,15.839205,16.466294,15.212117,28.888274,0.978018,2936.44851,1642.713705,2936.94851,2453.786295,10.086509,74.875924,557433.7955,1575.204087,353.880364,4380.944336,379.306218,920.620964,16.17444,14.734433,14.965055,14.50381,27.67237,0.996971
elp1m006-fa07-20201224-0150-e91.fits,0,59208.76056,2459208.761,2459208.764294,1.730844,89.976,18.126254,21.080035,1.35,18,32,48,0.174799,0.112483,0.156377,0.147545,0.990926,0.038236,4.467396,0.223844,0.000524,0.000492,0.000514,0.000509,0.00111,0.000459,0.01292,0.000647,333.456999,228.504325,304.364462,290.094459,892.491601,83.352269,345.781167,345.781167,3049085.617,2593.659405,2169.760516,2105.696382,2170.260516,1990.803618,10.107901,74.827092,532978.0104,1396.022898,1532.69368,347.739419,4653.639648,381.783143,929.246328,3357,15.990437,14.541441,15.366094,13.716787,18.54479,0.979912,2031.579084,1990.790952,2032.079084,2105.709048,10.111677,74.83973,342969.7864,1472.306951,232.947203,3183.623291,245.676333,939.18877,16.280064,14.904347,15.65849,14.150204,20.436593,0.982181,2061.993096,1820.116889,2062.493096,2276.383111,10.110779,74.858183,476806.7547,1513.150431,315.108627,4147.19873,341.546514,921.513324,16.160976,14.741211,15.507184,13.975237,21.552291,0.979849,1870.292871,2333.047983,1870.792871,1763.452017,10.116235,74.802845,449876.3102,1502.834964,299.351772,3922.86084,322.255681,922.874495,16.064113,14.732395,15.663016,13.801773,17.086371,0.976867,2100.567692,2444.223419,2101.067692,1652.276581,10.109927,74.790507,3021418.347,2203.456392,1371.217673,21990.76758,2164.30429,935.638551,15.907967,14.615118,15.576989,13.653247,14.879083,0.977209,1984.112015,2331.329148,1984.612015,1765.170852,10.113098,74.802892,116583.9247,1395.169143,83.562574,1641.190674,83.51147,932.407016,15.782095,16.835112,16.660192,17.010032,52.684365,0.993854,1623.577623,1519.489912,1624.077623,2577.010088,10.122827,74.891268,2491400.445,2084.105151,1195.42934,16834.20508,1784.641533,943.630784,16.648762,15.282763,16.072296,14.49323,26.24552,0.971358,2936.340748,1643.17236,2936.840748,2453.32764,10.086511,74.875904,557685.1716,1543.883036,361.222423,4923.711914,399.481393,923.685559,15.348065,14.119092,14.414467,13.823717,27.975245,0.994421
elp1m006-fa07-20201224-0151-e91.fits,0,59208.76191,2459208.762,2459208.765645,1.725521,89.975,18.039944,20.923928,1.35,18,32,48,0.174846,0.112109,0.156613,0.147409,0.995796,0.036367,4.480745,0.223177,0.000522,0.000491,0.000509,0.000505,0.00111,0.000455,0.012909,0.000643,335.003457,228.284626,307.480779,291.77047,897.200885,80.003598,347.098731,347.098731,3041633.661,2574.228245,2169.491215,2105.922138,2169.991215,1990.577862,10.107885,74.827082,531818.1259,1375.423137,1522.357677,349.338486,4686.858398,386.65783,928.328837,3372,15.732458,14.37,15.211693,13.528306,20.117858,0.976613,2031.300643,1991.035806,2031.800643,2105.464194,10.111661,74.839716,340994.9948,1465.583377,232.668438,3334.064209,247.920066,936.687851,15.669752,14.714926,15.637609,13.792243,17.747514,0.97646,2061.524894,1820.317006,2062.024894,2276.182994,10.110769,74.858173,476358.1431,1495.852702,318.452574,4113.600586,346.335706,919.015425,16.110289,14.595497,15.426223,13.764772,23.149697,0.973028,1869.997111,2333.259558,1870.497111,1763.240442,10.116219,74.802836,448363.1758,1489.110125,301.094706,3962.529541,325.981993,922.000947,15.965618,14.571882,15.629587,13.514176,16.761936,0.969993,2100.291458,2444.499685,2100.791458,1652.000315,10.109911,74.790493,3028846.193,2196.712091,1378.808905,21558.46094,2202.11956,930.986799,15.761292,14.489853,15.480996,13.49871,15.890172,0.974341,1983.96,2331.492671,1984.46,1765.007329,10.113078,74.802889,110614.8468,1379.450388,80.187622,1616.764771,80.422412,931.792226,15.400953,16.486786,16.301326,16.672246,50.552391,0.986359,1623.382726,1519.710046,1623.882726,2576.789954,10.122809,74.89125,2486666.486,2069.688606,1201.468897,17123.5625,1807.928353,943.761319,16.481385,15.121591,15.959842,14.283341,26.846824,0.965154,2936.030162,1643.396929,2936.530162,2453.103071,10.086499,74.875895,554967.1751,1530.69923,362.55795,5075.112305,403.488323,923.292374,15.071553,13.90076,14.346374,13.455146,25.408757,0.989723
elp1m006-fa07-20201224-0152-e91.fits,0,59208.76326,2459208.763,2459208.766990,1.720288,89.976,17.889613,20.603591,1.35,18,32,48,0.174396,0.113482,0.157055,0.147391,0.992484,0.035457,4.447629,0.224839,0.000512,0.000482,0.000503,0.000497,0.001095,0.000445,0.012501,0.000632,340.747463,235.397754,312.047541,296.285069,906.142759,79.699635,355.793204,355.793204,3041634.457,2541.676414,2169.528647,2105.667093,2170.028647,1990.832907,10.107883,74.82708,530450.3029,1333.631044,1492.28541,355.461696,4785.821777,397.748917,921.3005,3458,15.643625,14.203064,14.972755,13.433374,20.69951,0.979245,2031.365542,1990.799375,2031.865542,2105.700625,10.111658,74.839712,345171.8587,1437.686337,240.088432,3282.355469,258.821104,929.363306,15.733184,14.722326,15.450126,13.994526,23.482754,0.979113,2061.652152,1820.106779,2062.152152,2276.393221,10.110764,74.858166,477703.0558,1477.905627,323.229743,4273.175293,358.197313,911.06211,15.849236,14.51708,15.19067,13.843489,25.414545,0.978507,1870.014797,2333.03526,1870.514797,1763.46474,10.116217,74.80283,448308.1248,1465.989045,305.805917,4037.311768,336.156036,914.490863,15.731164,14.422655,15.35542,13.48989,19.985973,0.97175,2100.275973,2444.219974,2100.775973,1652.280026,10.10991,74.790495,3018773.018,2176.05451,1387.269025,22889.75781,2263.574346,924.353856,15.503414,14.394547,15.32521,13.463885,16.179186,0.976762,1983.808174,2331.35032,1984.308174,1765.14968,10.113081,74.802875,107847.9672,1350.175868,79.876977,1596.296509,80.867919,924.638877,15.391674,16.189731,15.763742,16.61572,57.718316,0.985009,1623.292654,1519.474385,1623.792654,2577.025615,10.12281,74.891245,2483293.53,2051.902829,1210.239343,16903.79492,1862.054383,935.588357,16.27213,15.061674,15.858464,14.264884,27.010851,0.967746,2936.060415,1643.111437,2936.560415,2453.388563,10.086497,74.875898,558340.927,1499.937924,372.242689,5253.970215,418.662215,915.232268,14.952533,13.875559,14.178965,13.572153,30.431358,0.991941
elp1m006-fa07-20201224-0153-e91.fits,0,59208.76461,2459208.765,2459208.768339,1.715085,89.971,18.719714,20.582688,1.35,18,32,48,0.174838,0.113533,0.156169,0.148544,0.995408,0.037125,4.453724,0.224531,0.00051,0.000481,0.000498,0.000495,0.001096,0.000443,0.01246,0.000628,342.711894,236.26821,313.289344,300.136431,908.254092,83.756417,357.443717,357.443717,3028428.395,2525.765414,2169.262345,2105.753504,2169.762345,1990.746496,10.107886,74.827088,529483.5531,1330.926446,1480.526335,357.631972,4671.478027,397.830815,902.673139,3508,16.432361,14.689666,15.028898,14.350434,32.974425,0.987171,2031.117826,1990.933574,2031.617826,2105.566426,10.11166,74.839714,343825.0781,1426.699377,240.993361,3189.923096,258.335146,911.626718,16.730949,15.142443,15.447124,14.837762,35.235672,0.985519,2061.414991,1820.285865,2061.914991,2276.214135,10.110766,74.858164,472947.6258,1457.175964,324.564526,4087.604004,355.352189,894.974054,16.666018,14.838574,15.044165,14.632983,38.271879,0.985825,1869.664776,2333.227744,1870.164776,1763.272256,10.116221,74.802827,449855.8637,1451.119906,310.00599,3975.627197,338.002048,896.127062,16.629596,15.008067,15.41208,14.604055,31.128571,0.986643,2100.021681,2444.386421,2100.521681,1652.113579,10.109912,74.790494,3014521.276,2166.775674,1391.247517,22029.35156,2264.979621,906.696888,16.424471,14.775566,15.220091,14.331042,28.238895,0.988151,1983.592964,2331.526324,1984.092964,1764.973676,10.113082,74.802873,112430.6277,1339.073302,83.961518,1579.913818,84.475463,906.174576,16.196261,16.664706,15.863545,17.465868,68.557473,0.98286,1623.146334,1519.644878,1623.646334,2576.855122,10.12281,74.891243,2473132.903,2043.681105,1210.136404,16890.61523,1858.204044,920.23036,17.111745,15.525141,15.819124,15.231158,38.17326,0.974277,2935.822932,1643.363378,2936.322932,2453.136622,10.086499,74.875889,555295.4923,1484.202974,374.137165,4977.586426,417.224779,897.342243,15.676703,14.320416,14.136457,14.504375,54.033602,0.99314
elp1m006-fa07-20201224-0154-e91.fits,0,59208.76595,2459208.766,2459208.769685,1.709933,89.972,18.371566,20.539056,1.35,18,32,48,0.175535,0.112838,0.156794,0.148936,0.995163,0.036911,4.454035,0.224516,0.000508,0.000477,0.000497,0.000493,0.001091,0.000441,0.012418,0.000626,345.468714,236.394127,315.712949,302.165146,912.254763,83.743869,358.671987,358.671987,3037824.938,2522.653577,2169.257196,2105.93709,2169.757196,1990.56291,10.107903,74.827096,533245.255,1325.289747,1478.659959,360.627372,4375.668945,402.361262,902.005269,3484,16.066423,14.320043,14.983464,13.656621,22.743647,0.982607,2031.048264,1991.01604,2031.548264,2105.48396,10.11168,74.839734,342780.9311,1421.826339,241.084949,3097.382324,258.646029,913.104469,16.168396,14.617496,15.223963,14.011028,25.662262,0.982429,2061.304032,1820.306201,2061.804032,2276.193799,10.110787,74.858192,476312.3022,1455.915501,327.156557,3894.594727,359.40239,894.631403,16.402632,14.44949,15.007428,13.891552,28.955127,0.978931,1869.67447,2333.239794,1870.17447,1763.260206,10.11624,74.802851,452441.3255,1449.427511,312.151744,3640.175293,341.390497,894.133147,16.162539,14.481501,15.386495,13.576507,20.303198,0.973108,2100.022488,2444.472334,2100.522488,1652.027666,10.10993,74.790508,3023130.707,2163.247026,1397.496759,20400.64063,2281.109254,905.183102,16.044105,14.384058,15.258858,13.509259,17.174674,0.978455,1983.587547,2331.540247,1984.087547,1764.959753,10.1131,74.802897,112129.1432,1335.711873,83.947104,1543.28479,84.607267,904.816464,15.537755,16.30062,15.873266,16.727974,55.986035,0.980388,1623.061105,1519.735861,1623.561105,2576.764139,10.122831,74.891269,2480838.192,2040.10684,1216.033466,16039.70996,1871.921364,917.800857,16.647741,15.044662,15.693799,14.395526,30.181756,0.969659,2935.925671,1643.405983,2936.425671,2453.094017,10.086511,74.875913,556986.7458,1483.827871,375.371535,4712.272949,420.275451,898.976072,15.22322,13.989346,14.285653,13.693039,31.489481,0.991314
elp1m006-fa07-20201224-0155-e91.fits,0,59208.76729,2459208.767,2459208.771027,1.704842,89.976,16.641217,19.333504,1.35,18,32,48,0.175453,0.111506,0.157018,0.148821,0.992707,0.036134,4.429485,0.22576,0.000479,0.000447,0.000466,0.000464,0.001051,0.000406,0.01162,0.000592,366.502684,249.483388,336.751064,320.936254,944.263766,88.956161,381.18606,381.18606,3042145.276,2424.027132,2169.214537,2105.653178,2169.714537,1990.846822,10.107904,74.827109,533753.3246,1174.278231,1392.85686,383.207593,5319.382812,454.537358,894.698516,3445,14.392597,13.449554,14.050234,12.848873,27.555477,0.97571,2031.011251,1990.799044,2031.511251,2105.700956,10.11168,74.839741,339216.6581,1332.539478,254.564059,3560.428467,288.872474,905.887487,14.607871,13.808284,14.361785,13.254783,29.39634,0.976136,2061.31951,1820.117842,2061.81951,2276.382158,10.110785,74.858197,477672.7361,1366.45535,349.570688,4839.505371,406.779861,885.63058,14.43599,13.616971,14.118455,13.115487,32.480282,0.969796,1869.723678,2333.004229,1870.223678,1763.495771,10.116238,74.802858,452733.8751,1363.760099,331.974719,4682.02832,385.542253,888.955503,14.451112,13.658385,14.402947,12.913822,25.162883,0.971008,2099.987522,2444.192606,2100.487522,1652.307394,10.10993,74.79052,3019959.315,2106.672449,1433.521057,25939.32227,2571.757897,898.622404,14.05434,13.479493,14.246254,12.712732,23.185781,0.972988,1983.401101,2331.085636,1983.901101,1765.414364,10.113105,74.802928,109925.1332,1232.61437,89.180474,1705.152954,93.610807,896.877124,14.345827,15.855612,15.538524,16.172699,58.666186,0.992418,1623.189164,1519.53083,1623.689164,2576.96917,10.122827,74.891277,2481844.408,1978.602406,1254.342156,20097.99414,2113.506272,908.887664,14.936382,14.134682,14.726959,13.542404,33.061472,0.957284,2935.746362,1643.165338,2936.246362,2453.334662,10.086514,74.875924,560300.8681,1400.371399,400.108763,6123.88623,477.144899,889.529996,13.534053,12.966747,13.123753,12.809741,38.793146,0.987313
elp1m006-fa07-20201224-0156-e91.fits,0,59208.76864,2459208.769,2459208.772373,1.699802,89.972,16.848459,19.261472,1.35,18,32,48,0.175553,0.111482,0.156701,0.14866,0.993955,0.03567,4.445853,0.224929,0.000475,0.000441,0.000463,0.000459,0.001048,0.000402,0.011587,0.000586,369.765812,253.073536,338.781272,324.091603,948.691392,88.684074,383.700357,383.700357,3034903.44,2406.418767,2169.159729,2105.988955,2169.659729,1990.511045,10.107905,74.827097,532787.2815,1165.544359,1377.555916,386.762726,5201.598145,457.114547,878.390988,3496,14.592163,13.53355,14.046089,13.02101,27.689433,0.982278,2030.918211,1991.1139,2031.418211,2105.3861,10.111682,74.839731,338337.53,1309.720789,258.327983,3566.459229,290.282843,886.658416,14.92496,13.857588,14.266211,13.448966,32.522973,0.980494,2061.158261,1820.438333,2061.658261,2276.061667,10.110789,74.858185,475570.9865,1352.174373,351.708327,4663.34082,408.024785,870.933755,14.826774,13.652604,14.063966,13.241242,31.919484,0.981353,1869.538447,2333.33622,1870.038447,1763.16378,10.116242,74.802849,451168.4186,1345.351345,335.353601,4473.899902,387.088158,869.078876,14.965576,13.831934,14.448301,13.215568,26.624657,0.977902,2099.928653,2444.601162,2100.428653,1651.898838,10.109931,74.790502,3016557.73,2095.104864,1439.812289,24949.08594,2588.110617,880.502763,14.619018,13.561486,14.201926,12.921046,22.244214,0.982549,1983.322254,2331.530675,1983.822254,1764.969325,10.113106,74.802906,108254.6319,1217.65555,88.90415,1596.937988,92.879032,880.380202,14.765086,15.720703,15.225053,16.216354,57.458952,0.977645,1622.867041,1519.811049,1623.367041,2576.688951,10.122834,74.891268,2477616.363,1969.151433,1258.21525,19099.91016,2125.716061,893.648996,15.513879,14.230724,14.680991,13.780457,34.225136,0.970378,2935.789735,1643.501507,2936.289735,2452.998493,10.086514,74.875909,557287.0771,1383.21868,402.89152,5811.335449,478.134592,872.435043,13.938996,13.140955,13.209518,13.072391,41.621022,0.992137
elp1m006-fa07-20201224-0157-e91.fits,0,59208.76999,2459208.77,2459208.773727,1.694774,89.976,16.514522,19.216,1.35,18,32,48,0.174379,0.112688,0.157089,0.148322,0.99245,0.03477,4.427448,0.225864,0.000474,0.000441,0.000462,0.000457,0.001045,0.000401,0.011488,0.000586,367.989451,255.256718,340.334577,324.85864,949.722211,86.640808,385.406613,385.406613,3043414.932,2407.520703,2169.178606,2105.997909,2169.678606,1990.502091,10.107904,74.827105,530707.5686,1160.047729,1379.723792,384.647689,5604.358398,457.487701,883.40296,3466,14.169762,13.235962,13.909232,12.562693,26.126235,0.972526,2030.989818,1991.147509,2031.489818,2105.352491,10.11168,74.839737,342956.5866,1315.899364,260.625239,3837.824219,295.640065,891.908859,14.393799,13.700537,14.343645,13.05743,28.884862,0.96915,2061.288562,1820.482869,2061.788562,2276.017131,10.110785,74.85819,478085.7716,1352.885149,353.382378,5138.195312,412.125949,874.146809,14.529738,13.482815,14.055881,12.90975,30.225476,0.970396,1869.647586,2333.311766,1870.147586,1763.188234,10.116239,74.802859,451404.2795,1342.874436,336.147794,4862.011719,389.125609,876.501541,14.41097,13.573428,14.460352,12.686504,22.980065,0.964958,2099.959983,2444.551441,2100.459983,1651.948559,10.10993,74.790515,3020435.768,2098.946907,1439.024378,27625.36523,2603.716806,887.172037,14.1796,13.336471,14.135689,12.537253,21.510015,0.973318,1983.362905,2331.596342,1983.862905,1764.903658,10.113105,74.802907,105819.8264,1218.490392,86.845023,1782.714966,91.220235,886.782279,14.816613,15.665626,15.124289,16.206963,61.007568,0.983046,1622.984137,1519.800733,1623.484137,2576.699267,10.122831,74.891279,2482669.848,1969.03037,1260.859094,21363.14258,2140.14457,896.758957,15.159289,14.039246,14.67724,13.401252,31.985787,0.957278,2935.797201,1643.541794,2936.297201,2452.958206,10.086513,74.875915,560745.0843,1385.306948,404.780388,6557.838867,483.381046,877.216147,13.607944,12.889297,13.166266,12.612327,34.338931,0.986043
elp1m006-fa07-20201224-0158-e91.fits,0,59208.77138,2459208.771,2459208.775111,1.689684,89.975,16.05621,18.712676,1.35,18,32,48,0.174106,0.111446,0.156468,0.146592,0.983868,0.035211,4.514022,0.221532,0.000491,0.000456,0.000478,0.000473,0.001067,0.000417,0.012341,0.000606,354.324614,244.209583,327.018641,309.929154,922.229013,84.410592,365.761165,365.761165,2940027.771,2394.192991,2169.210264,2106.051266,2169.710264,1990.448734,10.107901,74.827109,511876.5202,1100.073406,1383.209009,370.064478,5521.696289,465.31124,954.240936,3336,13.861888,13.114685,13.632035,12.597336,30.212962,0.974526,2030.988521,1991.141307,2031.488521,2105.358693,10.111678,74.839746,327655.1698,1314.897254,249.186899,3820.47876,297.84846,958.705035,13.93806,13.459279,13.931,12.987559,32.540858,0.972389,2061.329893,1820.458873,2061.829893,2276.041127,10.110782,74.858202,460019.1742,1355.908225,339.270141,4829.489258,418.171344,940.48383,14.271433,13.305467,13.764331,12.846604,32.982917,0.971388,1869.584123,2333.379151,1870.084123,1763.120849,10.116239,74.80286,430985.2223,1345.573516,320.298532,4672.371582,391.778603,946.541867,14.149869,13.232161,13.935467,12.528855,26.661929,0.968503,2099.890288,2444.616927,2100.390288,1651.883073,10.10993,74.790516,2892597.852,2071.016366,1396.704487,26056.71875,2629.458941,959.263206,13.761253,13.154414,13.800398,12.508429,25.350677,0.976069,1983.478998,2331.564276,1983.978998,1764.935724,10.113099,74.802918,103519.9445,1223.484901,84.610725,1806.33606,94.102761,957.87696,13.83877,15.316123,14.674046,15.958201,60.766198,0.974388,1623.123803,1519.879335,1623.623803,2576.620665,10.122826,74.89128,2406836.59,1947.629843,1235.777219,20359.43359,2187.887261,955.782783,14.69297,13.834735,14.341624,13.327846,34.088007,0.961251,2935.734559,1643.63062,2936.234559,2452.86938,10.086512,74.875919,533191.1809,1392.443202,382.917723,5944.23291,484.686911,960.865671,13.420917,12.746753,12.81103,12.682476,42.360598,0.987984
elp1m006-fa07-20201224-0159-e91.fits,0,59208.77272,2459208.773,2459208.776458,1.68478,89.976,15.240326,18.175781,1.35,18,32,48,0.175182,0.111707,0.156729,0.147693,0.986105,0.033609,4.490052,0.222715,0.000522,0.000487,0.000509,0.000504,0.001122,0.000446,0.012944,0.000642,335.909838,229.500084,308.004371,293.118046,878.688791,75.348966,346.883298,346.883298,2750697.455,2357.54284,2169.026417,2106.101036,2169.526417,1990.398964,10.107898,74.82709,481873.3982,1037.853443,1373.795182,350.760728,6023.935059,464.298116,1036.471893,3457,12.983653,12.903135,13.291109,12.515161,30.902787,0.983828,2030.823519,1991.204828,2031.323519,2105.295172,10.111675,74.839725,307272.3487,1312.720756,234.072896,4217.37793,296.065259,1044.594585,13.274971,13.208576,13.567368,12.849784,33.566789,0.980483,2061.107295,1820.518051,2061.607295,2275.981949,10.110781,74.858182,431113.0033,1350.047208,319.331799,5599.989258,415.389096,1025.27488,13.316058,13.033238,13.283442,12.783035,37.484822,0.978096,1869.491053,2333.40627,1869.991053,1763.09373,10.116233,74.802842,406258.6299,1341.540087,302.830034,5182.493652,391.441231,1029.061664,13.497452,13.011652,13.588315,12.43499,29.016169,0.972081,2099.774349,2444.615455,2100.274349,1651.884545,10.109925,74.790503,2712477.29,2030.934675,1335.580767,28613.51758,2613.54559,1041.037936,13.125313,12.92895,13.484901,12.373,25.751226,0.980983,1983.145559,2331.55896,1983.645559,1764.94104,10.1131,74.802905,92449.37923,1224.388373,75.506581,1928.081543,89.07749,1039.950286,13.063213,14.675135,14.126835,15.223435,60.772525,0.979656,1622.902947,1519.928037,1623.402947,2576.571963,10.122825,74.891257,2249664.45,1911.2701,1177.052082,23086.05078,2167.61284,1040.862864,13.929635,13.645039,13.998162,13.291916,37.060414,0.964263,2935.655409,1643.612855,2936.155409,2452.887145,10.086508,74.875912,501033.0053,1380.237243,363.004989,6869.558594,482.758918,1040.367586,12.676105,12.445359,12.3682,12.522518,49.003683,0.992077
elp1m006-fa07-20201224-0160-e91.fits,0,59208.77407,2459208.774,2459208.777801,1.679951,89.975,16.161233,18.956771,1.35,18,32,48,0.174883,0.11186,0.156853,0.147926,0.989378,0.034729,4.487912,0.222821,0.000498,0.000464,0.000485,0.000482,0.001083,0.000423,0.012367,0.000614,351.183001,241.015981,323.228342,306.834061,913.772737,82.028134,362.90407,362.90407,2910989.698,2398.215534,2168.72277,2106.168929,2169.22277,1990.331071,10.107905,74.827109,509082.4606,1128.960136,1387.624057,366.873476,5961.942871,450.930413,944.868375,3422,14.13181,13.075754,13.866054,12.285454,24.97492,0.964965,2030.427307,1991.255705,2030.927307,2105.244295,10.111685,74.839746,325624.1017,1324.146488,245.912446,4119.819824,288.428343,951.257118,14.483946,13.478904,14.241626,12.716182,27.730059,0.960411,2060.795731,1820.601417,2061.295731,2275.898583,10.110789,74.858198,456596.3664,1361.606646,335.33647,5295.324707,404.43976,933.030654,14.364246,13.300577,13.856436,12.744719,31.71488,0.965203,1869.078959,2333.478289,1869.578959,1763.021711,10.116243,74.80286,430610.3717,1357.819352,317.133771,5004.402344,381.422123,936.780267,14.338936,13.310822,14.15657,12.465074,25.720608,0.95877,2099.410581,2444.738954,2099.910581,1651.761046,10.109934,74.790517,2880070.156,2074.661602,1388.212012,28368.80273,2551.082243,947.55703,14.049327,13.223872,14.076374,12.37137,22.893374,0.966096,1982.799768,2331.522649,1983.299768,1764.977351,10.113109,74.802935,101095.0584,1229.626278,82.216085,1792.147583,89.547058,947.777072,14.102907,15.112598,14.704662,15.520535,57.616819,0.983987,1622.485435,1519.969391,1622.985435,2576.530609,10.122835,74.891277,2380553.079,1950.357383,1220.572753,23032.70508,2108.624568,947.363414,14.949555,13.852026,14.512082,13.191971,32.323487,0.950689,2935.324197,1643.733688,2935.824197,2452.766312,10.086516,74.875924,530436.6181,1395.544275,380.093006,6654.803711,469.845304,943.762335,13.62881,12.651198,12.922619,12.379778,35.988417,0.980785
