Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_err_C9,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,rel_flux_SNR_C9,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,X(IJ)_C9,Y(IJ)_C9,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Source_SNR_C9,Peak_C9,Mean_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,X-Width_C9,Y-Width_C9,Angle_C9,Roundness_C9
elp1m008-fa05-20201224-0345-e91.fits,0,59208.84352,2459208.844,2459208.846759,1.661726,59.98,26.11522,33,62,93,0.043136,0.372313,0.021908,0.017076,0.007129,2.851803,0.089526,0.103003,0.091781,0.000194,0.000336,0.000186,0.000184,0.000182,0.004156,0.000227,0.000236,0.00023,222.46355,1107.154044,117.534202,92.680533,39.179014,686.229967,393.88952,437.248178,399.017483,8076876.184,4055.347844,2029.458697,1821.886174,2029.958697,2274.613826,11.607584,75.567361,348400.826,3421.1944,1556.302692,223.864437,1263.982544,101.836021,479.454279,12624,31.640506,32.073653,33.707141,30.440165,342.390204,0.984535,2324.639608,2021.985564,2325.139608,2074.514436,11.599145,75.545158,3007122.411,2257.751008,1331.910561,6346.074219,878.968588,483.613098,33.533593,32.200026,33.527091,30.872962,334.201897,0.982453,2119.380662,1978.249441,2119.880662,2118.250559,11.605057,75.55028,176949.1542,1502.888217,117.739398,856.898621,51.721456,479.871425,20.499907,40.425118,39.826725,41.023512,47.383681,0.873167,2288.727722,2144.487199,2289.227722,1952.012801,11.600247,75.531972,137922.0244,1486.532369,92.781044,864.660156,40.313998,479.048663,29.750331,32.868075,33.676038,32.060112,331.944763,0.992235,2115.788202,1883.445215,2116.288202,2213.054785,11.605115,75.560546,57581.47518,1469.417618,39.186596,683.233093,16.830811,480.254326,29.158578,28.568443,32.138729,24.998157,338.88647,0.889542,2807.517985,1158.332956,2808.017985,2938.167044,11.584643,75.637565,5979968.133,2846.962463,2100.473122,16502.97656,1747.918252,488.707923,29.970645,32.082851,33.025166,31.140537,331.263506,0.988085,2611.976215,2512.836703,2612.476215,1583.663297,11.591129,75.491442,663674.0952,1651.978092,401.745095,2249.512207,193.989004,479.118688,29.361089,31.749074,33.369346,30.128802,339.684614,0.982006,2138.818954,2828.364229,2139.318954,1268.135771,11.604907,75.458247,754249.6477,1682.602773,448.263642,2501.44873,220.463838,480.045123,29.322525,31.590621,33.446624,29.734617,344.574794,0.981395,1284.215574,2347.563492,1284.715574,1748.936508,11.629319,75.511547,678984.3077,1667.473286,407.193514,2221.537842,198.464112,483.197901,1.79981,31.991256,33.681039,30.301472,349.863685,0.987388
elp1m008-fa05-20201224-0346-e91.fits,0,59208.84453,2459208.845,2459208.847763,1.658464,59.987,28.510234,33,62,93,0.043581,0.372907,0.022019,0.017086,0.00715,2.85913,0.089505,0.102299,0.091905,0.000196,0.000338,0.000188,0.000186,0.000183,0.004203,0.000229,0.000237,0.000232,222.766143,1102.285945,117.075112,91.790106,38.987776,680.226279,390.066828,431.810837,396.828697,8059862.566,4067.402744,2029.706856,1821.44395,2030.206856,2275.05605,11.606995,75.568188,351254.9827,3421.1944,1566.792624,224.187284,1243.52002,102.670279,486.213274,12741,30.318084,32.262614,33.511627,31.013601,331.997742,0.980881,2325.087938,2021.506816,2325.587938,2074.993184,11.598549,75.545975,3005576.883,2265.876628,1326.452132,6615.095703,878.516837,490.797135,32.585929,32.359788,33.380135,31.339441,327.400936,0.977444,2120.202229,1980.729779,2120.702229,2115.770221,11.604453,75.550782,177472.0366,1513.233806,117.279984,889.64386,51.874292,487.298377,20.396142,41.451803,39.830081,43.073525,50.805685,0.849329,2288.596717,2143.707529,2289.096717,1952.792471,11.599668,75.532819,137711.4513,1498.675987,91.888742,855.468567,40.252448,485.874234,28.873238,32.999511,32.918521,33.080502,313.906697,0.983449,2116.412352,1883.808537,2116.912352,2212.691463,11.604515,75.561281,57625.22974,1477.74716,38.995324,696.299622,16.8436,487.155368,3.979098,29.686476,33.495374,25.877577,343.956791,0.911215,2808.01695,1157.837667,2808.51695,2938.662333,11.584034,75.638404,5971344.384,2847.594564,2096.978432,15093.03125,1745.397568,493.665953,28.737231,32.373114,32.907579,31.838649,322.007636,0.981421,2612.426384,2512.384274,2612.926384,1584.115726,11.590532,75.492232,662131.3237,1664.665264,397.756437,2132.083496,193.538059,486.018503,28.520823,32.182237,33.518839,30.845635,331.295954,0.976302,2139.34382,2827.894376,2139.84382,1268.605624,11.604316,75.459037,747993.8703,1690.378107,442.500922,2442.363525,218.635302,487.293557,28.133893,31.805281,33.191138,30.419423,334.17628,0.98035,1284.550238,2347.061962,1285.050238,1749.438038,11.628739,75.512379,678392.9879,1675.25571,404.948919,2207.635498,198.291272,490.276623,28.932449,32.1062,33.450439,30.761961,337.04355,0.985565
elp1m008-fa05-20201224-0347-e91.fits,0,59208.84553,2459208.846,2459208.848764,1.655237,59.996,35.163418,33,62,93,0.043309,0.371965,0.022638,0.017004,0.007138,2.857777,0.08981,0.102013,0.091987,0.000196,0.000338,0.000188,0.000186,0.000184,0.004203,0.00023,0.000237,0.000232,221.153814,1101.228344,120.296178,91.270464,38.830254,679.915947,390.723199,430.489592,397.028333,8059968.263,4070.719498,2029.60247,1820.925144,2030.10247,2275.574856,11.607637,75.568569,349065.4524,3421.1944,1568.506538,222.54638,1241.889526,102.030289,487.787953,12963,29.615065,32.442242,33.276903,31.60758,326.912243,0.983795,2325.185279,2021.290446,2325.685279,2075.209554,11.599189,75.54633,2998028.899,2262.516975,1325.085704,5580.231934,876.310595,490.977154,31.759939,32.57161,33.432827,31.710392,326.006773,0.980123,2122.600032,1985.37733,2123.100032,2111.12267,11.605026,75.550605,182463.6528,1513.984735,120.518819,829.16864,53.333319,487.710536,56.405849,43.038625,39.672161,46.40509,54.61507,0.777135,2288.387522,2144.033082,2288.887522,1952.466918,11.600317,75.533121,137053.7809,1500.026241,91.367589,830.877808,40.060214,486.829851,29.238188,32.457645,32.569226,32.346065,317.097286,0.991164,2117.628781,1883.734153,2118.128781,2212.765847,11.60512,75.561614,57532.41276,1481.353902,38.837723,697.845642,16.81647,488.610139,27.19687,29.741815,33.378062,26.105568,336.96299,0.879395,2808.012265,1157.459414,2808.512265,2939.040586,11.584681,75.638741,5970690.532,2850.086475,2094.91557,13959.03516,1745.20645,495.946579,28.571119,32.722407,33.105052,32.339762,320.066215,0.982332,2612.268972,2512.115675,2612.768972,1584.384325,11.591182,75.492612,664210.39,1666.910247,398.467999,2117.221924,194.145761,487.093394,27.519788,32.301222,33.421293,31.181152,329.764297,0.980247,2139.13196,2827.603477,2139.63196,1268.896523,11.604963,75.459434,746108.2589,1691.502404,441.092048,2297.939453,218.084146,488.480688,28.560722,32.016485,33.455251,30.57772,334.973658,0.980485,1284.517158,2346.789743,1285.017158,1749.710257,11.629373,75.512756,678959.0817,1675.707063,405.177669,2104.484619,198.456738,492.279574,29.092985,32.403941,33.614277,31.193605,335.859666,0.987434
elp1m008-fa05-20201224-0348-e91.fits,0,59208.84653,2459208.847,2459208.849769,1.652013,60.067,25.772012,33,62,93,0.043346,0.371261,0.020837,0.016887,0.006782,2.858081,0.089362,0.102482,0.091952,0.000196,0.000337,0.000188,0.000186,0.000184,0.004204,0.000229,0.000238,0.000232,221.270724,1100.995542,110.810982,90.868779,36.871504,679.85758,389.424215,431.468101,396.995486,8092897.452,4085.035387,2029.236131,1821.666316,2029.736131,2274.833684,11.607618,75.56849,350795.1563,3421.1944,1575.446782,222.66392,1151.186035,102.535874,491.772721,12892,33.051725,32.480479,34.145863,30.815096,340.214736,0.982395,2324.656039,2021.780025,2325.156039,2074.719975,11.599163,75.546286,3004575.606,2268.726529,1324.344547,4966.56543,878.224168,495.952176,35.11538,32.591293,34.007899,31.174688,334.114302,0.980339,2119.462072,1977.771739,2119.962072,2118.728261,11.605078,75.551429,168630.011,1519.398296,110.984731,764.497559,49.289807,492.95853,23.604432,40.193894,39.921197,40.46659,46.154335,0.886547,2288.295164,2144.550399,2288.795164,1951.949601,11.600276,75.533059,136661.491,1502.36043,90.964517,802.778748,39.94555,491.229473,3.485642,33.003751,33.316342,32.69116,321.148422,0.992091,2116.502048,1884.022902,2117.002048,2212.477098,11.605119,75.561587,54882.86097,1488.23206,36.877892,660.554626,16.042018,493.308171,5.989965,28.92432,34.022709,23.825931,351.4265,0.871969,2807.607117,1158.051049,2808.107117,2938.448951,11.58466,75.638802,5995248.901,2857.891447,2097.787482,12192.58008,1752.384752,499.47416,30.788671,32.455344,33.399638,31.511049,329.731367,0.986027,2612.038641,2512.649346,2612.538641,1583.850654,11.59113,75.492545,663874.0941,1671.903761,397.076739,1838.20813,194.047463,492.23352,30.94938,32.256076,34.010034,30.502119,339.975074,0.979935,2138.937204,2828.195987,2139.437204,1268.304013,11.604913,75.459293,752281.3079,1701.490796,442.130695,2047.498291,219.888501,493.655846,30.733648,32.077961,34.045967,30.109955,344.747122,0.97987,1284.15871,2347.43536,1284.65871,1749.06464,11.629358,75.512577,681493.1493,1682.152631,405.131578,1843.904785,199.197435,496.128167,3.065847,32.280156,33.99933,30.560983,346.832347,0.985954
elp1m008-fa05-20201224-0349-e91.fits,0,59208.84754,2459208.848,2459208.850773,1.648837,59.98,33.095671,33,62,93,0.043405,0.372112,0.021417,0.016424,0.006838,2.856717,0.089359,0.102671,0.091879,0.000194,0.000336,0.000187,0.000185,0.000182,0.004172,0.000228,0.000236,0.00023,223.255491,1106.023856,114.80784,88.968492,37.499219,684.803512,391.849193,435.706666,399.848061,8072548.507,4056.166121,2029.043598,1821.625979,2029.543598,2274.874021,11.607441,75.568833,350388.4161,3421.1944,1559.544235,224.673599,1106.328491,102.416985,481.081569,13012,33.439218,32.662958,34.264291,31.061625,343.851781,0.986609,2324.86008,2021.8314,2325.36008,2074.6686,11.598979,75.546573,3003894.819,2257.91858,1330.382258,4965.17334,878.025177,483.98907,34.540745,32.924211,34.631754,31.216669,340.529142,0.98231,2119.90792,1978.952995,2120.40792,2117.547005,11.604888,75.551622,172887.3686,1503.376979,114.999346,781.636169,50.534214,481.376976,20.917438,40.99447,40.127067,41.861872,48.413137,0.873353,2288.956163,2144.645808,2289.456163,1951.854192,11.600085,75.533342,132584.9084,1488.755852,89.057523,749.709778,38.753983,480.684929,30.276055,33.225071,34.268922,32.181219,343.793329,0.994471,2115.174281,1883.362888,2115.674281,2213.137112,11.604977,75.561986,55198.13654,1471.71965,37.505877,692.188538,16.134171,482.002645,31.326212,29.452564,33.039706,25.865421,337.42708,0.884184,2807.633329,1158.091166,2808.133329,2938.408834,11.584446,75.639045,5979434.486,2846.596287,2100.555851,11894.65039,1747.762269,488.990983,30.368826,32.694551,33.921706,31.467396,335.023143,0.986426,2611.916774,2512.679696,2612.416774,1583.820304,11.590972,75.492782,662181.0937,1657.189266,399.580849,1840.682495,193.552607,480.750935,30.162403,32.415337,34.378033,30.452641,344.349521,0.980061,2138.852704,2828.163613,2139.352704,1268.336387,11.604769,75.459594,751647.6587,1682.995999,446.612861,1962.182739,219.703288,481.9781,30.159282,32.253585,34.575952,29.931218,348.426661,0.975724,1284.213824,2347.271245,1284.713824,1749.228755,11.629199,75.513022,679285.2683,1664.518364,408.097191,1815.558716,198.552081,483.941873,30.898843,32.588746,34.528996,30.648497,349.460071,0.983829
elp1m008-fa05-20201224-0350-e91.fits,0,59208.84855,2459208.849,2459208.851786,1.645637,59.98,30.64243,33,62,93,0.043253,0.371832,0.022505,0.01721,0.006804,2.844901,0.089601,0.102734,0.092525,0.000196,0.000337,0.000188,0.000186,0.000184,0.004165,0.000229,0.000237,0.000232,221.210385,1102.787525,119.603375,92.603608,37.071135,683.062379,391.436974,433.657852,399.081711,8082408.027,4074.309491,2029.625573,1821.726155,2030.125573,2274.773845,11.607436,75.568813,349586.4768,3421.1944,1570.478552,222.598695,1155.678955,102.182582,488.348397,12651,33.053583,31.805978,33.449485,30.16247,343.220915,0.984702,2325.048338,2021.7631,2325.548338,2074.7369,11.598985,75.546572,3005298.993,2265.287377,1326.674498,4973.505859,878.435611,492.480211,34.127719,32.319881,33.735652,30.904111,336.618865,0.983706,2120.384943,1979.673363,2120.884943,2116.826637,11.604886,75.551535,181892.3638,1518.029627,119.821353,1165.930664,53.166334,488.56994,18.627965,41.511446,40.774529,42.248363,47.841421,0.871523,2288.743383,2144.831143,2289.243383,1951.668857,11.600102,75.533315,139100.3277,1500.467304,92.704671,764.46991,40.658411,487.418662,31.091595,32.952527,33.635853,32.269201,333.806621,0.995386,2116.111341,1883.576877,2116.611341,2212.923123,11.604961,75.561953,54989.56322,1483.093523,37.07761,682.082275,16.073206,489.101506,30.208281,28.131291,30.647833,25.614748,347.618198,0.961792,2807.941874,1158.125861,2808.441874,2938.374139,11.584449,75.639037,5980297.319,2852.041674,2096.847803,12818.27148,1748.014471,497.071502,30.721651,32.09545,33.075403,31.115498,332.537606,0.988729,2612.208195,2512.545625,2612.708195,1583.954375,11.590974,75.492789,664638.3205,1664.932623,399.198329,1959.836182,194.270843,487.408658,30.319152,31.862454,33.693863,30.031044,343.683453,0.981489,2139.205799,2828.138382,2139.705799,1268.361618,11.604769,75.459586,752978.1276,1694.099384,444.471047,2166.508545,220.092178,489.194705,3.310057,31.563828,33.541819,29.585836,345.951704,0.979972,1284.524747,2347.383621,1285.024747,1749.116379,11.629201,75.512997,684494.2602,1680.441238,407.330078,1920.839355,200.074647,492.139116,31.226201,31.985168,33.849472,30.120864,350.76473,0.984997
elp1m008-fa05-20201224-0351-e91.fits,0,59208.84955,2459208.85,2459208.852788,1.642509,60.019,29.683114,33,62,93,0.042648,0.371748,0.023033,0.017044,0.006692,2.859593,0.089449,0.102765,0.091466,0.000195,0.000337,0.000188,0.000186,0.000183,0.004201,0.000229,0.000237,0.000231,218.482223,1102.091456,122.401767,91.739742,36.603892,680.71714,390.439312,432.998246,396.077046,8085214.066,4077.399493,2029.368576,1821.338307,2029.868576,2275.161693,11.607442,75.569083,344821.9112,3421.1944,1568.65149,219.8206,1180.640869,100.78992,489.071525,12995,32.770123,32.213987,33.736847,30.691126,340.060079,0.984888,2324.723923,2021.495518,2325.223923,2075.004482,11.599029,75.54677,3005660.619,2267.214253,1325.706476,5223.96582,878.541313,492.991432,33.414147,32.342052,33.745525,30.938578,333.428966,0.979144,2120.690862,1982.999566,2121.190862,2113.500434,11.604898,75.551405,186228.0951,1518.548047,122.635629,809.16394,54.433649,488.608599,17.782884,42.727893,39.979579,45.476206,53.53534,0.809535,2288.777349,2145.126541,2289.277349,1951.373459,11.600145,75.53349,137803.611,1500.506227,91.83808,2648.048584,40.279386,488.752457,3.053007,33.185425,34.80235,31.568499,359.547874,0.990546,2116.476966,1883.334185,2116.976966,2213.165815,11.60496,75.562189,54109.77986,1478.000194,36.61013,686.493774,15.816049,489.759426,28.613932,29.209884,33.658922,24.760846,350.589793,0.901067,2807.673991,1157.84421,2808.173991,2938.65579,11.584439,75.638876,5990378.407,2855.117784,2098.119538,13836.93945,1750.961128,497.568624,30.27746,32.364036,33.295975,31.432097,329.472825,0.985864,2612.128665,2512.612643,2612.628665,1583.887357,11.591074,75.492957,663834.7789,1667.329852,398.142442,2006.786133,194.035971,488.84185,30.126686,32.089197,33.906155,30.272239,340.728696,0.979171,2138.943332,2827.976611,2139.443332,1268.523389,11.604876,75.460014,753452.1072,1697.866964,443.763925,2307.13208,220.23072,490.921558,29.952226,31.88912,33.875319,29.90292,344.477081,0.979023,1284.550482,2347.182718,1285.050482,1749.317282,11.629206,75.513624,677548.7732,1676.528556,404.137926,2091.990479,198.044511,493.496376,30.515128,32.19849,34.076814,30.320166,347.9465,0.983773
elp1m008-fa05-20201224-0352-e91.fits,0,59208.85056,2459208.851,2459208.853795,1.639385,59.984,21.967596,33,62,93,0.043455,0.37237,0.022543,0.016893,0.006113,2.853932,0.089698,0.102736,0.091698,0.000197,0.000339,0.000189,0.000187,0.000185,0.004203,0.00023,0.000238,0.000232,221.135225,1099.844786,119.094927,90.483977,33.127852,679.049698,389.842746,431.653278,395.02125,8073718.933,4083.095692,2029.167426,1821.193442,2029.667426,2275.306558,11.607434,75.568706,350843.318,3421.1944,1576.602933,222.531184,1162.373047,102.549951,493.421401,12924,32.614184,32.183207,33.720178,30.646237,341.712913,0.985919,2324.746435,2021.360384,2325.246435,2075.139616,11.598976,75.546485,3006408.164,2271.619421,1323.464721,5005.327637,878.759817,497.848813,34.210114,32.341817,33.678186,31.005447,334.439335,0.982724,2119.629375,1981.313157,2120.129375,2115.186843,11.60489,75.551206,182006.0334,1525.46894,119.31153,811.727478,53.199559,493.929712,23.35264,41.644219,39.590612,43.697827,52.042562,0.836557,2288.368658,2144.098099,2288.868658,1952.401901,11.600091,75.533263,136388.0108,1505.737736,90.578862,788.939453,39.865613,493.37241,31.80683,32.559571,32.76235,32.356792,321.357822,0.996798,2115.506371,1883.139238,2116.006371,2213.360762,11.604962,75.561845,49356.71844,1489.676742,33.132503,655.606567,14.426751,495.32271,4.816129,23.231633,28.990714,17.472552,345.427514,0.713985,2807.719746,1157.822966,2808.219746,2938.677034,11.584464,75.638959,5978788.455,2855.719509,2093.618941,11745.87305,1747.573437,501.711936,30.730694,32.285527,33.2328,31.338254,330.766509,0.987432,2611.811267,2512.079653,2612.311267,1584.420347,11.590957,75.492751,664586.8915,1671.688266,397.55432,1782.473633,194.255811,492.911436,2.981119,31.923612,33.547929,30.299294,339.798491,0.982234,2138.623977,2827.659288,2139.123977,1268.840712,11.604746,75.459514,752182.0825,1700.314539,442.378198,2096.092041,219.859498,494.278575,2.422618,31.638627,33.460955,29.816298,343.389469,0.981163,1284.179204,2346.870651,1284.679204,1749.629349,11.629176,75.512833,678161.5036,1682.535386,403.059281,1826.483276,198.22361,497.453605,5.090918,31.971293,33.60832,30.334267,347.475684,0.987289
elp1m008-fa05-20201224-0353-e91.fits,0,59208.85156,2459208.852,2459208.854799,1.636306,59.991,30.069553,33,62,93,0.043148,0.371875,0.021681,0.017016,0.006333,2.829501,0.091276,0.103051,0.091782,0.000198,0.00034,0.000191,0.000189,0.000186,0.004176,0.000233,0.00024,0.000234,217.532725,1093.932268,113.753463,90.141136,34.003956,677.501781,392.159972,429.496114,392.306147,8064286.233,4100.419436,2029.454724,1821.151759,2029.954724,2275.348241,11.607542,75.567275,347956.5006,3421.1944,1589.744598,218.875724,1130.844604,101.706147,502.78955,13015,32.866439,33.190511,34.571395,31.809627,332.835226,0.979708,2324.859014,2021.419405,2325.359014,2075.080595,11.599098,75.545048,2998909.463,2278.187747,1316.357472,4966.501953,876.56798,506.483009,35.127297,33.084017,34.175435,31.9926,329.002602,0.980299,2119.719763,1978.235097,2120.219763,2118.264903,11.605006,75.550113,174839.054,1534.42671,113.94422,779.827759,51.104683,502.940114,20.520859,41.125765,40.442735,41.808795,47.896335,0.891747,2288.826107,2144.141405,2289.326107,1952.358595,11.600203,75.531838,137219.4136,1520.673175,90.235966,805.101929,40.108628,501.44588,30.92995,33.255776,33.586182,32.925369,320.277017,0.988233,2115.802504,1882.812776,2116.302504,2213.687224,11.605073,75.560447,51072.82841,1501.742717,34.00904,693.869019,14.928362,503.809592,29.391657,28.172028,31.668556,24.6755,336.882723,0.875097,2807.478316,1157.774453,2807.978316,2938.725547,11.5846,75.637456,5958453.934,2858.883314,2084.189272,12199.25879,1741.629746,511.098659,32.036782,32.928864,33.468875,32.388852,323.058109,0.986047,2612.169526,2513.266051,2612.669526,1583.233949,11.591083,75.491219,674509.3251,1685.807838,400.110446,2096.487793,197.156094,501.26573,31.784365,33.241948,35.194081,31.289814,337.068494,0.971749,2139.130861,2827.843665,2139.630861,1268.656335,11.604859,75.458129,753391.6296,1711.586955,440.171402,1947.359985,220.213043,501.838067,31.401085,32.730991,34.331482,31.130499,337.428119,0.980867,1284.29316,2347.029309,1284.79316,1749.470691,11.629278,75.511444,677931.3444,1693.737812,400.257549,1862.329224,198.156335,506.990242,4.599947,32.956698,34.517552,31.395845,340.554065,0.985256
elp1m008-fa05-20201224-0354-e91.fits,0,59208.85255,2459208.853,2459208.855789,1.633262,59.979,33.334362,33,62,93,0.043123,0.370935,0.021906,0.016761,0.0072,2.856172,0.089235,0.102763,0.091957,0.000197,0.000338,0.00019,0.000187,0.000185,0.004222,0.000231,0.000239,0.000233,218.673094,1095.975523,115.540966,89.40067,38.886129,676.468472,386.406986,430.72779,394.388429,8077024.692,4093.286287,2030.04803,1821.631804,2030.54803,2274.868196,11.607486,75.568943,348302.8839,3421.1944,1582.990961,220.028347,1106.859253,101.807393,497.895948,12820,33.120155,32.91785,34.403037,31.432663,337.65835,0.983958,2325.394021,2021.789456,2325.894021,2074.710544,11.59905,75.546654,2996047.264,2273.246771,1317.959538,4993.882812,875.731371,501.726441,34.777008,32.961821,34.092916,31.830726,331.187164,0.98361,2120.392553,1979.519958,2120.892553,2116.980042,11.604956,75.551666,176933.0918,1528.717684,115.739547,774.307739,51.716761,498.019307,16.694457,41.421147,40.352759,42.489534,48.938702,0.858514,2288.861722,2144.536722,2289.361722,1951.963278,11.600178,75.533444,135379.6997,1512.747964,89.492568,766.271057,39.570888,496.9722,31.799764,32.750976,33.307166,32.194787,328.397888,0.994327,2117.229574,1883.578275,2117.729574,2212.921725,11.604995,75.562061,58157.70353,1495.299515,38.893682,675.450684,16.99924,498.408375,29.895488,31.159204,35.438221,26.880187,354.32426,0.924403,2808.162168,1158.162423,2808.662168,2938.337577,11.584488,75.638997,5982453.857,2858.167234,2093.108404,11691.19434,1748.644817,504.993644,31.479804,32.9119,33.630629,32.193171,326.6112,0.987742,2612.830382,2512.824338,2613.330382,1583.675662,11.591055,75.492824,661708.6724,1679.758123,393.930926,1800.256104,193.41452,497.750425,30.690805,32.743253,34.275313,31.211192,337.242615,0.982243,2139.670637,2828.135739,2140.170637,1268.364261,11.604862,75.459742,752673.9291,1705.091027,441.427418,1959.160645,220.003262,498.669864,30.552436,32.548762,34.199888,30.897636,340.880335,0.9834,1285.022948,2347.288169,1285.522948,1749.211831,11.629261,75.513271,680188.2338,1690.251438,402.418373,1791.593872,198.816014,502.147106,30.929789,32.895085,34.461419,31.328752,344.469485,0.987697
elp1m008-fa05-20201224-0355-e91.fits,0,59208.85357,2459208.854,2459208.856800,1.630196,59.984,30.580571,33,62,93,0.043081,0.371783,0.02139,0.016905,0.007025,2.857912,0.089527,0.102699,0.091586,0.000196,0.000338,0.000189,0.000187,0.000185,0.004215,0.00023,0.000238,0.000233,219.252949,1098.625463,113.349669,90.322311,38.040186,678.079611,389.095297,431.575072,393.894445,8080934.628,4087.286494,2029.565319,1821.475463,2030.065319,2275.024537,11.607426,75.568794,348131.4165,3421.1944,1578.013515,220.61371,1122.971069,101.757274,495.300689,12696,32.081207,32.328761,34.0041,30.653422,345.837027,0.986211,2324.968623,2021.7156,2325.468623,2074.7844,11.598977,75.546531,3004350.429,2273.577252,1321.419989,5358.446777,878.15835,499.182484,33.697388,32.486034,33.877112,31.094957,337.692359,0.985578,2119.460812,1979.071485,2119.960812,2117.428515,11.604901,75.551556,172847.4467,1522.396557,113.536415,782.845276,50.522545,495.751497,20.624026,40.870243,39.679514,42.060972,49.272902,0.846504,2288.809469,2144.712745,2289.309469,1951.787255,11.60009,75.533282,136611.696,1510.911982,90.416714,812.910706,39.930995,494.63218,30.377694,32.060139,32.838341,31.281937,340.755708,0.996158,2116.455526,1884.632457,2116.955526,2211.867543,11.60494,75.561791,56771.87741,1492.142247,38.047229,1405.994019,16.594169,496.749436,30.636249,29.31936,31.850828,26.787891,339.854347,0.949503,2807.842039,1158.116911,2808.342039,2938.383089,11.584441,75.638979,5986295.309,2857.086608,2095.244608,12469.74609,1749.767657,502.474902,30.70454,32.439952,33.459062,31.420841,335.744493,0.991023,2612.395973,2512.800489,2612.895973,1583.699511,11.59096,75.492717,664017.0912,1673.594766,396.760975,1777.762573,194.089261,494.495777,30.440533,32.28287,34.117704,30.448037,346.141563,0.983618,2139.226758,2827.931317,2139.726758,1268.568683,11.60476,75.459571,752614.1709,1701.601708,442.297494,2588.181885,219.985795,495.813124,29.357992,32.007218,33.880292,30.134144,347.458527,0.983414,1284.484146,2347.29546,1284.984146,1749.20454,11.62919,75.512972,678008.0569,1687.186765,401.857145,1849.43457,198.178758,499.234675,3.971147,32.273032,33.983328,30.562737,352.618441,0.988053
