Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,Variance_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,Variance_T3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,Variance_C7
elp1m008-fa05-20201021-0125-e91.fits,0,59144.70786,2459144.708,2459144.710170,1.845379,15.927281,21,37,56,0.170526,0.016533,0.018695,0.214249,0.38052,0.581868,0.219636,0.000254,0.000164,0.000166,0.000316,0.000451,0.000629,0.00032,672.397634,100.616123,112.289027,677.454391,844.273257,925.080093,686.184627,5315131.203,2837.060723,1993.723157,2027.31835,1994.223157,2069.18165,4.337658,84.900507,906369.6508,1385.44236,1258.15668,720.394896,6062.930664,654.20957,378.372833,4777,16.100384,16.454724,17.101414,15.808034,19.628961,0.989727,795763.4849,2289.47596,2054.627198,2289.97596,2041.872802,4.313817,84.895857,87876.50486,872.123456,100.761543,977.712769,63.428481,373.574783,15.684059,16.656359,17.332266,15.980451,8.434206,0.992831,7651.421025,1851.387594,1755.939924,1851.887594,2340.560076,4.348155,84.930586,99367.8973,883.33878,112.491266,1004.714905,71.722866,380.489118,16.459326,16.531123,17.013789,16.048457,26.493382,0.990607,9630.92885,1565.599395,2920.615391,1566.099395,1175.884609,4.37529,84.806033,937833.5044,1273.334647,736.517699,6747.811523,676.9199,380.655368,14.984778,16.206115,17.070215,15.342014,18.006191,0.982718,910099.9293,1362.777821,2714.311083,1363.277821,1382.188917,4.390847,84.829178,1465037.194,1469.078967,997.248771,10067.25586,1057.450844,385.019948,15.400996,16.21924,17.048789,15.389692,19.46481,0.982799,2207213.262,3133.843654,1241.849607,3134.343654,2854.650393,4.240582,84.977611,1955095.551,1622.623168,1204.898087,11993.22266,1411.170618,377.182939,16.278008,16.505944,16.850533,16.161354,20.294276,0.99698,3572665.09,850.134664,1396.7087,850.634664,2699.7913,4.429106,84.973412,957164.9541,1279.231593,748.234299,6153.776855,690.873169,379.979306,16.583419,16.749487,17.381291,16.117682,26.92927,0.983684,828735.1377
elp1m008-fa05-20201021-0126-e91.fits,0,59144.70889,2459144.709,2459144.711206,1.843867,18.400145,21,37,56,0.170613,0.016529,0.01923,0.214934,0.380849,0.579624,0.220025,0.000255,0.000165,0.000168,0.000318,0.000452,0.000629,0.000321,668.78721,100.414799,114.768845,676.354936,842.188368,922.052646,685.261595,5278741.115,2825.331953,1993.31499,2027.38042,1993.81499,2069.11958,4.337668,84.90052,900622.0096,1385.44236,1257.419583,716.246209,4536.746582,650.060974,377.049909,4826,16.195252,17.379642,17.845687,16.913596,22.471904,0.994267,626476.2239,2289.300857,2054.930216,2289.800857,2041.569784,4.313812,84.895843,87252.30825,867.662967,100.560139,778.514893,62.977942,372.28903,15.760402,17.813541,17.99944,17.627642,32.567135,0.997537,6002.764232,1851.840377,1755.897688,1852.340377,2340.602312,4.348093,84.930603,101511.0465,882.812294,114.985991,1934.4021,73.269772,379.237185,16.358857,17.364389,18.044441,16.684337,13.758565,0.992224,9786.678148,1565.206441,2920.83295,1565.706441,1175.66705,4.375296,84.80604,933861.9539,1269.692431,735.502498,4814.21875,674.05327,378.8929,15.39932,17.274951,17.998856,16.551045,16.90271,0.989862,706229.2425,1362.355097,2714.554314,1362.855097,1381.945686,4.390854,84.82918,1455917.911,1463.306972,994.950437,7293.518555,1050.868627,382.232951,15.424638,17.304444,17.967212,16.641675,19.271145,0.990437,1687206.296,3133.749207,1241.871389,3134.249207,2854.628611,4.240576,84.977618,1936970.07,1614.635254,1199.633208,9116.025391,1398.087806,375.659485,16.739532,17.58701,17.879766,17.294254,20.254907,0.998084,2773761.514,849.764909,1396.753396,850.264909,2699.746604,4.429103,84.97342,951991.1801,1273.60413,747.478088,4533.686035,687.138785,375.693876,16.995729,17.740588,18.265038,17.216138,27.581881,0.989306,650353.1909
elp1m008-fa05-20201021-0127-e91.fits,0,59144.70993,2459144.71,2459144.712245,1.842361,18.116411,21,37,56,0.170044,0.016287,0.018444,0.214273,0.381037,0.582395,0.218895,0.000252,0.000162,0.000164,0.000314,0.000449,0.000626,0.000317,675.427047,100.774153,112.455536,682.817225,849.482228,929.761703,689.696869,5322523.925,2824.606757,1993.401128,2026.876784,1993.901128,2069.623216,4.337667,84.900522,905062.9044,1385.44236,1250.9468,723.502314,5327.593262,653.266372,368.582879,4727,15.378061,16.727536,17.172296,16.282777,22.428594,0.99438,738133.3012,2289.398198,2054.389975,2289.898198,2042.110025,4.31381,84.895848,86685.3945,858.963724,100.918574,846.19696,62.568748,364.647052,15.452958,16.764432,17.003944,16.52492,3.771952,0.99917,7065.079428,1851.323253,1755.423914,1851.823253,2341.076086,4.348142,84.930606,98167.59493,871.389941,112.656333,941.891357,70.856499,369.895464,15.69612,16.840664,17.149106,16.532221,32.366969,0.99264,8786.844293,1565.404181,2920.348613,1565.904181,1176.151387,4.375288,84.806037,939223.5935,1264.572514,742.720234,5802.912109,677.923254,369.775448,14.692724,16.465487,17.067374,15.8636,18.006064,0.991853,848052.8501,1362.555201,2714.003138,1363.055201,1382.496862,4.390846,84.829185,1468518.471,1463.196251,1003.637393,8762.088867,1059.963599,373.166829,15.005293,16.543849,17.159636,15.928063,20.388633,0.990363,2042223.236,3133.87949,1241.5073,3134.37949,2854.9927,4.240569,84.977605,1958936.504,1619.408329,1209.661868,11069.54492,1413.942983,369.532862,15.889484,16.741266,16.895944,16.586589,24.987145,0.999175,3405327.196,849.952672,1396.292426,850.452672,2700.207574,4.429096,84.97342,955845.3572,1271.154233,751.950733,5636.981934,689.920696,368.315293,16.300095,16.971966,17.365438,16.578495,30.263996,0.991128,781597.9732
elp1m008-fa05-20201021-0128-e91.fits,0,59144.71093,2459144.711,2459144.713247,1.840911,17.807016,21,37,56,0.169123,0.016229,0.018649,0.214708,0.378172,0.584608,0.219383,0.000252,0.000162,0.000164,0.000315,0.000447,0.00063,0.000318,672.129873,100.425069,113.716768,682.065665,845.886341,927.787083,688.943803,5277136.237,2807.065917,1993.848119,2027.308636,1994.348119,2069.191364,4.337671,84.900512,892483.1855,1385.44236,1240.077191,719.699703,5331.043457,644.186443,360.705345,4823,15.303776,16.790617,17.355743,16.225491,18.836449,0.992784,714248.2502,2289.560831,2054.687159,2290.060831,2041.812841,4.313838,84.895855,85642.22532,851.57964,100.568662,814.21637,61.815798,355.832562,14.9721,16.741987,17.356827,16.127146,14.092034,0.993075,6740.024868,1851.75545,1755.872856,1852.25545,2340.627144,4.348147,84.930592,98411.46085,863.823827,113.925384,929.227783,71.032519,362.412149,15.171588,17.107314,17.526548,16.688081,21.234405,0.99559,8686.033293,1565.532786,2920.693634,1566.032786,1175.806366,4.375315,84.806044,932769.7224,1256.908482,742.114272,5521.843262,673.264907,361.627298,14.497587,16.676629,17.518735,15.834524,12.982543,0.987446,810251.1032,1362.847095,2714.452851,1363.347095,1382.047149,4.390859,84.829179,1448051.308,1450.726842,998.155729,8657.539062,1045.190583,366.977119,14.722654,16.693549,17.479768,15.90733,14.645587,0.988387,1949674.787,3134.383657,1241.882445,3134.883657,2854.617555,4.240576,84.977596,1946888.658,1611.970241,1207.769603,10041.16016,1405.246955,361.057148,15.887036,17.091546,17.470091,16.713,5.361761,0.997969,3126567.329,850.151521,1396.738066,850.651521,2699.761934,4.429114,84.973404,949426.5493,1263.623246,751.352551,5339.494141,685.287657,362.880239,15.977958,17.1029,17.715735,16.490065,23.789307,0.988743,752291.5129
elp1m008-fa05-20201021-0129-e91.fits,0,59144.71196,2459144.712,2459144.714272,1.839437,17.59195,21,37,56,0.170292,0.016394,0.018658,0.214301,0.380193,0.582152,0.21967,0.000251,0.00016,0.000163,0.000313,0.000447,0.000625,0.000317,677.921559,102.264332,114.615825,684.188247,850.254534,931.140906,692.122528,5292384.107,2804.001031,1993.390175,2027.38863,1993.890175,2069.11137,4.337673,84.900513,901249.8316,1385.44236,1240.718163,726.39368,5245.812012,650.51413,356.676088,4774,15.069139,17.03794,17.481783,16.594098,18.390222,0.995774,694803.5398,2289.183247,2054.845174,2289.683247,2041.654826,4.313831,84.895848,86764.71754,847.189508,102.414769,815.064819,62.626003,351.057498,14.870009,17.068256,17.405106,16.731407,25.66843,0.996011,6630.396425,1851.289175,1756.051276,1851.789175,2340.448724,4.348152,84.930586,98747.4182,859.961351,114.82774,902.691162,71.27501,357.836695,15.340602,17.271371,17.751189,16.791552,22.155847,0.99398,8391.041935,1565.228822,2920.694487,1565.728822,1175.805513,4.375306,84.806041,934004.5001,1254.917113,744.275849,5602.683594,674.156159,357.25042,14.341163,16.852639,17.584255,16.121022,16.651024,0.989249,789882.1189,1362.437315,2714.441972,1362.937315,1382.058028,4.39086,84.829179,1457859.055,1451.944396,1004.073612,8396.286133,1052.269728,361.576884,14.661986,16.864368,17.597355,16.131381,17.53646,0.988761,1900657.478,3133.857604,1241.957196,3134.357604,2854.542804,4.240573,84.977611,1947329.634,1607.873044,1211.121513,10351.07813,1405.565247,355.761113,15.445353,17.098973,17.349706,16.84824,17.175045,0.998739,3156639.676,849.661708,1396.766858,850.161708,2699.733142,4.429131,84.973415,953190.9186,1262.61893,754.931592,5049.048828,688.004746,358.525479,15.608383,17.377024,17.973014,16.781033,27.002675,0.986409,722395.9049
elp1m008-fa05-20201021-0130-e91.fits,0,59144.71297,2459144.713,2459144.715280,1.837991,17.309781,21,37,56,0.170518,0.016221,0.018405,0.213557,0.381782,0.58091,0.21992,0.00025,0.000159,0.000161,0.000312,0.000446,0.000622,0.000316,681.301327,101.783069,114.184946,685.401885,855.60656,934.310187,695.648258,5308572.504,2801.040329,1992.538979,2027.135176,1993.038979,2069.364824,4.337673,84.900515,905209.2114,1385.44236,1239.828404,730.108464,5503.980957,653.371975,353.578814,4723,14.941376,16.56663,17.099377,16.033882,18.599221,0.993494,766944.0865,2288.632217,2054.584474,2289.132217,2041.915526,4.313807,84.895847,86112.40913,844.817663,101.930171,853.365662,62.155173,349.44365,14.723145,16.587497,17.298573,15.87642,16.363812,0.989651,7234.197407,1850.251598,1755.801955,1850.751598,2340.698045,4.348167,84.930588,97702.46595,854.096626,114.392755,945.203247,70.520773,355.509933,14.953058,16.738089,17.1637,16.312479,25.41241,0.993527,9148.166381,1564.475927,2920.514562,1564.975927,1175.985438,4.375301,84.806036,934183.0949,1253.611169,745.19366,5835.40332,674.285067,355.117519,13.634678,16.3374,17.086341,15.58846,15.906695,0.988408,861983.6646,1361.658013,2714.172418,1362.158013,1382.327582,4.390857,84.829184,1466741.603,1449.633748,1011.801502,8792.881836,1058.681072,358.715074,14.356047,16.436414,17.219679,15.65315,16.883808,0.986915,2101505.155,3133.107955,1241.802898,3133.607955,2854.697102,4.240565,84.977597,1950651.255,1607.136161,1213.743616,10990.59961,1407.962764,354.12748,15.32931,16.671105,17.002597,16.339613,16.57521,0.997746,3436695.626,849.264166,1396.707373,849.764166,2699.792627,4.429093,84.973398,956996.5506,1260.936683,758.956864,5333.194824,690.751617,353.163526,15.638905,16.924723,17.407834,16.441612,27.586226,0.990024,790339.4411
elp1m008-fa05-20201021-0131-e91.fits,0,59144.71397,2459144.714,2459144.716283,1.836568,17.023265,21,37,56,0.169741,0.016243,0.018514,0.214338,0.382148,0.579813,0.2195,0.00025,0.000158,0.000161,0.000312,0.000447,0.000621,0.000316,679.39035,102.628594,115.154268,687.509135,854.842302,933.733549,695.501192,5285493.785,2789.357685,1993.633021,2026.943777,1994.133021,2069.556223,4.337665,84.900521,897166.9669,1385.44236,1232.749533,727.77717,5175.415527,647.567154,347.922874,4751,14.807749,16.825373,17.142741,16.508005,27.141765,0.995827,709456.5701,2289.671105,2054.528496,2290.171105,2041.971504,4.313803,84.895838,85854.13032,835.323873,102.779452,840.822021,61.968749,343.011888,14.612607,17.061964,17.381419,16.742508,26.387246,0.996171,6695.141562,1851.5263,1755.565621,1852.0263,2340.934379,4.348143,84.930599,97853.77938,848.191906,115.3675,876.320129,70.62999,349.023694,14.0568,16.917493,17.268979,16.566008,27.633765,0.994685,8642.939564,1565.511423,2920.308848,1566.011423,1176.191152,4.375299,84.806044,932922.2525,1247.136895,748.051201,5645.719727,673.375002,348.372427,13.705405,16.639469,17.192603,16.086334,18.866305,0.992949,808465.5458,1362.84036,2714.02235,1363.34036,1382.47765,4.390843,84.829187,1461377.947,1446.276119,1010.44187,8365.619141,1054.809632,351.949603,13.93278,16.699883,17.232736,16.16703,21.492984,0.992405,1965865.428,3133.977058,1241.563103,3134.477058,2854.936897,4.240572,84.977607,1939849.322,1600.486808,1212.037058,10366.82617,1400.166025,346.848369,15.141741,16.89093,16.984432,16.797428,33.785407,0.999158,3231958.359,850.097133,1396.328722,850.597133,2700.171278,4.429105,84.973429,951344.264,1253.751661,758.798009,5035.218262,686.671847,346.698012,15.595992,17.167644,17.540354,16.794934,31.056433,0.99139,740011.8709
elp1m008-fa05-20201021-0132-e91.fits,0,59144.71496,2459144.715,2459144.717276,1.835158,17.079869,21,37,56,0.169793,0.01622,0.018838,0.213944,0.38107,0.582355,0.219225,0.000249,0.000157,0.000159,0.00031,0.000444,0.000621,0.000314,682.450623,103.285119,118.322477,690.315422,857.702301,938.319198,698.510802,5303208.97,2786.288582,1993.555023,2027.209574,1994.055023,2069.290426,4.337658,84.900512,900445.2594,1385.44236,1231.697307,731.060508,5313.302246,649.933397,341.54247,4743,14.882003,16.643028,17.048379,16.237677,25.564417,0.993982,754688.5269,2289.408521,2054.621183,2289.908521,2041.878817,4.313812,84.89585,86016.30124,831.577284,103.437531,837.760864,62.085803,337.789691,14.047553,16.958349,17.225045,16.691653,35.451129,0.990763,7052.437759,1851.302264,1755.68841,1851.802264,2340.81159,4.348147,84.930604,99903.22787,842.696993,118.551779,910.684326,72.109263,341.530266,14.939267,16.978566,17.373762,16.583371,27.105458,0.99367,9026.818999,1565.302694,2920.563731,1565.802694,1175.936269,4.375298,84.806044,934630.6265,1244.44047,751.044866,5510.663574,674.608091,343.767477,13.642311,16.414485,17.080498,15.748473,20.669088,0.988357,859389.964,1362.612306,2714.327368,1363.112306,1382.172632,4.390843,84.829179,1463282.618,1444.364912,1013.097595,8919.563477,1056.184407,346.743004,14.288284,16.486264,17.146572,15.825956,20.61892,0.988689,2071954.548,3133.885302,1241.615534,3134.385302,2854.884466,4.240573,84.977618,1951743.235,1600.900499,1219.153368,10686.15039,1408.750946,341.358323,15.176544,16.77632,16.895709,16.656931,31.602436,0.999003,3353976.147,849.875586,1396.654925,850.375586,2699.845075,4.429104,84.973406,953552.49,1251.279175,762.062143,5169.634766,688.265725,341.872568,15.559855,17.018272,17.483662,16.552882,30.146539,0.987838,775372.9279
elp1m008-fa05-20201021-0133-e91.fits,0,59144.71596,2459144.716,2459144.718278,1.833738,17.275928,21,37,56,0.170108,0.016122,0.018718,0.214923,0.382083,0.577663,0.220244,0.000248,0.000157,0.00016,0.00031,0.000444,0.000615,0.000314,684.894282,102.965152,117.305326,692.615952,859.61786,938.635263,701.050912,5322120.934,2792.301412,1993.901456,2027.051455,1994.401456,2069.448545,4.337666,84.900509,905333.0797,1385.44236,1233.568764,733.913752,5690.541016,653.461382,343.364643,4781,14.651549,16.490745,17.041956,15.939535,19.749674,0.992511,788930.9282,2289.854307,2054.549691,2290.354307,2041.950309,4.313813,84.895837,85801.79906,832.092279,103.115725,857.178101,61.930977,339.338351,14.988947,16.614426,17.152888,16.075965,8.158517,0.995448,7215.35302,1851.771359,1755.661648,1852.271359,2340.838352,4.348146,84.930587,99617.38619,847.604655,117.528125,952.669189,71.902945,344.867887,14.733491,16.801683,17.299575,16.303791,20.088798,0.993994,9601.734223,1565.756113,2920.390897,1566.256113,1176.109103,4.375299,84.806038,941496.8413,1248.871252,753.878224,6007.522949,679.564064,346.302732,14.392144,16.27149,17.046203,15.496776,14.638984,0.988136,903752.3587,1362.967777,2714.149039,1363.467777,1382.350961,4.390852,84.829175,1471325.009,1448.290084,1015.904911,9116.09668,1061.989334,349.34854,14.319403,16.332766,17.059582,15.60595,17.273203,0.98837,2175615.029,3134.345821,1241.672152,3134.845821,2854.827848,4.240571,84.977594,1948699.529,1601.241265,1216.993073,10876.43555,1406.554025,343.373019,15.296958,16.76776,17.182253,16.353267,4.410719,0.9975,3374391.251,850.298905,1396.577276,850.798905,2699.922724,4.429109,84.973396,960599.555,1255.288817,765.241865,5643.982422,693.352234,344.168864,15.469138,16.755607,17.288368,16.222847,26.873752,0.988459,828458.8744
elp1m008-fa05-20201021-0134-e91.fits,0,59144.71697,2459144.717,2459144.719289,1.83232,17.412456,21,37,56,0.170386,0.016515,0.018459,0.214549,0.381437,0.57981,0.219843,0.000249,0.000158,0.00016,0.000311,0.000444,0.000618,0.000315,684.095434,104.236764,115.1788,690.181037,858.184359,937.647806,698.923034,5339674.873,2806.312536,1994.206727,2027.511327,1994.706727,2068.988673,4.337659,84.900506,909803.8104,1385.44236,1241.007598,733.117035,6046.481445,656.688316,351.994113,4775,14.781881,16.097475,16.544403,15.650548,23.4202,0.99342,850748.6837,2290.177892,2054.9119,2290.677892,2041.5881,4.313805,84.895845,88185.09131,844.73713,104.39353,893.735352,63.651216,347.356521,14.708163,16.325144,16.388266,16.262021,40.266718,0.997789,7994.369273,1852.157976,1756.104083,1852.657976,2340.395917,4.348132,84.930583,98566.90968,854.203693,115.390405,984.843811,71.144721,353.5391,15.134331,16.21097,16.580787,15.841153,26.639756,0.994183,10217.75626,1566.002416,2920.965824,1566.502416,1175.534176,4.375294,84.806029,943248.6319,1256.145412,750.907198,6340.626953,680.828491,353.935146,14.228767,15.928954,16.584083,15.273825,17.575162,0.989913,970080.3909,1363.349856,2714.687536,1363.849856,1381.812464,4.390835,84.829168,1474371.333,1453.684793,1014.230416,10191.41699,1064.188143,356.777077,14.361897,15.961954,16.655682,15.268225,19.251805,0.987709,2345946.568,3134.709865,1242.050326,3135.209865,2854.449674,4.240566,84.977596,1959727.391,1610.027706,1217.201035,12498.68945,1414.513839,350.896173,15.539254,16.288076,16.432509,16.143643,28.180996,0.998975,3738257.797,850.424584,1396.920497,850.924584,2699.579503,4.429111,84.9734,962327.5172,1261.784474,762.671865,6420.146484,694.599461,352.252249,15.856968,16.448842,16.86593,16.031754,30.027707,0.989691,887209.42
elp1m008-fa05-20201021-0135-e91.fits,0,59144.71799,2459144.718,2459144.720301,1.830906,17.956489,21,37,56,0.169843,0.016022,0.018647,0.215194,0.381141,0.578719,0.220075,0.00025,0.000159,0.000162,0.000313,0.000446,0.00062,0.000316,678.79059,100.531045,115.190705,687.432767,853.705541,933.221908,696.30203,5318810.383,2808.537305,1993.711222,2027.037809,1994.211222,2069.462191,4.337648,84.900498,903363.9085,1385.44236,1242.418755,727.100991,5582.072266,652.040052,356.810535,4885,15.570601,16.523666,17.024683,16.02265,17.7117,0.994472,760834.8087,2289.603661,2054.534969,2290.103661,2041.965031,4.313799,84.895825,85219.57905,846.498936,100.67299,843.994751,61.510736,353.44478,15.334191,16.660831,16.8071,16.514562,38.063248,0.994639,7150.892378,1851.484178,1755.419414,1851.984178,2341.080586,4.348135,84.930601,99177.60921,859.392044,115.404384,928.480286,71.585518,358.956167,15.893927,16.486623,17.274412,15.698833,8.109648,0.990139,9344.699161,1565.551808,2920.327973,1566.051808,1176.172027,4.375285,84.806032,941887.0902,1259.15061,748.0337,6093.522461,679.845743,359.598806,14.634909,16.200409,16.884127,15.51669,19.066294,0.988526,903041.5727,1362.767978,2713.98013,1363.267978,1382.51987,4.390837,84.829181,1467783.731,1455.271707,1008.597724,9123.448242,1059.433271,362.723299,14.869299,16.272515,16.967274,15.577757,18.609439,0.988544,2155936.83,3133.948282,1241.577092,3134.448282,2854.922908,4.240566,84.97759,1949742.848,1609.657404,1211.278154,10917.95215,1407.307084,356.660579,15.857509,16.62228,16.895471,16.349089,15.601267,0.998524,3435140.484,850.109157,1396.295644,850.609157,2700.204356,4.42909,84.973419,959396.7134,1262.382207,759.989097,5406.601562,692.484033,356.542037,16.12253,16.774895,17.286443,16.263346,25.565746,0.990572,809265.6638
elp1m008-fa05-20201021-0136-e91.fits,0,59144.71899,2459144.719,2459144.721309,1.829507,18.205422,21,37,56,0.16988,0.016095,0.018558,0.214684,0.381031,0.581475,0.219032,0.000249,0.000158,0.000161,0.000311,0.000444,0.00062,0.000314,682.715449,101.7543,115.217257,690.950279,857.767524,938.522465,698.156617,5352797.477,2812.033227,1993.108213,2027.35005,1993.608213,2069.14995,4.337649,84.900494,909331.058,1385.44236,1243.318456,731.374214,5528.841797,656.347087,355.870301,4801,15.725336,16.561298,17.053232,16.069363,20.882042,0.993668,763479.5099,2288.855722,2054.807496,2289.355722,2041.692504,4.313811,84.895829,86151.65177,845.452971,101.899993,832.828125,62.183498,352.210971,15.731036,16.382292,16.81739,15.947193,25.373319,0.992963,7290.423862,1850.869574,1755.688475,1851.369574,2340.811525,4.348138,84.930603,99335.49911,860.577391,115.428897,910.212524,71.699482,356.486847,15.925044,16.599383,17.079463,16.119303,21.240493,0.993859,9255.614415,1564.841274,2920.646492,1565.341274,1175.853508,4.375291,84.806024,946056.251,1258.275158,751.867543,5999.983887,682.855006,357.091563,14.692566,16.438005,17.112919,15.76309,16.775573,0.990324,868862.5535,1362.048475,2714.35833,1362.548475,1382.14167,4.390845,84.829166,1476855.075,1457.682915,1013.15249,8622.424805,1065.980886,360.49343,15.184135,16.392858,17.088007,15.697708,16.818909,0.98966,2097636.315,3133.357834,1241.76477,3133.857834,2854.73523,4.240567,84.977609,1968110.502,1613.852964,1219.510418,10932.8584,1420.564694,355.137891,15.882175,16.679345,16.970226,16.388463,13.221369,0.998483,3452190.712,849.593102,1396.76315,850.093102,2699.73685,4.429089,84.973393,961775.6487,1262.898897,761.561872,5194.533203,694.201128,354.567028,16.341177,16.853225,17.276184,16.430266,28.617998,0.991409,791764.9155
elp1m008-fa05-20201021-0137-e91.fits,0,59144.72,2459144.72,2459144.722319,1.828105,18.51029,21,37,56,0.169764,0.016166,0.018832,0.2135,0.381557,0.581662,0.219706,0.000247,0.000156,0.000159,0.000309,0.000443,0.000617,0.000313,686.156306,103.515385,118.551487,691.956379,861.668954,942.174851,701.873016,5360302.129,2804.866477,1993.591257,2026.923562,1994.091257,2069.576438,4.337661,84.900512,909986.1435,1385.44236,1237.778225,735.17705,5304.712402,656.819922,348.551346,4757,15.695751,16.542315,16.990414,16.094216,21.625994,0.994475,763713.9748,2289.507661,2054.325612,2290.007661,2042.174388,4.313808,84.895852,86654.729,835.890381,103.667575,860.376221,62.546614,344.34841,16.075904,16.435641,16.822132,16.049149,14.310427,0.997133,7201.7701,1851.519067,1755.422848,1852.019067,2341.077152,4.348138,84.930602,100943.6483,849.835262,118.780254,882.734497,72.860229,348.615963,16.341123,16.915977,17.343886,16.488068,28.488287,0.991393,9180.700464,1565.293913,2920.230886,1565.793913,1176.269114,4.375303,84.806037,943076.3073,1253.200656,752.534164,5450.674805,680.704109,350.379565,15.221953,16.451417,17.253052,15.649783,16.492404,0.986566,849170.187,1362.579207,2714.00721,1363.079207,1382.49279,4.390853,84.829171,1480401.66,1454.019546,1018.144264,8557.819336,1068.54078,353.766214,15.147896,16.416831,17.210558,15.623103,17.162365,0.986355,2101509.452,3133.965569,1241.509155,3134.465569,2854.990845,4.240569,84.977613,1971270.987,1610.31944,1224.149034,10476.4082,1422.845904,347.774997,16.253947,16.697194,16.948259,16.446129,19.410535,0.998511,3411421.631,850.030896,1396.299432,850.530896,2700.200568,4.429108,84.973411,965553.174,1260.738883,765.862929,5189.366211,696.927712,348.675218,16.630038,16.879486,17.378933,16.380038,28.079817,0.988727,793688.7884
