Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_err_C9,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,rel_flux_SNR_C9,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8,X(IJ)_C9,Y(IJ)_C9,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Source_SNR_C9,Peak_C9,Mean_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,X-Width_C9,Y-Width_C9,Angle_C9,Roundness_C9
elp1m008-fa05-20201224-0345-e91.fits,0,59208.84352,2459208.843524,2459208.846759,1.661726,59.98,36.535053,46.274783,1.35,35,62,93,0.042872,0.372678,0.033613,0.017306,0.006464,2.837387,0.089685,0.103428,0.092368,0.000279,0.000418,0.000277,0.000271,0.000273,0.00565,0.000317,0.000325,0.000321,153.569306,890.729183,121.34819,63.778175,23.695542,502.151576,282.86117,317.768961,287.823763,8249822.445,5299.233739,2027.976764,1822.317426,2028.476764,2274.182574,11.607627,75.567317,353683.2722,6727.266851,2291.85295,154.321974,1263.982544,52.574586,479.599648,12605,33.147517,32.237038,33.93121,30.542866,343.049897,0.984052,2323.100843,2022.230782,2323.600843,2074.269218,11.59919,75.545135,3074528.185,2830.893204,1086.062936,6346.074219,457.024859,483.669026,35.181799,32.457431,33.803769,31.111093,333.687501,0.981387,2127.057829,1986.734673,2127.557829,2109.765327,11.604839,75.549348,277299.2752,2278.201135,121.718522,856.898621,41.220199,479.404869,71.149564,43.072964,41.803244,44.342684,49.172116,0.835238,2286.88659,2145.035415,2287.38659,1951.464585,11.6003,75.531916,142770.1339,2236.662847,63.831763,864.660156,21.222606,479.147442,31.513377,33.039813,33.409663,32.669963,323.667607,0.994356,2114.074504,1883.279221,2114.574504,2213.220779,11.605164,75.560567,53326.38878,2250.221198,23.698287,683.233093,7.926903,480.370526,30.996432,27.530037,31.547454,23.51262,344.337122,0.888084,2805.931758,1158.942594,2806.431758,2937.557406,11.584689,75.637503,6099968.126,3337.012325,1827.972909,16502.97656,906.752811,488.749641,32.051642,32.22688,33.14012,31.31364,331.398474,0.98907,2610.367153,2513.27203,2610.867153,1583.22797,11.591175,75.491399,678987.6379,2362.428632,287.410857,2249.512207,100.930683,479.100396,31.214504,31.891776,33.4832,30.300352,339.912611,0.983024,2137.021122,2828.774303,2137.521122,1267.725697,11.604959,75.458206,773281.7264,2383.729723,324.399918,2501.44873,114.947384,480.019598,31.477158,31.818141,33.594417,30.041864,344.414952,0.983078,1282.480629,2347.954152,1282.980629,1748.545848,11.629369,75.511507,697584.9553,2383.902374,292.623122,2221.537842,103.695151,483.110897,32.083479,32.199663,33.785476,30.613851,349.732312,0.98899
elp1m008-fa05-20201224-0346-e91.fits,0,59208.84453,2459208.844528,2459208.847763,1.658464,59.987,33.056049,46.534571,1.35,35,62,93,0.043201,0.373711,0.032464,0.017437,0.006315,2.84262,0.089518,0.102519,0.093004,0.000283,0.000423,0.00028,0.000277,0.000276,0.005734,0.000322,0.000329,0.000324,152.586999,883.110185,115.755776,62.974137,22.842172,495.736072,278.308077,311.372641,287.003512,8247744.778,5347.5964,2028.240249,1822.307674,2028.740249,2274.192326,11.607038,75.568097,356313.4867,6803.012881,2323.693707,153.339266,1243.52002,52.375836,486.209927,13001,32.637784,32.425785,33.645943,31.205627,331.846784,0.981648,2323.542614,2022.285645,2324.042614,2074.214355,11.598594,75.545893,3082274.124,2861.469508,1077.164763,6615.095703,453.074862,490.672842,34.814857,32.632843,33.632142,31.633544,326.753475,0.976467,2127.222922,1986.622646,2127.722922,2109.877354,11.604253,75.550131,267757.6135,2306.601281,116.083181,889.64386,39.358681,486.547786,63.74095,44.84773,42.743821,46.951638,50.857274,0.787393,2286.897153,2145.055113,2287.397153,1951.444887,11.599718,75.532676,143814.4018,2281.801377,63.026696,855.468567,21.13981,485.810505,3.168632,33.377948,33.160857,33.595039,312.274938,0.981244,2114.511775,1884.303473,2115.011775,2212.196527,11.60457,75.561231,52085.61116,2279.988892,22.844678,696.299622,7.656256,487.158524,31.46734,28.753547,33.508932,23.998162,347.509706,0.87384,2806.453884,1159.012773,2806.953884,2937.487227,11.58408,75.63828,6101359.125,3352.872897,1819.740656,15093.03125,896.861322,493.724993,31.193,32.504522,33.014325,31.994719,322.011714,0.983251,2610.761847,2513.365517,2611.261847,1583.134483,11.590581,75.492129,677655.5392,2397.014674,282.708131,2132.083496,99.611092,486.007768,30.417201,32.24806,33.532824,30.963297,331.1321,0.977791,2137.612911,2828.83139,2138.112911,1267.66861,11.604366,75.458939,766927.6372,2413.985021,317.701904,2442.363525,112.733527,487.280646,30.581843,32.018223,33.369271,30.667176,334.738529,0.982442,1282.788456,2347.961872,1283.288456,1748.538128,11.62879,75.512283,701802.4761,2404.584697,291.860161,2207.635498,103.160539,490.152501,2.947783,32.326786,33.622355,31.031217,337.737991,0.987401
elp1m008-fa05-20201224-0347-e91.fits,0,59208.84553,2459208.845529,2459208.848764,1.655237,59.996,27.173241,46.349271,1.35,35,62,93,0.042742,0.373256,0.03228,0.017186,0.006195,2.847831,0.089765,0.102148,0.092699,0.000282,0.000421,0.000279,0.000275,0.000275,0.00573,0.00032,0.000328,0.000323,151.583409,886.310281,115.63507,62.379977,22.500312,496.966431,280.083802,311.75521,287.106013,8251553.475,5334.840484,2028.119121,1822.095414,2028.619121,2274.404586,11.607681,75.568445,352687.0387,6748.941837,2315.486002,152.316636,1241.889526,52.258124,487.950577,12971,2.848457,32.466074,33.405672,31.526477,329.451688,0.985683,2323.621222,2022.179607,2324.121222,2074.320393,11.599234,75.546237,3079941.239,2847.912807,1081.473152,5580.231934,456.359132,490.9212,34.719182,32.858675,33.683545,32.033805,325.276211,0.979573,2128.065793,1987.318202,2128.565793,2109.181798,11.604869,75.550385,266356.2132,2296.974523,115.959585,829.16864,39.466367,487.694223,72.494519,45.698991,42.526915,48.871067,53.033087,0.750775,2286.571877,2145.076351,2287.071877,1951.423649,11.60037,75.533012,141807.5225,2271.436367,62.43077,830.877808,21.011816,486.740327,5.222704,32.782846,32.51235,33.053343,309.448667,0.992657,2115.902866,1884.185806,2116.402866,2212.314194,11.60517,75.561568,51117.19759,2271.603509,22.502694,697.845642,7.574106,488.824937,29.116008,28.287014,32.980234,23.593794,339.646112,0.818511,2806.395535,1158.810143,2806.895535,2937.689857,11.584729,75.638599,6107084.666,3350.262291,1822.867625,13959.03516,904.89514,495.957121,31.200992,32.853335,33.209946,32.496724,319.971005,0.984193,2610.552023,2513.267419,2611.052023,1583.232581,11.591233,75.492491,679688.9852,2388.657869,284.548488,2117.221924,100.710452,486.973699,1.964879,32.431211,33.476162,31.386259,330.060326,0.983544,2137.419096,2828.622304,2137.919096,1267.877696,11.605013,75.459327,764759.2847,2404.358601,318.072056,2297.939453,113.315436,488.48998,30.683171,32.200392,33.500064,30.900719,334.65547,0.983817,1282.759005,2347.917745,1283.259005,1748.582255,11.629424,75.512636,700020.5385,2397.840459,291.937913,2104.484619,103.723007,492.058783,3.253206,32.542113,33.700251,31.383975,337.484256,0.989882
elp1m008-fa05-20201224-0348-e91.fits,0,59208.84653,2459208.846534,2459208.849769,1.652013,60.067,33.503969,47.222341,1.35,35,62,93,0.043351,0.371177,0.032312,0.017489,0.005624,2.845967,0.08913,0.102564,0.09308,0.000289,0.000428,0.000287,0.000282,0.000283,0.005859,0.000327,0.000336,0.000331,149.807901,867.158257,112.652896,61.949972,19.87006,485.702367,272.164009,304.928665,281.208678,8275535.684,5452.487929,2027.746793,1822.383622,2028.246793,2274.116378,11.607662,75.568415,358755.3065,7005.592941,2383.074955,150.543022,1372.417114,51.209842,491.860067,12849,35.241213,32.696269,34.348003,31.044535,341.032467,0.983673,2323.14396,2022.268422,2323.64396,2074.231578,11.599207,75.546236,3071686.818,2907.160461,1056.59349,4966.56543,438.462075,496.100708,36.988242,32.829179,34.251762,31.406596,333.805605,0.97991,2126.889374,1985.80234,2127.389374,2110.69766,11.604867,75.550546,267398.1582,2367.099179,112.964493,764.497559,38.16924,492.438018,62.905863,44.253765,42.59928,45.90825,49.828931,0.801905,2287.023218,2145.25035,2287.523218,1951.24965,11.600313,75.532986,144733.6865,2334.35249,62.001642,802.778748,20.659734,491.119092,2.840182,33.366957,33.484403,33.24951,317.252003,0.991964,2114.342952,1884.320667,2114.842952,2212.179333,11.605182,75.561558,46542.05965,2342.120298,19.871763,660.554626,6.643558,493.302371,33.476373,28.463325,34.510077,22.416573,352.260825,0.822057,2805.935156,1158.927748,2806.435156,2937.572252,11.584709,75.638711,6123791.814,3395.041308,1803.745893,12192.58008,874.12898,499.326201,34.281077,32.593411,33.493884,31.692939,329.767996,0.987456,2610.362104,2513.333924,2610.862104,1583.166076,11.591179,75.492474,677236.2162,2450.172229,276.403515,1838.20813,96.670792,492.317115,33.609248,32.369956,33.953127,30.786786,338.74568,0.982477,2137.10433,2828.813487,2137.60433,1267.686513,11.604966,75.459229,769814.8838,2474.90796,311.047884,2047.498291,109.885757,493.632215,33.347263,32.229192,34.03749,30.420893,344.483492,0.982957,1282.386042,2348.09638,1282.886042,1748.40362,11.629409,75.512508,704692.7701,2464.712107,285.912812,1843.904785,100.590025,495.990938,1.673023,32.547003,34.137581,30.956426,346.642139,0.988084
elp1m008-fa05-20201224-0349-e91.fits,0,59208.84754,2459208.847538,2459208.850773,1.648837,59.98,27.308229,47.428834,1.35,35,62,93,0.043198,0.37327,0.032841,0.016758,0.005849,2.840511,0.089526,0.102566,0.093121,0.000288,0.000428,0.000287,0.000282,0.000282,0.005816,0.000327,0.000335,0.000329,149.914765,872.968366,114.589893,59.530271,20.722409,488.375842,273.982962,306.497156,282.876655,8262179.347,5428.664266,2027.430104,1822.292356,2027.930104,2274.207644,11.607488,75.568764,356909.0793,7066.994713,2369.168877,150.647378,1106.328491,50.503657,481.083428,12971,34.66436,32.74017,34.322292,31.158048,345.535784,0.987863,2323.200976,2022.318419,2323.700976,2074.181581,11.599028,75.546523,3084021.162,2893.880751,1065.704301,4965.17334,436.397831,484.12034,36.768432,33.175692,34.89631,31.455073,339.882483,0.981637,2126.898215,1987.300552,2127.398215,2109.199448,11.60469,75.550704,271337.7747,2361.182108,114.916073,781.68457,38.395073,480.866397,1.619775,44.275469,42.618458,45.932481,50.03221,0.81706,2286.6838,2145.284967,2287.1838,1951.215033,11.600151,75.533278,138456.5656,2324.037957,59.575862,749.709778,19.592001,480.451174,34.295369,33.597485,34.400761,32.79421,338.208176,0.995647,2113.684502,1884.039954,2114.184502,2212.460046,11.60502,75.561915,48322.20186,2331.665348,20.72433,692.188538,6.83773,482.17716,3.768972,27.459069,32.083231,22.834906,342.306507,0.838611,2805.911368,1158.93163,2806.411368,2937.56837,11.584497,75.638958,6110856.243,3389.678572,1802.783395,11894.65039,864.703667,489.056076,33.720679,32.849653,34.037737,31.661568,335.191115,0.987567,2610.201941,2513.388579,2610.701941,1583.111421,11.591022,75.49271,678897.8327,2439.550232,278.288114,1840.682495,96.065988,480.828004,33.030492,32.604608,34.481164,30.728052,344.445098,0.982043,2136.980751,2828.760168,2137.480751,1267.739832,11.604823,75.459533,768587.6008,2458.016565,312.686095,1962.182739,108.757348,481.945929,32.986941,32.394879,34.703693,30.086066,348.702319,0.976403,1282.392218,2347.908537,1282.892218,1748.591463,11.629252,75.512955,703837.6705,2446.880488,287.646934,1815.558716,99.595047,483.862377,1.415076,32.803308,34.648581,30.958035,349.931113,0.985731
elp1m008-fa05-20201224-0350-e91.fits,0,59208.84855,2459208.848551,2459208.851786,1.645637,59.98,33.786638,46.436012,1.35,35,62,93,0.043189,0.372333,0.033256,0.017491,0.005984,2.829637,0.089666,0.102778,0.093655,0.000283,0.000422,0.000281,0.000276,0.000277,0.005684,0.000321,0.000329,0.000325,152.429764,882.2347,118.471556,63.319196,21.611061,497.781551,279.724313,312.745387,288.058977,8252029.435,5345.558129,2028.143674,1822.362428,2028.643674,2274.137572,11.607479,75.568747,356394.9026,6774.226359,2326.666491,153.178336,1155.678955,52.610421,488.321253,12703,34.514175,31.734412,33.310766,30.158058,344.803065,0.9868,2323.575044,2022.215094,2324.075044,2074.284906,11.599028,75.546526,3072502.399,2857.857761,1075.10683,4973.505859,453.557681,492.45531,36.332335,32.565447,33.992184,31.138711,336.286418,0.983289,2127.528541,1986.800077,2128.028541,2109.699923,11.604682,75.550749,274427.6572,2309.569702,118.821985,1165.930664,40.510553,488.52953,71.927757,44.57271,43.235272,45.910147,49.107238,0.823904,2286.924219,2145.327644,2287.424219,1951.172356,11.600155,75.533265,144338.7771,2277.623775,63.372528,764.46991,21.30705,487.216335,1.931,33.196614,33.723255,32.669973,331.565217,0.996632,2115.015935,1883.587422,2115.515935,2212.912578,11.604993,75.561954,49376.17189,2284.540041,21.613179,682.082275,7.288828,489.131779,31.578173,27.210699,30.860158,23.561241,352.108579,0.925022,2806.388231,1158.907343,2806.888231,2937.592657,11.584495,75.638956,6097248.295,3352.705185,1818.605561,12818.27148,900.065627,497.080633,33.236881,32.230468,33.160568,31.300367,332.501112,0.989893,2610.562499,2513.187042,2611.062499,1583.312958,11.591022,75.492724,679037.6174,2389.358535,284.192434,1959.836182,100.238401,487.562163,32.658346,32.002856,33.775176,30.230535,344.138617,0.983148,2137.396502,2828.694914,2137.896502,1267.805086,11.604822,75.459529,769082.5099,2409.736039,319.15633,2166.508545,113.530678,489.151365,32.614438,31.699754,33.551879,29.84763,345.84444,0.982502,1282.805682,2347.92968,1283.305682,1748.57032,11.629251,75.51294,706661.0133,2412.156229,292.958227,1920.839355,104.316121,492.065302,1.978406,32.161144,33.964155,30.358133,351.158612,0.986237
elp1m008-fa05-20201224-0351-e91.fits,0,59208.84955,2459208.849553,2459208.852788,1.642509,60.019,31.10622,47.205809,1.35,35,62,93,0.042258,0.373184,0.033989,0.017402,0.006036,2.858641,0.089032,0.102484,0.092237,0.000288,0.000429,0.000287,0.000282,0.000281,0.005889,0.000327,0.000336,0.000329,146.546205,870.824008,118.360292,61.774345,21.465215,485.382274,272.581203,305.18405,279.968736,8262138.138,5438.122078,2027.964787,1822.044002,2028.464787,2274.455998,11.607483,75.56901,349142.4942,7000.688525,2371.36483,147.23272,1180.640869,49.872594,489.086051,13027,34.486867,32.17587,33.848994,30.502746,340.837759,0.982521,2323.101072,2022.075619,2323.601072,2074.424381,11.599076,75.546711,3083295.407,2901.338186,1062.71493,5223.96582,440.427452,493.043309,35.584989,32.589474,33.995762,31.183187,332.999809,0.978521,2126.880186,1987.539277,2127.380186,2108.960723,11.604722,75.5509,280821.6357,2365.389316,118.721106,809.16394,40.113431,488.40508,72.644548,45.719068,42.632589,48.805547,53.022441,0.763519,2287.010777,2145.543613,2287.510777,1950.956387,11.600197,75.533449,143775.5698,2325.507039,61.825472,2648.048584,20.537347,488.618188,1.383575,33.842083,34.948133,32.736032,355.78725,0.995643,2115.152888,1883.653874,2115.652888,2212.846126,11.604998,75.562157,49868.05034,2322.971062,21.467358,686.493774,7.123307,489.932567,3.834949,28.732674,33.907956,23.557392,351.527814,0.866956,2805.968986,1158.795852,2806.468986,2937.704148,11.584489,75.638778,6120933.846,3394.55641,1803.161623,13836.93945,874.333121,497.442047,32.667842,32.510538,33.412615,31.60846,329.630242,0.987129,2610.432759,2513.299961,2610.932759,1583.200039,11.591123,75.492887,675456.9445,2439.932292,276.834298,2006.786133,96.484359,488.860983,32.001632,32.181724,33.917208,30.446241,341.186463,0.981562,2137.101178,2828.621895,2137.601178,1267.878105,11.60493,75.459948,768027.2888,2467.106541,311.3069,2307.13208,109.707393,490.870882,32.155603,31.924031,33.854294,29.993768,344.094233,0.979897,1282.572756,2347.85775,1283.072756,1748.64225,11.629263,75.513555,697720.0587,2451.586066,284.599455,2091.990479,99.664491,493.517673,1.409337,32.368165,34.187838,30.548491,349.172557,0.985457
elp1m008-fa05-20201224-0352-e91.fits,0,59208.85056,2459208.850560,2459208.853795,1.639385,59.984,37.929474,45.6978,1.35,35,62,93,0.043255,0.372447,0.033294,0.017096,0.004967,2.836941,0.090518,0.102441,0.092535,0.000279,0.000418,0.000276,0.000271,0.000272,0.005629,0.000317,0.000324,0.000319,155.058957,891.843041,120.542988,63.038632,18.251705,503.956025,285.714138,316.348992,289.704368,8248497.778,5281.616921,2027.901056,1821.906973,2028.401056,2274.593027,11.607471,75.56863,356787.7031,6560.553075,2289.611598,155.82892,1162.373047,54.383784,493.487114,12885,34.489727,32.202734,33.716188,30.68928,342.145707,0.986659,2323.328557,2021.828775,2323.828557,2074.671225,11.599017,75.546437,3072131.942,2827.787125,1086.408491,5005.327637,468.273316,497.865792,36.230555,32.57912,33.925067,31.233172,334.166072,0.982313,2126.910104,1986.653833,2127.410104,2109.846167,11.604682,75.550615,274623.0315,2271.420128,120.903671,811.727478,41.859738,493.624756,72.03894,45.325068,42.88654,47.763597,51.681159,0.784475,2286.673893,2144.81643,2287.173893,1951.68357,11.60014,75.533189,141020.0385,2235.2184,63.090049,788.939453,21.495145,493.110682,33.775252,32.671834,32.240754,33.102914,298.930753,0.99754,2113.700267,1883.414256,2114.200267,2213.085744,11.605015,75.561819,40968.20737,2244.470239,18.252952,655.606567,6.244627,495.329151,32.698438,21.451471,27.675562,15.227379,344.974636,0.617639,2806.231355,1158.597797,2806.731355,2937.902203,11.584508,75.638878,6098739.128,3327.876697,1832.621724,11745.87305,929.607467,501.745277,33.378952,32.434133,33.349304,31.518963,330.936185,0.988596,2610.293715,2512.74322,2610.793715,1583.75678,11.591002,75.492682,684662.6021,2357.825312,290.37885,2385.184326,104.3605,492.955735,32.789541,32.070095,33.579977,30.560212,339.116882,0.984133,2136.954652,2828.288409,2137.454652,1268.211591,11.604794,75.459449,766468.5723,2374.163063,322.837376,2096.092041,116.829871,494.079214,32.529612,31.740769,33.441468,30.04007,342.865714,0.983281,1282.488881,2347.447821,1282.988881,1749.052179,11.629225,75.512772,698627.4756,2371.649962,294.574447,1826.483276,106.489113,497.454812,2.328033,32.249708,33.837139,30.662277,348.108785,0.988482
elp1m008-fa05-20201224-0353-e91.fits,0,59208.85156,2459208.851564,2459208.854799,1.636306,59.991,36.193448,47.387721,1.35,35,62,93,0.042925,0.372838,0.03289,0.017346,0.005391,2.813122,0.091438,0.103429,0.092587,0.000294,0.000433,0.000291,0.000288,0.000288,0.005823,0.000333,0.000341,0.000335,145.796709,860.261171,112.84703,60.210544,18.730736,483.131188,274.776977,303.122027,276.122411,8260273.321,5505.89515,2027.972763,1821.916697,2028.472763,2274.583303,11.607585,75.567194,354575.6252,7054.748078,2420.47522,146.490087,1130.844604,50.260565,502.758666,12994,3.26039,33.386704,34.716688,32.056719,333.151837,0.981949,2323.240344,2022.030915,2323.740344,2074.469085,11.599145,75.544986,3079745.555,2932.996209,1050.033936,4966.501953,436.549331,506.448635,37.200249,33.382598,34.499697,32.265498,328.692997,0.978877,2127.017511,1986.352899,2127.517511,2110.147101,11.604799,75.549221,271680.9294,2400.694833,113.167624,779.827759,38.510366,502.730552,75.236386,44.463866,42.969668,45.958065,49.700274,0.831064,2286.669364,2144.944703,2287.169364,1951.555297,11.600266,75.531756,143280.455,2377.74,60.259093,805.101929,20.30979,501.384493,34.279672,33.418731,33.601199,33.236264,318.600611,0.992412,2113.949914,1882.744595,2114.449914,2213.755405,11.605126,75.560458,44529.20325,2377.148048,18.732196,693.869019,6.311948,503.799377,32.567828,27.610676,32.119319,23.102033,338.552808,0.811464,2805.809054,1158.71329,2806.309054,2937.78671,11.584649,75.637358,6093997.919,3418.627835,1782.585942,12199.25879,863.8151,511.135165,34.452897,33.098673,33.631233,32.566113,323.212034,0.987053,2610.031468,2513.82713,2610.531468,1582.67287,11.591145,75.491163,692022.5601,2478.036723,279.262431,2096.487793,98.093164,501.294687,34.407969,33.471541,35.416,31.527082,336.196881,0.970503,2137.190417,2828.555776,2137.690417,1267.944224,11.604916,75.458055,774267.0534,2503.445817,309.280532,1947.359985,109.751198,501.865438,1.647422,32.906826,34.397744,31.415908,336.726616,0.982712,1282.356676,2347.719729,1282.856676,1748.780271,11.629334,75.511371,699985.7886,2493.984395,280.669675,1862.329224,99.22194,507.036782,34.758745,33.137002,34.566588,31.707416,340.217726,0.987519
elp1m008-fa05-20201224-0354-e91.fits,0,59208.85255,2459208.852554,2459208.855789,1.633262,59.979,31.059251,47.618163,1.35,35,62,93,0.042969,0.371752,0.033415,0.016804,0.006463,2.851326,0.088846,0.102898,0.092606,0.000294,0.000433,0.000292,0.000287,0.000288,0.00597,0.000333,0.000341,0.000336,145.916329,857.844599,114.572197,58.496802,22.468752,477.606807,266.888404,301.497386,275.230343,8267045.879,5520.077828,2028.436466,1822.425754,2028.936466,2274.074246,11.607533,75.568861,355229.3681,7123.528225,2422.890417,146.613881,1106.859253,49.867054,497.969773,12780,34.626554,33.052331,34.457674,31.646987,337.687423,0.985776,2323.678197,2022.293826,2324.178197,2074.206174,11.5991,75.546603,3073294.144,2936.619324,1046.541552,4993.882812,431.428647,501.779756,36.867163,33.23138,34.385976,32.076784,330.775426,0.982407,2128.36271,1987.028895,2128.86271,2109.471105,11.604729,75.550837,276243.8417,2404.023764,114.908948,776.915588,38.779076,497.511943,62.62096,45.085675,43.352929,46.818422,50.086591,0.81117,2287.194495,2145.429439,2287.694495,1951.070561,11.600226,75.533351,138922.7258,2373.064991,58.541475,766.271057,19.501955,496.939343,1.665419,33.241346,33.435291,33.0474,319.674466,0.99484,2115.945743,1883.656697,2116.445743,2212.843303,11.605032,75.562055,53430.48724,2377.723229,22.471281,675.450684,7.500565,498.515659,4.176618,29.866033,34.962115,24.769952,356.788574,0.888643,2806.371053,1159.017156,2806.871053,2937.482844,11.584541,75.638909,6120500.361,3422.347558,1788.3924,11691.19434,859.195074,505.086881,33.861788,33.062572,33.750252,32.374892,326.606503,0.988871,2610.854321,2513.551268,2611.354321,1582.948732,11.591113,75.49275,674560.6456,2489.306426,270.983371,1800.256104,94.694739,497.705448,33.270959,32.857794,34.303969,31.411619,337.262631,0.984302,2137.666223,2828.810312,2138.166223,1267.689688,11.60492,75.459673,771298.2304,2507.681924,307.574188,1959.160645,108.274749,498.316451,33.659705,32.665049,34.272684,31.057413,340.782168,0.984285,1283.044548,2347.97044,1283.544548,1748.52956,11.629318,75.5132,700686.6417,2504.731782,279.745179,1791.593872,98.362303,502.252432,2.590642,33.052985,34.53353,31.57244,345.094496,0.989382
elp1m008-fa05-20201224-0355-e91.fits,0,59208.85357,2459208.853565,2459208.856800,1.630196,59.984,29.776974,46.433723,1.35,35,62,93,0.043056,0.37254,0.032907,0.017157,0.005586,2.850969,0.089589,0.102327,0.092447,0.000284,0.000424,0.000282,0.000278,0.000278,0.005781,0.000322,0.00033,0.000326,151.49936,878.042605,116.883929,61.714318,20.121125,493.175848,278.309413,310.104714,283.553041,8262254.153,5371.225412,2028.024809,1821.927965,2028.524809,2274.572035,11.607471,75.568748,355743.3451,6773.558373,2336.734545,152.23952,1122.971069,52.519418,495.251494,12704,34.229602,32.553939,34.143029,30.96485,344.826101,0.987262,2323.435549,2021.968952,2323.935549,2074.531048,11.599021,75.546507,3078021.697,2878.347807,1069.371008,5358.446777,454.417239,499.080417,35.843692,32.748363,34.142887,31.353839,336.964415,0.984985,2127.195914,1987.836794,2127.695914,2108.663206,11.604682,75.550592,271886.188,2319.396264,117.222827,821.279602,40.139344,495.240823,64.908813,45.735712,42.467231,49.004194,53.531401,0.765125,2286.929343,2145.173861,2287.429343,1951.326139,11.600144,75.533236,141752.3082,2295.061877,61.764046,812.910706,20.927303,494.568537,2.511999,32.178181,32.497064,31.859297,327.793483,0.997894,2114.479806,1884.778008,2114.979806,2211.721992,11.604998,75.561779,46155.9665,2293.709563,20.122847,1405.994019,6.814139,496.874079,NaN,26.755054,30.359564,23.150545,344.67076,0.905355,2806.202649,1158.707423,2806.702649,2937.792577,11.584489,75.638919,6116754.235,3364.014266,1818.290219,12469.74609,903.034107,502.523161,33.517735,32.610117,33.578441,31.641793,335.488252,0.991812,2610.707206,2513.277421,2611.207206,1583.222579,11.591009,75.492669,679345.1804,2402.731592,282.738689,1777.762573,100.293692,494.606013,32.55415,32.485065,34.277521,30.692609,345.56079,0.984213,2137.380867,2828.385741,2137.880867,1268.114259,11.604813,75.459526,766970.9087,2424.145905,316.388097,2588.181885,113.230132,495.847308,2.163512,32.146143,33.934391,30.357894,347.575392,0.98506,1282.649772,2347.713881,1283.149772,1748.786119,11.629243,75.512929,699183.8294,2425.668563,288.243761,1849.43457,103.22253,499.158804,1.427035,32.464011,34.158023,30.769999,353.220424,0.988537
