Label,Saturated,J.D.-2400000,JD_UTC,DATE-OBS,JD-OBS,BJD-OBS,TIME-OBS,JD,DATE,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,X(IJ)_C6,Y(IJ)_C6,X(FITS)_C6,Y(FITS)_C6,Source-Sky_C6,Source_Error_C6,Source_SNR_C6,Peak_C6,Mean_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,X-Width_C6,Y-Width_C6,Angle_C6,Roundness_C6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,RA_T1,DEC_T1
lsc1m005-fa15-20190226-0153-e91.fits,0,58541.68609,2458541.686092,2019,NaN,2458541.690097,NaN,NaN,2019,10.250007,12.712147,1.4,8,32,48,0.058216,0.502777,0.163347,0.176221,0.093314,0.219816,0.123154,0.000158,0.000578,0.000264,0.000276,0.000199,0.000316,0.000227,369.11243,870.009274,617.604976,638.096695,468.720724,695.88322,541.849147,3167462.988,1757.488742,1629.927969,1488.807948,1630.427969,1542.692052,184396.4245,507.677238,488.977712,377.10599,3148.591309,363.21586,82.72335,3452,9.812602,8.796887,8.583847,9.009928,63.817569,0.993716,1466.984172,1525.678967,1467.484172,1505.821033,1059722.708,969.87633,1092.636943,16475.62109,2087.394566,85.719441,10.496199,8.840528,8.620096,9.06096,68.363726,0.995315,1619.547294,1935.630429,1620.047294,1095.869571,444747.5034,669.409444,664.387853,6618.74707,876.043813,84.78214,10.699409,8.82177,8.75052,8.89302,58.67301,0.998764,1822.913461,1969.66559,1823.413461,1061.83441,474548.3872,686.88684,690.868364,6363.1875,934.744266,84.387324,10.604765,8.954451,8.578843,9.330059,72.925209,0.98976,1127.995353,1490.259999,1128.495353,1541.240001,270340.6846,555.379099,486.76784,4908.169434,532.505034,83.662761,9.915395,8.827179,8.799189,8.855168,59.518418,0.999829,2021.966598,1730.748375,2022.466598,1300.751625,570790.479,741.705454,769.564894,8307.03125,1124.31765,86.347528,10.428365,8.863945,8.577331,9.150559,64.636301,0.989585,1852.323744,2155.138112,1852.823744,876.361888,347313.2264,607.956516,571.279717,5088.056152,684.122116,83.468709,9.793316,8.906768,8.552494,9.261041,71.879018,0.990302,10.243479,-47.216772
lsc1m005-fa15-20190226-0154-e91.fits,0,58541.68669,2458541.686688,2019,NaN,2458541.690693,NaN,NaN,2019,11.422191,12.56355,1.4,8,32,48,0.057573,0.50484,0.160988,0.177109,0.093282,0.220529,0.122827,0.000155,0.000576,0.00026,0.000275,0.000197,0.000314,0.000225,370.816195,876.587582,618.600951,644.448179,473.478371,701.831927,545.721428,3196549.85,1760.225654,1630.485593,1489.062112,1630.985593,1542.437888,184034.991,495.87774,485.840184,378.797385,2895.964844,371.129768,82.117515,3334,9.290647,8.717397,8.580175,8.85462,55.380336,0.992115,1467.523567,1525.918266,1468.023567,1505.581734,1072370.657,974.011641,1100.983408,17204.29297,2162.570669,86.314293,9.987905,8.721687,8.534563,8.90881,62.777533,0.994559,1620.313708,1935.81446,1620.813708,1095.68554,443249.435,666.817027,664.72423,7101.083008,893.868385,84.847193,10.620044,8.774675,8.670108,8.879241,58.041222,0.997062,1823.458522,1969.88098,1823.958522,1061.61902,480955.2815,688.964815,698.083953,7356.350098,969.90698,84.071746,10.299973,8.785961,8.419841,9.152081,71.097815,0.988912,1128.643922,1490.3795,1129.143922,1541.1205,272738.6847,554.552145,491.817924,4625.601562,550.011954,83.380782,9.208103,8.742874,8.644704,8.841044,60.526596,0.998105,2022.501548,1730.91643,2023.001548,1300.58357,577561.6008,743.944394,776.350498,9546.254883,1164.725806,86.661996,9.862049,8.740084,8.460831,9.019338,62.149454,0.987167,1853.030499,2155.34134,1853.530499,876.15866,349674.1911,607.780278,575.32994,5830.090332,705.162105,83.248179,10.43661,8.820835,8.479056,9.162615,69.308004,0.989364,10.243475,-47.216772
lsc1m005-fa15-20190226-0155-e91.fits,0,58541.68729,2458541.687285,2019,NaN,2458541.691290,NaN,NaN,2019,11.913978,12.805839,1.4,8,32,48,0.058252,0.499405,0.164151,0.176261,0.094595,0.218554,0.123977,0.000159,0.000576,0.000266,0.000277,0.000201,0.000316,0.000229,367.370843,866.854909,616.924172,636.083631,470.321898,692.29835,541.723804,3161250.861,1759.313491,1630.161532,1488.615545,1630.661532,1542.884455,184148.3444,515.188256,490.671893,375.298335,2762.290039,357.43894,83.247003,3392,10.225884,8.904429,8.785219,9.023639,55.425541,0.994343,1467.164752,1525.492503,1467.664752,1506.007497,1052913.338,968.042246,1087.672922,16084.85742,2043.744836,86.594056,9.816235,8.970049,8.769649,9.170448,64.525714,0.994975,1619.812168,1935.473385,1620.312168,1096.026615,445752.1839,671.423353,663.891391,7151.789062,865.221943,85.024628,10.742911,8.936458,8.84905,9.023867,58.553991,0.998157,1823.084424,1969.500347,1823.584424,1061.999653,473708.4193,687.864048,688.665763,6952.081543,919.486059,84.918867,10.06231,9.056035,8.728469,9.3836,68.128649,0.989999,1128.157554,1490.142585,1128.657554,1541.357415,273195.9726,559.026069,488.69988,4318.875977,530.283774,83.896063,10.091383,8.882493,8.895082,8.869904,41.050646,0.999575,2022.129768,1730.595847,2022.629768,1300.904153,566987.5748,741.036507,765.127722,8393.685547,1100.544448,87.101973,10.62649,8.969825,8.724171,9.215478,61.076618,0.989423,1852.533491,2154.99136,1853.033491,876.50864,348693.3723,610.300461,571.347057,5504.620605,676.827098,83.474785,10.41044,9.03179,8.72132,9.342259,66.954928,0.990196,10.243479,-47.216775
lsc1m005-fa15-20190226-0156-e91.fits,0,58541.68788,2458541.687881,2019,NaN,2458541.691886,NaN,NaN,2019,11.341729,12.661244,1.4,8,32,48,0.057677,0.504328,0.159948,0.177464,0.094059,0.220766,0.122743,0.000157,0.000578,0.000261,0.000277,0.000199,0.000316,0.000226,368.06476,872.452568,613.595452,641.606749,472.178324,698.647143,542.387373,3179656.425,1759.886015,1630.305589,1488.62029,1630.805589,1542.87971,183393.155,503.619614,487.814545,375.948517,2725.875244,364.150144,83.555017,3355,9.391444,8.769941,8.637345,8.902538,55.899551,0.993372,1467.374136,1525.434845,1467.874136,1506.065155,1065984.182,972.422164,1096.215432,16129.33789,2116.645487,87.241549,9.272133,8.838037,8.650165,9.025908,64.657139,0.995501,1620.035618,1935.486625,1620.535618,1096.013375,438449.7335,665.343805,658.982214,6764.713867,870.597017,85.749172,10.045081,8.88189,8.833122,8.930659,50.867686,0.997085,1823.281118,1969.416988,1823.781118,1062.083012,479229.5524,689.433478,695.106297,7416.655273,951.57047,85.21973,9.590167,8.970595,8.582766,9.358424,69.528957,0.986946,1128.416438,1490.044763,1128.916438,1541.455237,273362.4372,557.240001,490.564993,4678.53418,542.795455,84.297937,8.523166,8.765834,8.812811,8.718857,34.623459,0.999085,2022.294319,1730.522095,2022.794319,1300.977905,575016.5468,743.923135,772.951559,8659.079102,1141.767579,87.073487,9.747035,8.833551,8.562626,9.104475,61.894389,0.987857,1852.761997,2154.998054,1853.261997,876.501946,347613.9729,607.992575,571.74049,5520.350586,690.231205,84.105769,10.909097,8.930593,8.595826,9.265361,69.361357,0.990076,10.243475,-47.216778
lsc1m005-fa15-20190226-0157-e91.fits,0,58541.68848,2458541.688479,2019,NaN,2458541.692485,NaN,NaN,2019,11.776211,12.863343,1.4,8,32,48,0.057981,0.502001,0.162409,0.177051,0.094637,0.219937,0.122209,0.000158,0.000578,0.000264,0.000278,0.000201,0.000317,0.000227,366.296174,868.200502,614.520321,637.853216,470.874625,694.55178,538.308601,3169964.659,1762.751938,1630.171696,1488.663688,1630.671696,1542.836312,183799.0059,519.825527,491.257518,374.139833,2739.675049,353.578261,83.468628,3529,10.099933,8.895049,8.76682,9.023278,58.72323,0.996089,1467.196882,1525.511463,1467.696882,1505.988537,1059469.601,971.586212,1090.453516,14653.49316,2038.125383,86.600297,9.709908,8.998624,8.787087,9.210161,67.515864,0.995589,1619.792829,1935.458216,1620.292829,1096.041784,442900.4999,670.326034,660.724002,6254.265137,852.017604,85.089744,10.633492,8.97071,8.883472,9.057949,64.749176,0.999065,1823.121997,1969.513615,1823.621997,1061.986385,476823.6216,690.181294,690.867205,6569.940918,917.276272,84.455085,9.883365,9.06559,8.692485,9.438696,72.731477,0.990049,1128.204602,1490.116886,1128.704602,1541.383114,274060.4255,560.118236,489.29031,4408.111816,527.216174,83.209212,9.90782,8.945201,8.949358,8.941043,43.469516,0.999697,2022.158358,1730.5742,2022.658358,1300.9258,571499.267,743.989219,768.155307,7900.735352,1099.40593,86.012741,10.455728,8.990055,8.685232,9.294877,64.905942,0.988808,1852.577853,2154.994738,1853.077853,876.505262,345211.2439,608.58444,567.236395,5229.61084,664.090596,83.952031,10.401501,9.043043,8.735374,9.350713,70.912247,0.992525,10.243478,-47.216775
lsc1m005-fa15-20190226-0158-e91.fits,0,58541.68908,2458541.689077,2019,NaN,2458541.693083,NaN,NaN,2019,11.070081,12.767744,1.4,8,32,48,0.057789,0.496009,0.165215,0.176586,0.094694,0.219556,0.123646,0.000157,0.000571,0.000266,0.000276,0.0002,0.000316,0.000228,367.226153,868.271528,620.506567,638.744068,472.515627,695.713454,542.504671,3173051.55,1760.554574,1629.90779,1488.060455,1630.40779,1543.439545,183368.5979,512.127595,488.85929,375.094842,2873.477783,358.052563,82.19772,3332,9.006282,8.962168,8.777103,9.147233,61.065736,0.993976,1466.892688,1524.998374,1467.392688,1506.501626,1052040.116,967.337622,1087.562493,18201.75391,2054.253914,86.479056,9.506197,8.923327,8.74504,9.101614,64.427634,0.995946,1619.462337,1934.922895,1619.962337,1096.577105,449905.3185,673.414217,668.095961,8143.9375,878.502395,85.082242,9.076287,8.940575,8.92005,8.9611,47.758994,0.99772,1822.771311,1968.842891,1823.271311,1062.657109,476221.3515,688.466778,691.7129,8234.944336,929.888091,84.23667,10.0057,8.991193,8.732362,9.250024,66.554019,0.992914,1127.908074,1489.686795,1128.408074,1541.813205,274478.6657,558.962208,491.050489,4640.118652,535.957579,83.216558,9.597149,8.851458,8.860848,8.842069,43.420441,0.998518,2021.84508,1729.997816,2022.34508,1301.502184,571243.594,742.53173,769.318766,10585.01953,1115.43217,85.970479,9.667371,8.937097,8.722763,9.151431,59.933754,0.990734,1852.229951,2154.395591,1852.729951,877.104409,349162.5045,610.364644,572.055586,6039.499512,681.788109,83.71173,8.855366,9.031996,8.678744,9.385248,72.900232,0.991083,10.243477,-47.216781
lsc1m005-fa15-20190226-0159-e91.fits,0,58541.68967,2458541.689672,2019,NaN,2458541.693678,NaN,NaN,2019,11.362619,12.802563,1.4,8,32,48,0.057717,0.50252,0.161888,0.177334,0.093665,0.221152,0.122144,0.000157,0.000575,0.000262,0.000276,0.000199,0.000316,0.000226,368.167718,873.190314,617.412289,642.083911,471.407131,699.908911,541.328809,3195203.069,1766.504478,1630.290721,1488.142921,1630.790721,1543.357079,184417.5269,514.924711,490.420041,376.039948,2570.057373,358.144643,82.263807,3279,9.126022,8.936854,8.739859,9.133849,63.396375,0.994587,1467.295573,1525.041417,1467.795573,1506.458583,1068639.696,974.440382,1096.670167,15806.55371,2075.331934,85.998629,9.406714,8.917995,8.720536,9.115454,68.743687,0.996394,1619.987532,1935.136641,1620.487532,1096.363359,445194.0936,670.778378,663.69774,7253.563965,864.580946,84.543118,10.528921,8.973343,8.869506,9.07718,60.553844,0.997994,1823.193361,1969.011358,1823.693361,1062.488642,481273.2502,691.914502,695.567514,7475.491211,934.647804,84.072954,9.651051,9.002353,8.699514,9.305193,68.374374,0.991487,1128.344452,1489.806979,1128.844452,1541.693021,273647.813,558.868073,489.646531,4645.70166,531.432668,83.091571,9.776351,8.848765,8.880615,8.816916,37.491939,0.999228,2022.238999,1730.090294,2022.738999,1301.409706,578655.3664,747.134408,774.499689,9106.790039,1123.76694,86.558903,9.378126,8.935873,8.648366,9.22338,65.66957,0.990529,1852.72676,2154.699908,1853.22676,876.800092,347792.8491,609.730561,570.404161,4911.461914,675.424663,82.750491,10.601065,8.986151,8.631456,9.340845,72.846777,0.990895,10.243477,-47.216797
lsc1m005-fa15-20190226-0160-e91.fits,0,58541.69027,2458541.690268,2019,NaN,2458541.694274,NaN,NaN,2019,11.081108,12.733316,1.4,8,32,48,0.057589,0.50162,0.162967,0.177079,0.094648,0.219947,0.121857,0.000157,0.000575,0.000263,0.000276,0.0002,0.000315,0.000225,367.825778,872.401952,618.819491,641.458848,474.133125,697.993883,540.775591,3186286.461,1762.425419,1630.183646,1488.179266,1630.683646,1543.320734,183495.9749,509.369477,488.432414,375.683451,2641.574219,360.241403,82.183087,3405,8.682498,8.873136,8.668868,9.077404,62.368381,0.993478,1467.210245,1524.984858,1467.710245,1506.515142,1064387.291,971.950527,1095.104392,15291.08008,2089.617338,86.048298,9.08637,8.895814,8.731843,9.059784,63.249372,0.996161,1619.845139,1935.089698,1620.345139,1096.410302,446494.7136,670.865111,665.550654,6508.927734,876.563543,84.746403,9.997814,8.896585,8.812525,8.980646,55.214531,0.997069,1823.124488,1968.852272,1823.624488,1062.647728,479343.4621,689.882688,694.818801,7166.352051,941.052583,83.62438,9.492821,8.962,8.694206,9.229794,67.005217,0.992615,1128.266255,1489.834675,1128.766255,1541.665325,275500.7005,559.113275,492.745769,4107.232422,540.866135,83.192442,9.552238,8.836561,8.912701,8.760421,28.486111,0.999,2022.154819,1730.001696,2022.654819,1301.498304,574463.25,744.239905,771.87913,8687.660156,1127.792842,86.187011,9.068648,8.916218,8.648197,9.18424,64.042064,0.990517,1852.552992,2154.584806,1853.052992,876.915194,346097.0445,607.418078,569.783905,5174.906738,679.461688,83.062807,10.324749,8.998047,8.621803,9.374292,71.506144,0.989077,10.243477,-47.216788
lsc1m005-fa15-20190226-0161-e91.fits,0,58541.69086,2458541.690862,2019,NaN,2458541.694868,NaN,NaN,2019,11.983058,12.983743,1.4,8,32,48,0.05844,0.499594,0.164406,0.176173,0.094131,0.219531,0.123373,0.000159,0.000576,0.000267,0.000277,0.000201,0.000317,0.000229,366.960168,866.790072,616.610486,635.131713,467.597266,693.246547,539.640552,3174637.179,1768.132069,1630.193441,1488.082312,1630.693441,1543.417688,185525.5519,529.602058,494.902184,374.873173,2253.451904,350.311237,83.454861,3423,9.8071,9.102592,8.97712,9.228064,76.44771,0.999041,1467.082269,1524.97629,1467.582269,1506.52371,1057639.347,971.699907,1088.442367,14014.17188,1997.045386,86.698373,9.919333,9.134498,9.010135,9.258861,74.764988,0.999002,1619.744109,1935.013017,1620.244109,1096.486983,448235.4414,675.474058,663.586463,6069.731934,846.362726,85.928268,11.170102,9.150152,9.109232,9.191072,63.734102,0.999784,1822.959826,1968.89049,1823.459826,1062.60951,475513.2095,691.624215,687.531176,6550.58252,897.868885,85.918432,10.335554,9.166269,8.8934,9.439139,82.855887,0.996232,1128.097206,1489.78155,1128.597206,1541.71845,273123.3085,562.381934,485.654485,3842.515137,515.714213,85.137047,10.325395,9.050831,9.168838,8.932824,356.149577,0.999308,2022.036159,1729.979686,2022.536159,1301.520314,571475.5661,745.425075,766.643872,7979.650391,1079.065984,87.060422,10.184781,9.137982,8.947252,9.328713,65.393236,0.99592,1852.538014,2154.515202,1853.038014,876.984798,348650.3066,612.820581,568.927215,4429.006348,658.32506,84.01439,11.058031,9.243921,8.947803,9.54004,79.766645,0.995333,10.243478,-47.216779
lsc1m005-fa15-20190226-0162-e91.fits,0,58541.69146,2458541.691460,2019,NaN,2458541.695466,NaN,NaN,2019,11.875837,12.87493,1.4,8,32,48,0.05795,0.500491,0.164423,0.176316,0.094251,0.219871,0.12231,0.000158,0.000575,0.000265,0.000276,0.0002,0.000316,0.000227,366.982617,869.936218,619.491812,638.187058,470.941099,695.984547,539.636951,3185414.098,1767.134876,1630.17053,1488.342104,1630.67053,1543.157896,184594.6076,520.762397,492.471909,374.832765,2693.762695,354.469925,83.230507,3355,9.530637,9.009016,8.902101,9.11593,56.68108,0.996418,1467.206994,1525.178124,1467.706994,1506.321876,1062499.354,972.929248,1092.062301,14849.7793,2040.276641,87.39478,9.714451,9.062802,8.922325,9.203279,67.798311,0.998118,1619.808982,1935.108279,1620.308982,1096.391721,449798.7474,674.586195,666.777279,6759.179688,863.731234,85.223403,10.708346,9.045802,8.973931,9.117673,56.840028,0.998435,1823.088141,1969.106603,1823.588141,1062.393397,477457.1829,691.004809,690.960723,6677.409668,916.842664,85.051305,10.198463,9.130095,8.871031,9.389159,71.50905,0.994961,1128.174982,1489.877149,1128.674982,1541.622851,274368.3988,560.77751,489.26427,4053.102295,526.859083,84.413384,10.206507,8.998758,9.142486,8.85503,12.856951,0.998744,2022.168885,1730.19289,2022.668885,1301.30711,574141.9649,745.958608,769.670004,8847.563477,1102.502732,87.01197,9.815125,9.036238,8.855775,9.216701,63.109134,0.995434,1852.595159,2154.628658,1853.095159,876.871342,347148.4501,610.487107,568.641739,5244.658691,666.615816,83.845132,10.974269,9.157148,8.837421,9.476876,72.403019,0.992716,10.243477,-47.216776
lsc1m005-fa15-20190226-0163-e91.fits,0,58541.69205,2458541.692054,2019,NaN,2458541.696060,NaN,NaN,2019,10.287787,12.770856,1.4,8,32,48,0.057895,0.502939,0.163131,0.177206,0.092902,0.219966,0.122675,0.000157,0.000576,0.000263,0.000276,0.000198,0.000315,0.000226,369.100998,873.44929,619.568941,641.978884,469.486412,698.882363,542.837179,3195489.709,1766.175757,1630.011245,1488.041813,1630.511245,1543.458187,185002.7497,512.377288,490.684388,377.030031,3032.744141,361.067429,83.191561,3389,7.108519,8.85811,8.591828,9.124392,71.809765,0.994434,1467.033777,1524.878839,1467.533777,1506.621161,1069329.283,974.730408,1097.051322,18034.29102,2086.99587,87.064695,7.913297,8.85518,8.654029,9.056331,79.23893,0.997617,1619.685824,1935.039379,1620.185824,1096.460621,448172.2574,672.514448,666.412831,7881.936523,874.691889,85.450997,9.397227,8.912942,8.847538,8.978347,56.641859,0.998622,1822.931983,1968.881944,1823.431983,1062.618056,481020.6559,691.72847,695.389415,8249.395508,938.801675,84.377277,8.879231,8.944259,8.564121,9.324398,78.82591,0.991584,1128.045108,1489.716829,1128.545108,1541.783171,271630.9898,557.226412,487.469696,4424.336914,530.138623,84.090363,9.619329,8.860862,8.791319,8.930404,69.349892,0.999564,2021.97301,1729.977875,2022.47301,1301.522125,576163.7168,745.384737,772.974932,10249.06348,1124.491133,86.260106,7.861142,8.807379,8.472953,9.141804,75.087931,0.99236,1852.397965,2154.526284,1852.897965,876.973716,349172.8062,610.257155,572.173228,6202.459961,681.475964,83.75013,9.359931,8.915046,8.531491,9.298602,81.024256,0.991849,10.243477,-47.216803
lsc1m005-fa15-20190226-0164-e91.fits,0,58541.69265,2458541.692653,2019,NaN,2458541.696659,NaN,NaN,2019,10.836332,12.998625,1.4,8,32,48,0.058306,0.49991,0.163971,0.176371,0.094511,0.219357,0.123168,0.00016,0.000578,0.000267,0.000278,0.000202,0.000317,0.000229,365.153228,864.302357,614.159388,633.774361,467.591879,690.961211,537.20703,3156837.527,1763.370148,1630.212819,1488.343809,1630.712819,1543.156191,184062.9677,530.816877,493.473485,372.994646,2657.55957,346.754174,83.073898,3379,9.092131,8.998635,8.756058,9.241213,81.80425,0.996846,1467.171585,1525.27048,1467.671585,1506.22952,1052152.755,969.365306,1085.403767,15391.16504,1982.138854,86.212473,8.449803,9.017868,8.755004,9.280733,276.953403,0.996399,1619.830857,1935.302776,1620.330857,1096.197224,444709.9709,672.969482,660.817441,6109.666016,837.78416,84.588277,10.106677,9.049629,8.90994,9.189318,270.792737,0.999047,1823.09382,1969.214868,1823.59382,1062.285132,473298.3106,689.763859,686.174413,6879.165527,891.641414,84.425739,9.275734,9.111262,8.741156,9.481369,89.057432,0.993414,1128.132081,1490.041631,1128.632081,1541.458369,272593.5618,561.155577,485.771813,3978.468994,513.535974,83.706139,9.777105,9.020593,8.973847,9.067339,302.648788,0.999385,2022.141695,1730.304082,2022.641695,1301.195918,567900.2488,743.291517,764.034347,8193.657227,1069.860952,85.962254,8.754418,9.011237,8.669524,9.352949,84.909464,0.99408,1852.53479,2154.764098,1853.03479,876.735902,346182.6796,611.363406,566.246976,4963.353516,652.169693,83.545221,10.110668,9.064421,8.748634,9.380207,85.428462,0.995032,10.24348,-47.216801
lsc1m005-fa15-20190226-0165-e91.fits,0,58541.69325,2458541.693252,2019,NaN,2458541.697258,NaN,NaN,2019,10.493896,12.621437,1.4,8,32,48,0.057581,0.500719,0.163735,0.176616,0.09428,0.219441,0.122883,0.000157,0.000575,0.000264,0.000276,0.0002,0.000315,0.000227,367.488799,870.329589,619.059932,639.565729,472.325162,696.254926,541.945657,3169134.051,1756.276279,1630.141171,1488.212482,1630.641171,1543.287518,182483.1148,500.457791,486.161054,375.355272,2628.196533,364.632379,83.458466,3314,7.998909,8.76619,8.584252,8.948128,62.840004,0.99494,1467.117552,1525.078284,1467.617552,1506.421716,1057390.501,968.425585,1091.865515,15360.30859,2112.846516,86.639275,8.412364,8.783594,8.594233,8.972955,78.377491,0.9978,1619.842241,1935.186746,1620.342241,1096.313254,445889.7586,669.408866,666.094791,6380.652832,890.963767,85.82943,9.599804,8.802638,8.676376,8.928901,64.875668,0.997988,1823.046028,1969.064652,1823.546028,1062.435348,475702.2191,686.820119,692.61544,6729.356445,950.534146,84.799954,9.029972,8.87988,8.535097,9.224663,77.15103,0.992596,1128.257643,1489.896831,1128.757643,1541.603169,273042.46,556.338318,490.784925,3896.578369,545.585392,84.269446,9.297445,8.720895,8.727056,8.714733,36.025168,0.999979,2022.093462,1730.108624,2022.593462,1301.391376,570293.0919,740.808404,769.825354,8627.244141,1139.542839,87.261911,8.215935,8.79226,8.513132,9.071388,70.932617,0.993497,1852.532001,2154.687238,1853.032001,876.812762,346816.0214,607.057438,571.306765,5152.173828,692.997547,84.117781,10.066511,8.877299,8.508184,9.246414,74.306185,0.990543,10.243477,-47.216776
lsc1m005-fa15-20190226-0166-e91.fits,0,58541.69385,2458541.693848,2019,NaN,2458541.697854,NaN,NaN,2019,11.743706,12.732905,1.4,8,32,48,0.057931,0.500522,0.163402,0.176391,0.093539,0.219605,0.124151,0.000158,0.000576,0.000265,0.000277,0.0002,0.000316,0.000229,367.344226,868.459961,616.902932,637.304932,468.650664,694.843753,543.246398,3166049.781,1758.882585,1630.297894,1488.582718,1630.797894,1542.917282,183412.9854,509.336621,488.786942,375.241173,2462.197021,360.101705,83.054817,3462,10.115918,8.873232,8.795626,8.950838,51.80956,0.994482,1467.322011,1525.411191,1467.822011,1506.088809,1056084.419,968.997581,1089.873121,13618.23145,2073.45079,86.915595,9.792868,8.921038,8.800081,9.041996,56.926382,0.995505,1620.002147,1935.42306,1620.502147,1096.07694,444677.7521,670.053459,663.645185,5974.684082,873.052779,85.691815,10.776039,8.949114,8.887718,9.010509,53.03932,0.997546,1823.268869,1969.387464,1823.768869,1062.112536,474725.7168,687.997983,690.010332,6316.993164,932.047093,85.624618,10.271561,9.044152,8.711164,9.377139,66.503449,0.988377,1128.378452,1490.070258,1128.878452,1541.429742,270817.6962,556.390546,486.740291,4008.82251,531.706705,84.947562,9.6277,8.853251,8.912952,8.793549,35.543605,0.998269,2022.286927,1730.474471,2022.786927,1301.025529,570086.0461,741.952795,768.358918,7615.755371,1119.271662,87.568371,9.884266,8.924292,8.69216,9.156423,59.607929,0.988656,1852.734377,2155.006168,1853.234377,876.493832,349658.1509,610.192085,573.02964,4612.991211,686.497174,84.630444,11.243694,8.984286,8.634499,9.334073,68.328754,0.988571,10.243477,-47.216764
lsc1m005-fa15-20190226-0167-e91.fits,0,58541.69444,2458541.694443,2019,NaN,2458541.698449,NaN,NaN,2019,11.438447,12.861104,1.4,8,32,48,0.058181,0.502276,0.162674,0.177255,0.093383,0.220465,0.122497,0.000158,0.000577,0.000264,0.000277,0.0002,0.000317,0.000227,367.884145,869.786874,616.084186,639.125299,467.77739,696.235981,539.78272,3180063.154,1765.549272,1630.240305,1488.478815,1630.740305,1543.021185,185018.1056,519.644568,492.322984,375.806354,2570.012939,356.047416,83.177059,3466,9.347545,8.827341,8.566566,9.088117,64.920708,0.99151,1467.276477,1525.251304,1467.776477,1506.248696,1063232.911,972.99189,1092.745913,15361.89844,2046.077216,87.243781,9.315022,8.931515,8.639457,9.223574,69.877851,0.992675,1619.892871,1935.32369,1620.392871,1096.17631,444933.7035,671.575617,662.522123,6318.505859,856.226988,85.467521,10.264707,8.875156,8.7154,9.034912,66.31409,0.997176,1823.163359,1969.2399,1823.663359,1062.2601,478810.9914,691.620924,692.30264,6898.457031,921.42018,85.109146,9.585359,8.961495,8.532364,9.390626,74.62001,0.987635,1128.342981,1489.978868,1128.842981,1541.521132,271601.0392,559.163271,485.72761,4300.276367,522.666946,84.442641,9.740491,8.812026,8.766659,8.857394,56.614343,0.999318,2022.211721,1730.313479,2022.711721,1301.186521,574448.1539,745.841719,770.201156,8408.552734,1105.463598,87.067886,9.471174,8.959539,8.560739,9.358338,67.306128,0.983996,1852.58945,2154.858505,1853.08945,876.641495,347036.3549,610.044481,568.870575,4885.800293,667.834086,84.237507,10.601124,8.940697,8.528833,9.352561,73.666067,0.988072,10.243478,-47.216758
