 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5
1,lsc1m009-fa04-20200218-0116-e91.fits,1,0,58898.75572,2458898.756,NaN,NaN,NaN,2458898.761432,NaN,1.031116,10.199276,13,23,35,0.125205,0.274964,0.59054,0.339346,0.190032,0.000203,0.000345,0.00062,0.000399,0.000274,615.997653,797.329294,952.963628,850.876039,694.017749,4437195.086,2270.533561,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406493,555559.6872,530.929158,855.909982,649.086585,10281.46973,1046.391366,260.485352,1803,10.747352,9.718329,8.809831,10.626827,296.896455,0.901548,24.835553,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351981,956942.8777,1066.119065,897.594752,16975.99805,1802.392772,264.651186,15.31927,12.293762,12.356236,12.231288,40.84206,0.995062,25.169383,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447839,1647454.075,1352.194409,1218.355928,27748.14258,3102.964019,264.354567,8.662363,10.979003,9.997988,11.960018,303.501014,0.794082,28.017974,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400162,1124238.471,1141.065524,985.25321,20154.08789,2117.492424,259.955587,5.541387,13.060559,10.200004,15.921114,294.374098,0.598134,25.008695,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402956,708559.6617,942.471507,751.810168,12948.77832,1334.565357,261.374727,10.726011,10.163147,9.470028,10.856266,303.673339,0.875744,24.070042
2,lsc1m009-fa04-20200218-0117-e91.fits,2,0,58898.75717,2458898.757,NaN,NaN,NaN,2458898.762888,NaN,1.031712,12.329303,13,23,35,0.125095,0.27497,0.591721,0.339333,0.189377,0.000203,0.000345,0.000621,0.000399,0.000273,614.824575,797.117816,952.99058,850.600174,693.447497,4427574.056,2265.958948,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406478,553866.5477,530.929158,855.094542,647.725509,10894.98047,1043.202354,259.013196,1894,10.787644,9.771556,8.84631,10.696802,296.068758,0.906484,21.535994,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351965,954885.4808,1064.153214,897.319548,16924.35938,1798.517685,261.986523,15.480837,12.361542,12.305358,12.417726,47.919902,0.992019,24.663729,1306.194728,1672.475015,1306.694728,2424.024985,11.040495,-16.447826,1645946.322,1350.478775,1218.787257,30008.16992,3100.124179,260.567137,8.446057,11.10209,10.096596,12.107584,303.453473,0.790182,23.43976,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400147,1121768.651,1139.028019,984.847283,20568.6875,2112.840541,257.052069,6.045586,13.208807,10.262093,16.155521,294.072288,0.594267,23.587669,1549.073577,2087.39305,1549.573577,2009.10695,11.04233,-16.402941,704973.6034,938.600095,751.090488,13140.34473,1327.81105,258.826261,10.687114,10.221043,9.533802,10.908284,303.834698,0.875859,22.699298
3,lsc1m009-fa04-20200218-0118-e91.fits,3,0,58898.75864,2458898.759,NaN,NaN,NaN,2458898.764354,NaN,1.032384,12.639628,13,23,35,0.125859,0.275751,0.592135,0.337721,0.189739,0.000204,0.000346,0.000622,0.000398,0.000274,617.266381,797.654243,952.224849,849.143129,693.269206,4421002.546,2264.172599,2040.708446,2055.719908,2041.208446,2040.780092,11.046032,-16.406461,556423.1687,530.929158,855.203032,650.63283,10388.37988,1048.017725,256.836253,1859,10.845437,9.827467,8.881391,10.773542,295.669777,0.906746,23.959417,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.35195,955590.2395,1063.685925,898.376313,16194.72266,1799.845091,259.273619,15.681283,12.569962,12.495614,12.644311,47.792761,0.985229,27.035976,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447808,1644227.01,1350.34897,1217.63118,28323.17188,3096.885873,260.448887,7.890411,11.162307,9.936102,12.388511,301.116525,0.782871,26.195133,1321.374656,2112.69293,1321.874656,1983.80707,11.040618,-16.400131,1116126.11,1135.83855,982.645034,19982.21875,2102.21287,256.217737,5.972305,13.293875,10.0707,16.517049,292.291361,0.586516,24.784236,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402925,705059.1866,938.870736,750.965132,12449.25195,1327.972245,258.382417,10.479403,10.206418,9.364888,11.047948,301.894706,0.862479,25.488683
4,lsc1m009-fa04-20200218-0119-e91.fits,4,0,58898.76011,2458898.76,NaN,NaN,NaN,2458898.765822,NaN,1.033135,12.746585,13,23,35,0.125294,0.27567,0.591,0.338683,0.189683,0.000203,0.000345,0.00062,0.000398,0.000273,616.298809,798.26851,953.450168,850.750268,694.301975,4429030.164,2265.25964,2040.708446,2055.719908,2041.208446,2040.780092,11.046032,-16.406469,554930.453,530.929158,854.522317,649.404283,9972.942383,1045.206209,257.076984,1868,10.96266,9.845517,8.95882,10.732213,297.078074,0.906901,25.534067,1523.773697,2557.970821,1524.273697,1538.529179,11.042149,-16.351957,957104.7131,1064.775219,898.879591,15685.45703,1802.697588,258.522344,15.7273,12.542918,12.54731,12.538525,44.807375,0.989149,28.458159,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447814,1645227.7,1349.597094,1219.05101,26585.94141,3098.770663,258.038924,8.047232,11.159977,10.046072,12.273883,302.096161,0.793871,29.297153,1321.374656,2112.69293,1321.874656,1983.80707,11.040618,-16.400137,1120532.93,1137.843077,984.786877,19415.33398,2110.513074,256.233873,5.757563,13.244797,10.178309,16.311285,292.925866,0.601862,26.032917,1549.073577,2087.39305,1549.573577,2009.10695,11.042332,-16.402932,706164.82,938.912022,752.109679,12024.12305,1330.054695,257.151497,10.598542,10.255336,9.520013,10.990659,303.233166,0.87233,26.921916
5,lsc1m009-fa04-20200218-0120-e91.fits,5,0,58898.76158,2458898.762,NaN,NaN,NaN,2458898.767292,NaN,1.033958,12.800144,13,23,35,0.125219,0.275284,0.590768,0.33809,0.190617,0.000203,0.000345,0.00062,0.000398,0.000274,616.038858,797.816793,953.19315,850.373075,695.91917,4426621.195,2264.216479,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406479,554298.2918,530.929158,853.940913,649.106142,9174.205078,1044.01554,255.251077,1864,10.914805,9.87302,8.953743,10.792298,296.533926,0.905595,29.373984,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351968,955535.3904,1063.819419,898.212021,15293.17188,1799.741783,258.333995,15.69533,12.453766,12.432012,12.475521,46.187058,0.992887,29.339874,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447825,1643927.535,1349.286737,1218.367817,25707.34375,3096.321814,257.298167,8.191746,11.167585,10.136428,12.198741,302.972443,0.798202,30.761312,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400148,1118458.192,1136.450626,984.16787,18599.42383,2106.605325,254.064788,5.782094,13.221026,10.280322,16.161729,293.845227,0.603463,27.820663,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402943,708700.0771,939.611509,754.247974,11661.39453,1334.829828,255.239097,10.670157,10.311197,9.617834,11.00456,303.679379,0.879048,28.294763
6,lsc1m009-fa04-20200218-0121-e91.fits,6,0,58898.76303,2458898.763,NaN,NaN,NaN,2458898.768749,NaN,1.034859,12.779476,13,23,35,0.12506,0.275222,0.592367,0.337849,0.189968,0.000203,0.000345,0.000622,0.000398,0.000274,615.176124,797.560275,952.664113,849.301502,693.769409,4425030.359,2265.473342,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406473,553393.8787,530.929158,853.789034,648.162317,9109.3125,1042.312086,257.675637,1844,10.873016,9.915357,8.954185,10.876528,295.588073,0.906139,29.287759,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351962,955022.6101,1063.355735,898.121465,14588.23145,1798.775966,259.656613,15.679714,12.499815,12.410608,12.589021,49.293966,0.990865,31.560772,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447818,1646129.329,1351.018553,1218.435769,24616.05664,3100.468873,259.341456,7.89121,11.203972,10.141114,12.26683,302.745445,0.79454,33.207434,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400142,1117460.137,1137.071069,982.753117,18226.59961,2104.725497,256.807874,6.018912,13.297966,10.292351,16.303582,293.476435,0.603039,28.395775,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402936,706418.2826,939.926751,751.567377,11174.28125,1330.53209,258.830119,10.634387,10.303155,9.559631,11.046678,303.184184,0.871701,30.300893
7,lsc1m009-fa04-20200218-0122-e91.fits,7,0,58898.7645,2458898.765,NaN,NaN,NaN,2458898.770217,NaN,1.035834,12.930994,13,23,35,0.125421,0.274809,0.592169,0.337869,0.190424,0.000203,0.000345,0.000622,0.000398,0.000274,616.732197,797.110735,952.439393,849.430818,694.997721,4420446.27,2263.100061,2040.708446,2055.719908,2041.208446,2040.780092,11.046032,-16.40647,554415.6611,530.929158,852.970414,649.982288,9878.882812,1044.236603,252.940328,1816,11.103347,9.996705,9.089205,10.904205,296.377431,0.911473,24.999426,1523.773697,2557.970821,1524.273697,1538.529179,11.042149,-16.351959,952909.3824,1061.82547,897.425621,16004.01758,1794.795722,256.689071,15.813218,12.611255,12.609061,12.613449,45.103667,0.990758,26.262951,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447816,1644078.136,1350.172089,1217.680435,26288.41992,3096.60547,256.446556,8.350092,11.285324,10.169222,12.401426,301.93715,0.802118,28.872209,1321.374656,2112.69293,1321.874656,1983.80707,11.040618,-16.400139,1116351.292,1135.688115,982.973474,19366.93555,2102.636998,254.494915,5.669017,13.316495,10.268071,16.364919,292.967069,0.608718,25.221903,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402934,707107.4592,938.827136,753.181743,11628.42285,1331.830147,253.925474,10.939818,10.392667,9.643433,11.1419,302.884167,0.877858,27.763575
8,lsc1m009-fa04-20200218-0123-e91.fits,8,0,58898.76597,2458898.766,NaN,NaN,NaN,2458898.771682,NaN,1.036893,12.749932,13,23,35,0.125355,0.275876,0.591889,0.337587,0.189873,0.000204,0.000346,0.000621,0.000398,0.000274,615.727646,797.908226,952.718119,848.842903,694.213581,4422331.996,2263.9762,2040.708446,2055.719908,2041.208446,2040.780092,11.046027,-16.406293,554363.6131,530.929158,854.439478,648.803839,9534.668945,1044.138572,257.425797,1916,10.993806,9.908984,9.046558,10.77141,296.83036,0.915,27.168185,1523.773697,2557.970821,1524.273697,1538.529179,11.042139,-16.35181,956217.6062,1064.073684,898.638526,15135.32422,1801.02673,259.151571,15.753716,12.562511,12.520702,12.60432,46.685544,0.987187,29.727814,1306.194728,1672.475015,1306.694728,2424.024985,11.040492,-16.447724,1644292.237,1349.450035,1218.49064,25708.37695,3097.008726,260.075082,7.635918,11.270904,10.191899,12.349909,302.569083,0.796354,30.733886,1321.374656,2112.69293,1321.874656,1983.80707,11.040611,-16.400028,1116131.807,1136.67648,981.925664,18084.10156,2102.2236,256.339613,5.79911,13.39646,10.345871,16.447049,293.136751,0.607619,29.082552,1549.073577,2087.39305,1549.573577,2009.10695,11.042325,-16.402801,705690.3463,938.235904,752.145962,11394.78613,1329.161028,257.413662,10.636115,10.362419,9.67978,11.045058,303.858752,0.880303,29.195945
9,lsc1m009-fa04-20200218-0124-e91.fits,9,0,58898.76743,2458898.767,NaN,NaN,NaN,2458898.773148,NaN,1.038022,12.86627,13,23,35,0.125656,0.275303,0.592352,0.337412,0.190253,0.000204,0.000345,0.000622,0.000398,0.000274,616.606487,796.892008,951.987521,848.573585,693.546443,4421429.124,2265.278729,2040.708446,2055.719908,2041.208446,2040.780092,11.046028,-16.406293,555577.1174,530.929158,854.880804,649.888399,9427.46875,1046.424195,257.087998,1832,11.057729,9.878289,9.032716,10.723862,297.34235,0.913565,28.091834,1523.773697,2557.970821,1524.273697,1538.529179,11.04214,-16.351812,954464.9644,1063.670075,897.331783,14964.73535,1797.725646,261.001556,15.820357,12.597777,12.588797,12.606757,45.338467,0.985439,30.869682,1306.194728,1672.475015,1306.694728,2424.024985,11.040493,-16.447725,1644763.281,1350.821118,1217.602582,26457.35352,3097.895934,261.25652,8.143735,11.208369,10.108904,12.307833,302.21873,0.797201,29.27452,1321.374656,2112.69293,1321.874656,1983.80707,11.040612,-16.400029,1115468.99,1136.094166,981.84554,18922.99609,2100.975192,256.901036,5.955181,13.345035,10.257575,16.432495,292.855629,0.604378,26.84457,1549.073577,2087.39305,1549.573577,2009.10695,11.042326,-16.402803,706731.8881,940.566874,751.389304,11148.28809,1331.122763,259.751396,10.604416,10.274735,9.560037,10.989432,303.520832,0.874019,31.175654
10,lsc1m009-fa04-20200218-0125-e91.fits,10,0,58898.76889,2458898.769,NaN,NaN,NaN,2458898.774607,NaN,1.039226,12.206057,13,23,35,0.125344,0.275166,0.59222,0.337815,0.190127,0.000203,0.000345,0.000621,0.000397,0.000274,616.550929,797.346395,953.542921,849.956887,694.526829,4430993.989,2266.936553,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406442,555399.4688,530.929158,854.82821,649.720567,9981.345703,1046.089596,257.967435,1841,10.507985,9.626294,8.737878,10.51471,295.746358,0.913589,26.292078,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351931,956156.2119,1065.28664,897.557686,15568.80957,1800.911094,261.505803,15.580868,12.430085,12.277993,12.582177,49.772322,0.978226,29.741171,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447788,1648090.216,1350.935885,1219.961831,26940.66406,3104.162183,259.969077,6.294388,11.136098,9.906953,12.365242,301.357316,0.773666,29.579925,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400112,1118881.321,1137.598466,983.546792,18609.79883,2107.402284,256.790629,5.966083,13.324225,10.051457,16.596993,292.427082,0.572882,29.253728,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402906,707866.2404,940.748467,752.45006,12144.37109,1333.259304,258.878253,9.814693,10.126913,9.348496,10.90533,302.834987,0.862394,27.207328
11,lsc1m009-fa04-20200218-0126-e91.fits,11,0,58898.77035,2458898.77,NaN,NaN,NaN,2458898.776062,NaN,1.04051,12.248545,13,23,35,0.125352,0.275233,0.592094,0.337389,0.190475,0.000204,0.000345,0.000622,0.000398,0.000274,614.390512,796.646267,952.133888,848.220806,694.342642,4425885.883,2267.426369,2040.708446,2055.719908,2041.208446,2040.780092,11.046028,-16.406295,554791.8954,530.929158,857.097894,647.291166,9332.34668,1044.945237,261.895542,1885,10.77341,9.797238,8.906703,10.687773,296.301654,0.911863,28.899411,1523.773697,2557.970821,1524.273697,1538.529179,11.04214,-16.351806,955237.4437,1065.004635,896.932663,14548.13086,1799.180603,263.271326,15.700719,12.473005,12.340894,12.605117,49.826407,0.984043,32.623737,1306.194728,1672.475015,1306.694728,2424.024985,11.040493,-16.447719,1645971.701,1351.427703,1217.950244,25612.51367,3100.171981,262.149476,6.695939,11.256001,10.117862,12.39414,302.298088,0.782258,31.279573,1321.374656,2112.69293,1321.874656,1983.80707,11.040612,-16.400022,1116538.121,1137.932283,981.19909,18571.19727,2102.988889,260.900372,5.857056,13.355081,10.207167,16.502994,293.044116,0.58534,28.092149,1549.073577,2087.39305,1549.573577,2009.10695,11.042326,-16.402798,708138.6174,941.138008,752.42803,12002.07813,1333.772324,260.915427,10.009541,10.238746,9.511887,10.965605,303.322394,0.873011,26.91498
12,lsc1m009-fa04-20200218-0127-e91.fits,12,0,58898.77182,2458898.772,NaN,NaN,NaN,2458898.777531,NaN,1.041875,12.930878,13,23,35,0.125114,0.2749,0.592326,0.338103,0.190071,0.000204,0.000345,0.000622,0.000398,0.000274,614.623858,796.324646,952.200172,848.835355,693.400864,4425618.42,2267.330022,2040.708446,2055.719908,2041.208446,2040.780092,11.046032,-16.406475,553707.0377,530.929158,855.059722,647.565338,9550.822266,1042.901918,260.034884,1811,11.082925,9.941175,9.201994,10.680356,299.395228,0.918538,26.909465,1523.773697,2557.970821,1524.273697,1538.529179,11.042149,-16.351965,954272.7629,1064.508963,896.444085,15196.04004,1797.363636,262.801726,15.829517,12.5303,12.708283,12.352317,36.45735,0.990654,29.640794,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447823,1646277.126,1351.391019,1218.209314,26022.41016,3100.747245,263.092672,8.979007,11.162122,10.22394,12.100304,303.769829,0.809103,30.086443,1321.374656,2112.69293,1321.874656,1983.80707,11.040618,-16.400146,1118235.951,1138.405103,982.282975,18459.98438,2106.186736,259.64411,5.7484,13.223804,10.349005,16.098602,293.731269,0.622892,28.144601,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.40294,706832.5805,940.947519,751.192353,11885.36523,1331.312416,259.972629,10.765999,10.289054,9.692528,10.88558,305.167904,0.882059,27.119908
13,lsc1m009-fa04-20200218-0128-e91.fits,13,0,58898.77328,2458898.773,NaN,NaN,NaN,2458898.778996,NaN,1.043322,12.313992,13,23,35,0.125343,0.27539,0.591513,0.337635,0.190469,0.000204,0.000346,0.000622,0.000398,0.000275,613.851161,795.713019,951.185211,847.746536,693.688835,4426748.858,2269.998316,2040.708446,2055.719908,2041.208446,2040.780092,11.046028,-16.40631,554864.0488,530.929158,857.956835,646.727232,9644.604492,1045.081137,264.752514,1932,10.553631,9.738179,8.828881,10.647477,295.973564,0.909787,27.532538,1523.773697,2557.970821,1524.273697,1538.529179,11.042141,-16.35182,955851.8013,1067.033121,895.80331,15307.45898,1800.33774,267.499863,15.436867,12.349191,12.239241,12.459141,49.370217,0.986271,30.272826,1306.194728,1672.475015,1306.694728,2424.024985,11.040493,-16.447731,1645276.135,1352.357019,1216.598954,27844.00195,3098.861888,267.618879,6.510405,11.139873,10.041269,12.238477,302.616717,0.782576,27.160458,1321.374656,2112.69293,1321.874656,1983.80707,11.040612,-16.400035,1117364.27,1139.1905,980.840579,19690.05469,2104.544933,264.390179,6.060363,13.260059,10.167911,16.352207,293.355292,0.583852,25.60748,1549.073577,2087.39305,1549.573577,2009.10695,11.042326,-16.402812,708256.6517,942.182664,751.719044,12621.57227,1333.99464,265.050689,10.077815,10.170157,9.481232,10.859081,303.942414,0.871675,24.927936
14,lsc1m009-fa04-20200218-0129-e91.fits,14,0,58898.77475,2458898.775,NaN,NaN,NaN,2458898.780462,NaN,1.044849,12.587183,13,23,35,0.125703,0.275344,0.592912,0.337298,0.189994,0.000204,0.000346,0.000624,0.000398,0.000275,615.081306,795.116312,950.779731,846.9293,691.777107,4419606.041,2268.212856,2040.708446,2055.719908,2041.208446,2040.780092,11.046029,-16.406309,555556.3555,530.929158,857.041648,648.225622,9229.398438,1046.38509,263.130847,1819,10.86104,9.874645,9.047602,10.701689,296.789973,0.9215,29.381153,1523.773697,2557.970821,1524.273697,1538.529179,11.042141,-16.351823,954184.5311,1065.940152,895.157696,15191.01074,1797.197453,266.940528,15.856081,12.629685,12.670426,12.588944,43.593873,0.982709,29.678535,1306.194728,1672.475015,1306.694728,2424.024985,11.040494,-16.44773,1645060.715,1351.848356,1216.897375,26594,3098.456147,265.362062,6.876977,11.221414,10.063561,12.379267,301.407117,0.800256,28.745347,1321.374656,2112.69293,1321.874656,1983.80707,11.040613,-16.400036,1114729.604,1137.680647,979.826462,18287.96094,2099.582564,264.048046,6.619718,13.315073,10.141938,16.488209,292.091442,0.604462,28.702786,1549.073577,2087.39305,1549.573577,2009.10695,11.042327,-16.402812,705631.1917,941.673999,749.337024,11612.13281,1329.049611,263.977751,10.408107,10.278216,9.566634,10.989797,303.298756,0.879627,28.215464
15,lsc1m009-fa04-20200218-0130-e91.fits,15,0,58898.77621,2458898.776,NaN,NaN,NaN,2458898.781928,NaN,1.046457,12.243496,13,23,35,0.125658,0.274412,0.592911,0.337778,0.190426,0.000204,0.000345,0.000624,0.000399,0.000275,615.252705,794.492126,950.79239,847.619964,692.625373,4422221.465,2269.134258,2040.708446,2055.719908,2041.208446,2040.780092,11.046031,-16.406444,555687.7391,530.929158,856.99668,648.412943,9778.220703,1046.63255,264.374347,1884,10.448807,9.686714,8.749992,10.623436,294.793237,0.912644,27.154541,1523.773697,2557.970821,1524.273697,1538.529179,11.042148,-16.351935,952213.1382,1064.950024,894.138801,15698.05957,1793.484353,268.162912,15.563799,12.454307,12.301779,12.606835,49.791243,0.978356,28.646701,1306.194728,1672.475015,1306.694728,2424.024985,11.040496,-16.447791,1646033.313,1352.98489,1216.59401,27991.02148,3100.288028,266.226411,6.395685,11.18985,9.953845,12.425856,301.222738,0.777402,26.907206,1321.374656,2112.69293,1321.874656,1983.80707,11.040617,-16.400115,1116574.669,1138.268174,980.941657,19898.98047,2103.057726,264.323871,6.760961,13.349525,10.073152,16.625898,292.308989,0.576955,25.028553,1549.073577,2087.39305,1549.573577,2009.10695,11.042331,-16.402909,707400.3446,942.671298,750.421007,12570,1332.381794,266.214057,9.461047,10.150313,9.396334,10.904292,302.856836,0.870958,25.137919
16,lsc1m009-fa04-20200218-0131-e91.fits,16,0,58898.77768,2458898.778,NaN,NaN,NaN,2458898.783395,NaN,1.048137,12.905083,13,23,35,0.125056,0.275338,0.592376,0.337919,0.189807,0.000204,0.000346,0.000622,0.000398,0.000274,613.844003,796.079927,952.098212,848.529257,693.301733,4428680.978,2269.33877,2040.708446,2055.719908,2041.208446,2040.780092,11.046042,-16.406622,553832.1526,530.929158,856.440769,646.667198,9046.59375,1043.137571,263.906815,1925,10.953314,9.90694,9.1245,10.689379,298.517125,0.916773,29.430424,1523.773697,2557.970821,1524.273697,1538.529179,11.042163,-16.352043,956126.7367,1066.953065,896.128207,14667.39063,1800.855578,266.104075,15.93294,12.526042,12.631176,12.420908,40.18348,0.989938,30.817714,1306.194728,1672.475015,1306.694728,2424.024985,11.040503,-16.447881,1647503.375,1352.361067,1218.242239,24849.20703,3103.056874,265.519005,8.398822,11.235283,10.284817,12.18575,303.562156,0.813247,31.947332,1321.374656,2112.69293,1321.874656,1983.80707,11.040628,-16.400202,1118555.474,1139.238641,981.844745,16731.03906,2106.788553,261.662902,6.313504,13.298624,10.430847,16.166401,293.805322,0.626299,33.27599,1549.073577,2087.39305,1549.573577,2009.10695,11.042342,-16.403025,706495.3925,940.619195,751.096082,11158.06934,1330.677325,263.097362,10.683339,10.337926,9.76433,10.911521,305.362214,0.887692,29.670083
17,lsc1m009-fa04-20200218-0132-e91.fits,17,0,58898.77913,2458898.779,NaN,NaN,NaN,2458898.784850,NaN,1.049899,13.394236,13,23,35,0.125062,0.275077,0.592511,0.336738,0.190895,0.000203,0.000345,0.000622,0.000397,0.000274,615.045607,797.092377,953.07708,848.478163,696.183653,4422557.225,2263.543287,2040.708446,2055.719908,2041.208446,2040.780092,11.046027,-16.406331,553093.0394,530.929158,853.553453,647.988755,9014.773438,1041.745458,254.892938,1882,11.204622,10.06108,9.410633,10.711526,300.917193,0.925587,28.509631,1523.773697,2557.970821,1524.273697,1538.529179,11.04214,-16.351852,954094.1025,1063.292088,897.301986,14865.79785,1797.027131,257.429289,16.071061,12.623298,12.791817,12.454779,36.943185,0.990749,28.985275,1306.194728,1672.475015,1306.694728,2424.024985,11.040493,-16.447751,1645459.902,1349.588089,1219.231197,25645.23633,3099.208012,256.979204,9.317035,11.308178,10.466591,12.149765,304.742902,0.821578,29.248902,1321.374656,2112.69293,1321.874656,1983.80707,11.040612,-16.400061,1114087.678,1135.471367,981.167567,16805.10156,2098.373503,255.988776,6.680379,13.371916,10.549321,16.19451,293.857908,0.639153,31.887505,1549.073577,2087.39305,1549.573577,2009.10695,11.042326,-16.402836,708915.5425,939.337485,754.697384,11057.48242,1335.235655,254.708694,10.793002,10.439185,9.92286,10.95551,306.165336,0.894302,29.655241
18,lsc1m009-fa04-20200218-0133-e91.fits,18,0,58898.7806,2458898.781,NaN,NaN,NaN,2458898.786315,NaN,1.051751,13.31966,13,23,35,0.125608,0.275376,0.591764,0.337941,0.190099,0.000204,0.000346,0.000622,0.000398,0.000275,614.631991,795.345506,951.035857,848.035055,692.363247,4423325.867,2268.905533,2040.708446,2055.719908,2041.208446,2040.780092,11.046029,-16.406323,555605.1488,530.929158,857.863592,647.661416,8806.436523,1046.476992,262.754873,1840,11.013904,9.978026,9.287833,10.668219,298.779801,0.93412,30.58434,1523.773697,2557.970821,1524.273697,1538.529179,11.042142,-16.351836,955073.2304,1066.723845,895.333159,14616.87695,1798.871309,266.731599,16.039021,12.625032,12.807871,12.442192,38.471683,0.983569,30.690327,1306.194728,1672.475015,1306.694728,2424.024985,11.040494,-16.447739,1644443.296,1351.593128,1216.670359,25419.07813,3097.293244,265.722357,8.496907,11.27347,10.274834,12.272107,302.787713,0.81927,30.216013,1321.374656,2112.69293,1321.874656,1983.80707,11.040613,-16.400047,1117255.834,1138.323772,981.492138,17190.44531,2104.340693,262.908691,7.147617,13.361098,10.408503,16.313694,292.754182,0.638444,31.099533,1549.073577,2087.39305,1549.573577,2009.10695,11.042327,-16.402824,706553.5077,942.044352,750.021489,10989.03027,1330.786785,264.332008,10.506616,10.363844,9.783625,10.944063,304.912936,0.895248,30.326201
