 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5,Variance_C5
1,coj1m011-fa12-20200331-0148-e91.fits,1,0,58940.04283,2458940.042825,NaN,NaN,NaN,2458940.048804,NaN,1.042113,7.580662,10,18,27,0.198436,0.338068,0.244946,0.248193,0.542619,0.000386,0.000604,0.000487,0.000491,0.000873,514.628489,559.44667,503.106449,505.515275,621.256441,1981460.149,1539.950166,1983.274917,2494.788592,1983.774917,1601.711408,11.046023,-16.406551,393193.9493,314.159265,700.263007,561.494674,19956.17773,1251.575212,240.903253,1121,4.278985,6.833561,6.80003,6.867092,58.759428,0.999549,8.030903,1492.004317,2534.775592,1492.504317,1561.724408,11.042324,-16.402723,500623.004,773.360642,647.334473,26137.68945,1593.532514,240.59369,10.708038,9.152118,8.013563,10.290672,300.673052,0.738919,7.737289,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430363,389857.4662,698.163537,558.404221,19177.84766,1240.954857,240.468348,10.466635,9.007033,7.935932,10.078135,300.366364,0.769883,8.500326,2386.002517,2172.035092,2386.502517,1924.464908,11.049077,-16.441075,393997.7976,701.190046,561.898732,19686.76953,1254.133941,239.368862,6.539981,7.566932,6.853812,8.280052,289.340385,0.942725,8.097565,1469.625917,3002.609292,1470.125917,1093.890708,11.042123,-16.352092,696981.8813,891.212671,782.060112,33680.21094,2218.562233,241.780303,5.909673,7.028275,6.643476,7.413073,284.634942,0.984337,8.721983
2,coj1m011-fa12-20200331-0149-e91.fits,2,0,58940.04406,2458940.044064,NaN,NaN,NaN,2458940.050043,NaN,1.043093,9.073509,10,18,27,0.199271,0.338777,0.243653,0.248168,0.543703,0.000388,0.000607,0.000487,0.000492,0.000878,513.911301,558.145799,500.389126,504.037819,619.396668,1974758.97,1539.622114,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406538,393512.617,314.159265,701.570227,560.902675,18836.89063,1252.589563,245.190096,1079,4.323583,6.914419,6.852327,6.976511,297.25125,0.999043,8.49265,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402708,499712.0102,773.416263,646.110037,24287.98828,1590.632731,243.105868,10.731619,9.260538,7.957436,10.56364,298.675289,0.738341,8.449228,2280.322217,2272.002892,2280.822217,1824.497108,11.048276,-16.43035,386889.6117,697.083811,555.011615,17703.55859,1231.507883,245.764628,10.493087,9.124254,7.845046,10.403462,298.028775,0.757444,9.228002,2386.002517,2172.035092,2386.502517,1924.464908,11.049079,-16.441063,392633.1177,700.754428,560.300588,18157.33008,1249.79003,244.29225,6.31069,7.676289,6.842682,8.509896,286.417042,0.934734,8.959936,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352076,695524.2299,891.785248,779.923453,31952.98242,2213.922385,245.847252,5.927903,7.171955,6.706659,7.637252,283.668101,0.978843,9.19105
3,coj1m011-fa12-20200331-0150-e91.fits,3,0,58940.0453,2458940.045301,NaN,NaN,NaN,2458940.051280,NaN,1.044122,9.297765,10,18,27,0.199176,0.338088,0.244684,0.248431,0.542633,0.000387,0.000605,0.000487,0.000493,0.000876,514.18641,558.545559,501.982073,504.342102,619.707674,1978448.305,1541.033651,1983.274917,2494.788592,1983.774917,1601.711408,11.046023,-16.406554,394059.6804,314.159265,702.225358,561.158431,20166.38281,1254.33092,244.233514,1032,4.290077,6.817248,6.788271,6.846224,80.262664,0.999919,8.076151,1492.004317,2534.775592,1492.504317,1561.724408,11.042324,-16.402726,499884.321,773.22277,646.494568,26169.84961,1591.181213,243.261393,10.790433,9.210532,8.165482,10.255581,302.216307,0.730507,7.897889,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430365,388929.7812,698.063066,557.15565,19277.36133,1238.001944,244.380116,10.437419,9.025296,7.981383,10.069209,301.006112,0.763379,8.330943,2386.002517,2172.035092,2386.502517,1924.464908,11.049077,-16.441077,393700.1158,702.313933,560.575688,19567.7168,1253.18639,245.221995,6.199229,7.467893,6.794399,8.141388,290.78731,0.942801,8.327978,1469.625917,3002.609292,1470.125917,1093.890708,11.042123,-16.352095,695934.0874,892.398094,779.847125,34072.65234,2215.227002,245.015316,5.69816,6.969429,6.579363,7.359495,287.067894,0.981825,8.707948
4,coj1m011-fa12-20200331-0151-e91.fits,4,0,58940.04654,2458940.046542,NaN,NaN,NaN,2458940.052521,NaN,1.045213,9.462879,10,18,27,0.198148,0.338738,0.244916,0.247713,0.542509,0.000386,0.000606,0.000487,0.000491,0.000874,513.881381,559.112996,502.782815,504.966765,620.692711,1978805.691,1539.142885,1983.274917,2494.788592,1983.774917,1601.711408,11.046023,-16.406538,392096.9485,314.159265,699.409251,560.611613,18668.44531,1248.08335,240.467743,1092,4.42896,6.857946,6.834241,6.88165,299.378334,0.999822,8.73653,1492.004317,2534.775592,1492.504317,1561.724408,11.042324,-16.40271,500693.4749,773.843798,647.02137,24578.69141,1593.75683,238.803286,10.919125,9.336289,8.134293,10.538285,300.837156,0.715031,8.560542,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430351,389296.5205,697.570084,558.075137,17533.71875,1239.169311,240.797749,10.511282,9.077998,7.93753,10.218466,300.008073,0.755021,9.656285,2386.002517,2172.035092,2386.502517,1924.464908,11.049077,-16.441063,392858.94,699.978755,561.24409,18347.20703,1250.508845,241.22378,6.190883,7.58414,6.818314,8.349965,288.332705,0.937885,8.999755,1469.625917,3002.609292,1470.125917,1093.890708,11.042123,-16.352077,695956.7552,890.815534,781.257992,33128.92188,2215.299155,241.16703,5.96638,7.114776,6.623415,7.606137,285.26868,0.974526,8.815292
5,coj1m011-fa12-20200331-0152-e91.fits,5,0,58940.04779,2458940.047789,NaN,NaN,NaN,2458940.053768,NaN,1.046367,9.387873,10,18,27,0.200137,0.338437,0.243903,0.247524,0.544758,0.000388,0.000606,0.000487,0.000491,0.000879,515.206196,558.36054,500.988385,503.697271,619.835429,1974657.09,1538.75038,1983.274917,2494.788592,1983.774917,1601.711408,11.046023,-16.406549,395201.6626,314.159265,702.54103,562.53179,19781.55078,1257.965962,244.043178,1088,4.353863,6.870862,6.859547,6.882177,301.293401,0.999949,8.330406,1492.004317,2534.775592,1492.504317,1561.724408,11.042323,-16.402721,499311.7244,772.551425,646.315194,25195.33203,1589.358582,242.955007,10.782499,9.274195,8.269009,10.279381,302.968934,0.723868,8.399819,2280.322217,2272.002892,2280.822217,1824.497108,11.048274,-16.43036,387187.7845,696.642075,555.791558,18873.82617,1232.456996,243.592342,10.503907,9.070454,8.046184,10.094724,301.716233,0.751389,8.650101,2386.002517,2172.035092,2386.502517,1924.464908,11.049077,-16.441072,391795.5556,699.990897,559.715215,19239.35156,1247.123987,243.084751,6.250873,7.533902,6.834868,8.232937,292.666149,0.931504,8.529459,1469.625917,3002.609292,1470.125917,1093.890708,11.042122,-16.352091,696362.0252,891.975106,780.696704,33190.55859,2216.58917,245.07404,5.585347,7.00434,6.606906,7.401774,289.905323,0.978315,9.19647
6,coj1m011-fa12-20200331-0153-e91.fits,6,0,58940.04903,2458940.049033,NaN,NaN,NaN,2458940.055012,NaN,1.04757,9.38183,10,18,27,0.198201,0.338893,0.244119,0.248418,0.542451,0.000386,0.000605,0.000486,0.000491,0.000873,513.843562,560.341782,502.26536,506.112564,621.444053,1983632.318,1540.971415,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406535,393157.2924,314.159265,701.528379,560.429634,20923.51953,1251.45853,241.518131,1090,4.212552,6.68095,6.614488,6.747412,288.071938,0.999393,7.614566,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402709,502085.3163,773.916876,648.758713,27422.52344,1598.187199,240.367345,10.809435,9.166002,7.772502,10.559501,298.208525,0.711337,7.458505,2280.322217,2272.002892,2280.822217,1824.497108,11.048276,-16.430345,389224.8459,698.646325,557.112851,19983.92383,1238.941164,241.700206,10.439953,8.965979,7.679934,10.252024,297.744631,0.753853,7.989936,2386.002517,2172.035092,2386.502517,1924.464908,11.049078,-16.441057,394716.1458,701.474754,562.694728,20305.37891,1256.420514,240.561714,6.203142,7.492713,6.654983,8.330444,285.648384,0.933198,7.87254,1469.625917,3002.609292,1470.125917,1093.890708,11.042123,-16.352077,697606.0099,891.8924,782.163869,37788.125,2220.548896,241.736517,5.856192,7.000221,6.454991,7.545451,278.448273,0.973814,7.392937
7,coj1m011-fa12-20200331-0154-e91.fits,7,0,58940.05028,2458940.050279,NaN,NaN,NaN,2458940.056258,NaN,1.048836,9.277075,10,18,27,0.199054,0.33942,0.243661,0.247375,0.544052,0.000388,0.000608,0.000487,0.000491,0.000878,513.6866,558.609909,500.667398,503.419614,619.857053,1973100.554,1537.660325,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406552,392754.5067,314.159265,700.641666,560.564017,19294.96875,1250.176423,243.357059,1109,4.315818,6.928328,6.861254,6.995402,85.614961,0.999616,8.207424,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402724,499999.6771,773.060399,646.779576,25006.96875,1591.548403,240.38453,10.568757,9.177997,8.050771,10.305223,300.416733,0.753452,8.039925,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430363,386574.3403,696.102743,555.340923,17812.02539,1230.504343,241.529153,10.315315,9.038997,7.917423,10.160571,299.525418,0.774155,9.133702,2386.002517,2172.035092,2386.502517,1924.464908,11.049078,-16.441074,391297.727,699.589845,559.324481,18195.92578,1245.53935,241.680562,6.143496,7.606123,6.879561,8.332684,287.876786,0.945578,8.921375,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352095,695228.8095,890.388631,780.815012,32735.18555,2212.982032,241.915595,5.660161,7.112607,6.695019,7.530196,283.462125,0.982775,8.801617
8,coj1m011-fa12-20200331-0155-e91.fits,8,0,58940.05152,2458940.051522,NaN,NaN,NaN,2458940.057501,NaN,1.050156,9.527893,10,18,27,0.198789,0.336734,0.243836,0.248066,0.546303,0.000387,0.000605,0.000487,0.000492,0.000881,513.237401,557.030627,500.198668,503.828557,619.93862,1971945.059,1537.641267,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406534,392001.8724,314.159265,699.951323,560.041619,17758.53906,1247.780714,241.141431,1083,4.460211,7.048866,7.034869,7.062864,303.198791,0.999902,8.943926,1492.004317,2534.775592,1492.504317,1561.724408,11.042324,-16.402706,496748.7004,771.103748,644.204754,23265.60547,1581.200223,240.387829,10.86443,9.39822,8.16992,10.62652,299.740097,0.743894,8.770482,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430347,386570.7454,696.827915,554.757835,16766.07031,1230.4929,241.442126,10.681805,9.285295,8.145176,10.425415,299.923154,0.768042,9.727592,2386.002517,2172.035092,2386.502517,1924.464908,11.049078,-16.441059,391944.953,699.877328,560.019502,17519.36328,1247.599534,241.329522,6.487867,7.828689,7.060441,8.596937,288.246311,0.941532,9.086805,1469.625917,3002.609292,1470.125917,1093.890708,11.042123,-16.352073,696680.6597,891.258805,781.681657,31136.70313,2217.603415,240.88288,5.868079,7.259634,6.802166,7.717101,282.947698,0.980528,9.335067
9,coj1m011-fa12-20200331-0156-e91.fits,9,0,58940.05276,2458940.052760,NaN,NaN,NaN,2458940.058739,NaN,1.051529,9.537884,10,18,27,0.199238,0.338743,0.244305,0.247991,0.543015,0.000389,0.000608,0.000489,0.000494,0.000879,512.441068,556.915631,499.526179,502.356875,617.871514,1964152.133,1535.114216,1983.274917,2494.788592,1983.774917,1601.711408,11.046025,-16.406533,391334.3753,314.159265,699.743524,559.254015,17478.82227,1245.656005,241.967157,1135,4.447276,7.092229,7.003986,7.180472,81.330099,0.999321,8.972169,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402707,496990.9025,770.806004,644.767814,22693.75781,1581.971176,240.507478,10.735365,9.316207,7.94348,10.688933,296.847925,0.762674,8.936011,2280.322217,2272.002892,2280.822217,1824.497108,11.048276,-16.430342,385639.2644,695.88043,554.174608,16583.875,1227.527904,242.663604,10.462948,9.208735,7.972543,10.444928,297.714882,0.783969,9.702183,2386.002517,2172.035092,2386.502517,1924.464908,11.049079,-16.441054,390300.8227,699.117562,558.276382,16923.6543,1242.366105,242.763008,6.522742,7.801995,6.980215,8.623775,284.117248,0.944075,9.523151,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352077,691221.1432,888.492444,777.970761,30458.61719,2200.225234,244.727575,5.993195,7.339253,6.832972,7.845535,273.771261,0.980815,9.289862
10,coj1m011-fa12-20200331-0157-e91.fits,10,0,58940.05401,2458940.054005,NaN,NaN,NaN,2458940.059984,NaN,1.052966,9.540794,10,18,27,0.199849,0.337343,0.244569,0.248542,0.543629,0.000389,0.000606,0.000489,0.000494,0.000879,513.783937,556.274582,500.182275,503.046583,618.154442,1966349.318,1536.256964,1983.274917,2494.788592,1983.774917,1601.711408,11.046023,-16.406537,392973.3811,314.159265,700.536559,560.960561,17326.20117,1250.873122,241.469564,1039,4.460697,7.145848,7.184057,7.107638,7.662979,0.999877,9.304249,1492.004317,2534.775592,1492.504317,1561.724408,11.042323,-16.402709,496009.2585,770.773196,643.521675,22227.18359,1578.846506,241.668188,10.881887,9.529159,8.499275,10.559043,302.385949,0.748715,9.233867,2280.322217,2272.002892,2280.822217,1824.497108,11.048274,-16.430348,386405.4311,696.148263,555.061977,16651.76172,1229.966688,243.923252,10.539442,9.313687,8.305575,10.321799,301.414421,0.780442,9.76479,2386.002517,2172.035092,2386.502517,1924.464908,11.049077,-16.441061,391433.4862,699.968154,559.216136,16601.36133,1245.971484,243.556474,6.431264,7.844869,7.129553,8.560184,291.166805,0.940142,9.983983,1469.625917,3002.609292,1470.125917,1093.890708,11.042122,-16.352077,692501.1423,889.615827,778.427183,29480.92578,2204.299598,241.673833,5.852797,7.350251,6.986204,7.714299,289.359899,0.98396,9.963516
11,coj1m011-fa12-20200331-0158-e91.fits,11,0,58940.05524,2458940.055244,NaN,NaN,NaN,2458940.061223,NaN,1.054456,9.496348,10,18,27,0.199394,0.338236,0.242951,0.248193,0.545471,0.000389,0.000608,0.000487,0.000494,0.000883,512.68521,556.378746,498.650133,502.711392,617.990161,1962392.942,1534.089157,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.40653,391290.012,314.159265,699.23683,559.595826,15802.77441,1245.514792,241.479123,1025,4.57509,7.237831,7.18279,7.292872,283.006804,0.999714,10.309232,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402701,495990.073,770.287618,643.902436,20731.73242,1578.785437,240.419266,10.660892,9.459304,8.196037,10.722571,298.425788,0.769694,9.889344,2280.322217,2272.002892,2280.822217,1824.497108,11.048276,-16.430342,383574.8048,693.686415,552.9513,14636.26953,1220.956525,241.732619,10.452299,9.332038,8.144516,10.51956,298.311522,0.792755,11.41644,2386.002517,2172.035092,2386.502517,1924.464908,11.049079,-16.441054,390205.2781,698.248764,558.834183,15171.80176,1242.061976,241.087629,6.349119,7.961941,7.176981,8.7469,285.625405,0.947823,10.932246,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352069,692622.7863,889.569754,778.604244,27168.95313,2204.686803,240.413545,5.903545,7.494686,7.051208,7.938164,281.082205,0.983784,10.650831
12,coj1m011-fa12-20200331-0160-e91.fits,12,0,58940.05774,2458940.057741,NaN,NaN,NaN,2458940.063720,NaN,1.057635,9.80363,10,18,27,0.199628,0.336469,0.244626,0.248288,0.545098,0.00039,0.000607,0.00049,0.000495,0.000884,512.120397,554.488386,499.040778,501.613181,616.555158,1955142.771,1531.62302,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406527,390300.5149,314.159265,698.105361,559.0854,14368.36719,1242.365125,240.787761,1000,4.8851,7.436626,7.319643,7.55361,293.782974,0.997827,11.372645,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402701,492225.8251,767.56236,641.284475,18607.41797,1566.803464,239.512289,10.890659,9.693444,8.331415,11.055474,297.642511,0.765838,11.087965,2280.322217,2272.002892,2280.822217,1824.497108,11.048276,-16.430336,384275.0918,693.806122,553.865237,13629.13867,1223.185607,241.22269,10.819543,9.543819,8.209243,10.878394,296.895599,0.784373,12.210677,2386.002517,2172.035092,2386.502517,1924.464908,11.049078,-16.441047,388883.6516,697.428912,557.596115,14241.27539,1237.855109,241.913364,6.650713,8.20427,7.295548,9.112991,284.649871,0.937028,11.446307,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352072,689758.2022,888.224678,776.55825,25150.04492,2195.568548,240.157733,6.27579,7.741112,7.1909,8.291325,280.442202,0.977083,11.494934
13,coj1m011-fa12-20200331-0161-e91.fits,13,0,58940.05899,2458940.058989,NaN,NaN,NaN,2458940.064968,NaN,1.059314,9.605499,10,18,27,0.200278,0.337969,0.244343,0.248407,0.543351,0.000389,0.000607,0.000489,0.000493,0.000878,514.826001,557.106827,500.001648,503.868332,618.643055,1965468.454,1534.180898,1983.274917,2494.788592,1983.774917,1601.711408,11.046024,-16.406537,393639.9554,314.159265,700.153367,562.219614,17609.31445,1252.994894,239.176818,1093,4.458131,7.105645,7.060066,7.151223,291.886097,0.999684,8.996791,1492.004317,2534.775592,1492.504317,1561.724408,11.042325,-16.402709,496474.39,770.110557,644.679371,22537.14258,1580.327066,238.793447,10.764477,9.414802,8.206522,10.623083,299.66157,0.755032,8.933677,2280.322217,2272.002892,2280.822217,1824.497108,11.048275,-16.430347,385945.9473,695.842076,554.64589,16622.45117,1228.504105,239.562527,10.590705,9.288629,8.079678,10.49758,298.866549,0.770109,9.67535,2386.002517,2172.035092,2386.502517,1924.464908,11.049078,-16.441059,391086.6694,698.045096,560.259891,16894.88867,1244.867532,237.030302,6.503621,7.891231,7.042109,8.740353,287.135188,0.933726,9.515252,1469.625917,3002.609292,1470.125917,1093.890708,11.042124,-16.352079,691961.4469,888.356689,778.922989,29356.69922,2202.581694,240.278305,5.906931,7.341008,6.918451,7.763564,286.601683,0.981195,9.923091
