Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4
TOI_2094_30s.0091.fits,0,59367.78924,2459367.789,2459367.789820,1.256291,30,33.484439,27,37,54,0.206964,0.187352,0.117389,2.804512,0.000146,0.000153,0.000121,0.001907,1419.991608,1224.891385,970.059006,1470.527582,14803683.94,4156.023956,987.274193,127.180852,987.774193,129.319148,16.94292,70.02887,3063825.692,2290.221044,1978.773264,1548.346013,3911.823486,1337.786018,230.615062,4136,33.929885,27.28958,27.045986,27.533174,84.950978,0.999671,1296.390822,186.172556,1296.890822,70.327444,16.939067,70.024391,2335865.154,1772.174127,1318.078804,2959.42334,1019.930002,226.84337,34.038336,27.373956,27.321254,27.426658,300.564022,0.999936,83.75231,65.944321,84.25231,190.555679,16.954236,70.034736,1555220.75,1537.821298,1011.314352,2197.526855,679.070151,227.84723,33.153711,26.931936,27.233,26.630873,13.375133,0.999373,1987.150583,117.926908,1987.650583,138.573092,16.930368,70.027121,10912598.04,3430.311887,3181.226196,14215.81738,4764.86672,240.037321,32.815823,27.056588,27.588176,26.525,24.730599,0.996348
TOI_2094_30s.0092.fits,0,59367.78962,2459367.79,2459367.790199,1.256204,30,41.740232,27,37,54,0.207068,0.187099,0.117013,2.811477,0.000145,0.000152,0.00012,0.001908,1423.385566,1227.639197,972.3708,1473.839039,14831011.93,4155.076316,986.845574,126.440209,987.345574,130.059791,16.942925,70.028919,3071031.297,2290.221044,1978.579894,1552.139141,3910.99585,1340.932267,228.223798,4077,33.990773,27.296971,27.043768,27.550175,82.95267,0.999634,1295.987588,185.388254,1296.487588,71.111746,16.939072,70.024443,2337524.111,1769.392281,1321.088679,2964.480957,1020.654367,224.743807,33.852946,27.343742,27.315567,27.371916,305.216021,0.999962,83.581606,65.34745,84.081606,191.15255,16.954238,70.034775,1553621.259,1532.523309,1013.766805,2234.622314,678.37175,224.818046,33.112175,26.894891,27.227607,26.562175,13.581783,0.999227,1986.741968,117.166411,1987.241968,139.333589,16.930373,70.02717,10939866.56,3432.969918,3186.706212,14470.22852,4776.773225,236.281818,32.520594,27.036759,27.59147,26.482047,24.461134,0.996103
TOI_2094_30s.0093.fits,0,59367.79,2459367.79,2459367.790579,1.256106,30,43.809041,27,37,54,0.207108,0.187771,0.117568,2.79814,0.000145,0.000153,0.000121,0.001898,1423.426026,1227.636932,973.710127,1474.308935,14804776.7,4151.224764,987.198729,127.003115,987.698729,129.496885,16.942921,70.028882,3066193.978,2290.221044,1975.081323,1552.439357,3942.240234,1338.820104,227.315061,4206,33.974645,27.277728,27.044147,27.511309,80.317752,0.999671,1296.420076,186.040414,1296.920076,70.459586,16.939067,70.0244,2340444.635,1771.337972,1321.286322,2973.443604,1021.929582,223.172094,33.876767,27.327059,27.302794,27.351324,302.990327,0.999981,83.719137,65.893759,84.219137,190.606241,16.954237,70.03474,1557457.623,1533.869171,1015.378399,2228.921631,680.046857,224.428456,33.120324,26.897747,27.248743,26.546751,14.042222,0.999125,1987.07948,117.724194,1987.57948,138.775806,16.930369,70.027134,10906874.44,3426.70019,3182.908874,14531.58594,4762.367576,236.086851,32.524196,27.002101,27.565643,26.438559,24.509656,0.995952
TOI_2094_30s.0094.fits,0,59367.79038,2459367.79,2459367.790958,1.256024,30,44.260516,27,37,54,0.206263,0.186715,0.116848,2.817366,0.000145,0.000152,0.00012,0.00191,1423.001207,1228.077819,974.114597,1475.115126,14815538.11,4147.572297,987.493455,127.235108,987.993455,129.264892,16.942917,70.028866,3055900.418,2290.221044,1969.747828,1551.417077,3900.079102,1334.325534,223.018317,4071,34.059919,27.273412,27.02938,27.517444,82.45651,0.999657,1296.643841,186.143814,1297.143841,70.356186,16.939064,70.024393,2331043.586,1763.982815,1321.466154,2958.421875,1017.824717,219.453437,33.843688,27.328753,27.310044,27.347462,307.949838,0.999968,84.029167,66.06101,84.529167,190.43899,16.954233,70.034728,1550045.406,1526.09184,1015.696019,2235.640869,676.810393,219.691235,32.966275,26.886293,27.21718,26.555406,13.249306,0.999244,1987.526171,117.877236,1988.026171,138.622764,16.930363,70.027123,10934449.12,3429.542868,3188.310962,14647.26563,4774.407758,231.098575,32.363141,27.018914,27.548686,26.489141,24.631686,0.996392
TOI_2094_30s.0095.fits,0,59367.79076,2459367.791,2459367.791338,1.255932,30,44.385432,27,37,54,0.206746,0.187375,0.117518,2.802775,0.000145,0.000152,0.00012,0.001893,1424.976558,1232.72302,979.701345,1480.905711,14801047.11,4138.375169,987.705309,127.533954,988.205309,128.966046,16.942915,70.028847,3060054.345,2290.221044,1969.636896,1553.613435,3948.027344,1336.139301,218.354075,4294,33.967529,27.328007,27.045722,27.610292,82.962398,0.999546,1296.764525,186.583143,1297.264525,69.916857,16.939063,70.024364,2335695.153,1759.977316,1327.116624,2960.80957,1019.855773,214.706482,33.787789,27.402402,27.361012,27.443793,299.046681,0.999967,84.371638,66.642612,84.871638,189.857388,16.954229,70.03469,1556474.968,1523.009439,1021.973291,2236.744385,679.617791,214.731477,33.05233,26.969115,27.286725,26.651505,15.184194,0.999255,1987.620365,118.396997,1988.120365,138.103003,16.930363,70.027089,10908876.99,3421.852005,3188.00374,14448.80078,4763.241966,227.780423,32.473564,27.073533,27.586191,26.560875,24.899192,0.99656
TOI_2094_30s.0096.fits,0,59367.79114,2459367.791,2459367.791717,1.255855,30,44.427194,27,37,54,0.206325,0.187247,0.116828,2.81211,0.000145,0.000152,0.000119,0.001898,1427.478515,1234.398929,978.411593,1481.601252,14825471.23,4140.916344,987.524111,127.287104,988.024111,129.212896,16.942917,70.028863,3058864.603,2290.221044,1965.153268,1556.552688,3882.585205,1335.619813,218.416502,4143,33.795777,27.337791,27.050088,27.625495,80.532706,0.999505,1296.665102,186.273562,1297.165102,70.226438,16.939064,70.024384,2338201.647,1759.35381,1329.011614,2943.399414,1020.950206,213.940136,34.052209,27.387577,27.338538,27.436615,294.11156,0.999971,84.083094,66.085395,84.583094,190.414605,16.954232,70.034726,1550844.842,1519.841297,1020.399199,2149.60791,677.159458,214.184272,33.082514,26.922416,27.254984,26.589848,13.94113,0.999219,1987.477849,118.038219,1987.977849,138.461781,16.930364,70.027113,10936424.74,3426.652122,3191.577186,14604.88672,4775.270388,226.425448,32.392843,27.080221,27.613066,26.547376,24.604132,0.996374
TOI_2094_30s.0097.fits,0,59367.79152,2459367.792,2459367.792096,1.255769,30,44.141775,27,37,54,0.207019,0.18764,0.117423,2.801149,0.000145,0.000152,0.00012,0.001888,1429.746501,1235.182751,981.661182,1483.480276,14797841.9,4135.285201,987.474733,127.675313,987.974733,128.824687,16.942918,70.028838,3063431.209,2290.221044,1964.186289,1559.643922,3915.42627,1337.613771,215.077474,4143,33.957943,27.345653,27.120571,27.570734,78.741493,0.999682,1296.550024,186.711041,1297.050024,69.788959,16.939065,70.024357,2337973.953,1757.6792,1330.148273,4284.086914,1020.850786,212.393026,32.667222,27.34997,27.317597,27.382343,305.364392,0.999949,84.033946,66.603569,84.533946,189.896431,16.954233,70.034693,1555017.483,1518.310891,1024.175939,2209.601807,678.981396,212.263218,33.066708,26.947948,27.312573,26.583323,10.562035,0.999159,1987.472899,118.557676,1987.972899,137.942324,16.930364,70.027079,10904850.46,3421.38562,3187.261441,14463.87402,4761.483827,225.162616,32.448033,27.089545,27.644471,26.53462,23.55593,0.996379
TOI_2094_30s.0098.fits,0,59367.7919,2459367.792,2459367.792476,1.255684,30,44.295053,27,37,54,0.206578,0.187307,0.116944,2.810132,0.000145,0.000152,0.00012,0.001896,1427.168672,1235.088949,978.169148,1481.866676,14830270.83,4142.297632,987.302131,127.109569,987.802131,129.390431,16.94292,70.028875,3063611.733,2290.221044,1968.707446,1556.153881,3942.91333,1337.692595,216.991407,4025,33.996403,27.238659,26.985681,27.491638,82.738563,0.999632,1296.403764,186.049223,1296.903764,70.450777,16.939067,70.024399,2339594.811,1759.219646,1329.904891,2991.425293,1021.558516,213.233575,33.725042,27.329562,27.305033,27.354092,308.968205,0.999926,83.910947,66.160083,84.410947,190.339917,16.954234,70.034722,1552730.294,1522.108123,1020.118263,2230.955322,677.982721,214.161085,32.938163,26.878378,27.225251,26.531506,11.892627,0.999205,1987.319405,117.982494,1987.819405,138.517506,16.930366,70.027117,10937945.73,3427.384246,3191.339208,14777.7666,4775.934512,225.059038,32.378828,27.008789,27.58515,26.432427,23.212838,0.99617
TOI_2094_30s.0099.fits,0,59367.79228,2459367.792,2459367.792855,1.255615,30,44.447174,27,37,54,0.20719,0.18763,0.117295,2.80274,0.000145,0.000152,0.00012,0.001893,1427.773712,1233.398799,978.215677,1480.318385,14747028.24,4127.640986,987.412157,127.629229,987.912157,128.870771,16.942919,70.028841,3055433.177,2290.221044,1961.687243,1557.553676,3866.564209,1334.121518,214.170897,4195,34.030898,27.300367,27.036739,27.563994,78.85344,0.999564,1296.487625,186.641103,1296.987625,69.858897,16.939066,70.024361,2329835.105,1754.042302,1328.266201,2970.01709,1017.297047,210.870437,34.088228,27.343798,27.322723,27.364872,308.514112,0.999953,84.057514,66.628931,84.557514,189.871069,16.954233,70.034692,1548165.891,1517.242631,1020.381223,2272.410156,675.989724,210.869655,32.913867,26.878307,27.247114,26.509499,10.411833,0.999138,1987.436991,118.387064,1987.936991,138.112936,16.930365,70.02709,10869027.24,3414.488324,3183.208204,14635.51074,4745.842009,222.962108,32.46065,27.009454,27.557724,26.461184,23.844402,0.996366
TOI_2094_30s.0100.fits,0,59367.79266,2459367.793,2459367.793235,1.255537,30,44.371583,27,37,54,0.206805,0.187084,0.117047,2.81124,0.000146,0.000153,0.00012,0.001909,1421.261675,1226.46071,973.408178,1472.812885,14657493.76,4118.168661,987.376416,127.076866,987.876416,129.423134,16.942919,70.028877,3031247.168,2290.221044,1955.365309,1550.220388,3871.250732,1323.560962,213.795193,4023,33.91522,27.269439,27.039398,27.49948,75.886965,0.999633,1296.473351,185.983243,1296.973351,70.516757,16.939066,70.024403,2310015.415,1749.58732,1320.320162,2921.966797,1008.642996,210.942437,34.148637,27.326156,27.297482,27.354831,302.052311,0.999977,84.134702,66.261265,84.634702,190.238735,16.954232,70.034715,1535843.835,1512.767366,1015.254473,2219.344727,670.609433,210.928946,32.645267,26.872098,27.259364,26.484832,12.277078,0.998996,1987.345708,117.6856,1987.845708,138.8144,16.930366,70.027136,10811634.51,3407.314519,3173.066194,14591.05664,4720.7821,221.996941,32.330034,26.991096,27.549617,26.432574,23.739342,0.996254
TOI_2094_30s.0101.fits,0,59367.79304,2459367.793,2459367.793615,1.255472,30,44.353006,27,37,54,0.206879,0.18717,0.117336,2.806996,0.000145,0.000152,0.00012,0.001899,1424.392179,1229.773081,978.324788,1477.897759,14738140.69,4129.557353,987.441612,126.956621,987.941612,129.543379,16.942918,70.028884,3049005.429,2290.221044,1962.693379,1553.480264,4016.663086,1331.314912,215.445902,4126,33.90155,27.201546,26.919044,27.484049,78.594684,0.999492,1296.534853,185.920047,1297.034853,70.579953,16.939065,70.024407,2323624.122,1755.167882,1323.875707,2957.804688,1014.585089,211.98725,33.948683,27.255312,27.18917,27.321454,299.230394,0.999914,84.174527,65.960748,84.674527,190.539252,16.954231,70.034734,1547707.134,1516.440701,1020.618302,2246.208008,675.789412,212.20915,32.762495,26.824882,27.19796,26.451804,10.757349,0.999106,1987.456993,117.815616,1987.956993,138.684384,16.930364,70.027127,10866809.44,3416.582684,3180.607772,14613.77734,4744.873629,226.292423,32.427714,26.9728,27.52076,26.42484,22.996064,0.996583
TOI_2094_30s.0102.fits,0,59367.79342,2459367.793,2459367.793994,1.2554,30,44.271978,27,37,54,0.206664,0.187338,0.117051,2.808577,0.000145,0.000152,0.00012,0.001902,1423.561657,1229.633166,975.23085,1476.341524,14740970.68,4130.836596,987.542298,127.855588,988.042298,128.644412,16.942917,70.028827,3046434.576,2290.221044,1962.355546,1552.437622,3911.748535,1330.192378,217.865963,4184,33.845538,27.339544,27.109456,27.569633,76.089332,0.999638,1296.541783,186.829907,1297.041783,69.670093,16.939066,70.024349,2325822.917,1757.034556,1323.720646,2944.473389,1015.545169,212.815133,33.834157,27.413891,27.415829,27.411952,315.493651,0.999933,84.084896,66.726707,84.584896,189.773293,16.954233,70.034685,1544644.172,1518.707256,1017.078286,2219.439697,674.452004,214.378119,32.972492,27.015721,27.403384,26.628057,9.958802,0.999069,1987.411596,118.546895,1987.911596,137.953105,16.930365,70.02708,10870503.59,3416.16288,3182.080003,14683.06738,4746.486639,225.566287,32.082718,27.111037,27.711383,26.51069,22.499358,0.996081
TOI_2094_30s.0103.fits,0,59367.7938,2459367.794,2459367.794373,1.255338,30,44.246536,27,37,54,0.206737,0.187559,0.117333,2.803032,0.000146,0.000154,0.000121,0.001912,1412.982554,1221.066615,967.880727,1465.884278,14609019.95,4121.337728,987.805159,127.045788,988.305159,129.454212,16.942913,70.028878,3020220.407,2290.221044,1960.320903,1540.67653,3901.943359,1318.746247,220.34586,3988,33.943752,27.264986,27.002845,27.527127,78.776718,0.999567,1296.79117,185.96929,1297.29117,70.53071,16.939062,70.024404,2307298.306,1755.384894,1314.411622,2962.812744,1007.4566,217.039162,33.708109,27.329187,27.292161,27.366213,305.026822,0.999937,84.415798,65.879347,84.915798,190.620653,16.954228,70.034739,1534116.073,1519.958693,1009.314319,2230.618164,669.855024,217.981232,32.621069,26.894104,27.265687,26.522521,11.228937,0.999106,1987.768786,117.768161,1988.268786,138.731839,16.93036,70.027129,10767605.57,3404.963159,3162.326601,14274.52051,4701.557344,229.06117,32.441238,27.046489,27.59453,26.498447,22.964967,0.996608
TOI_2094_30s.0104.fits,0,59367.79418,2459367.794,2459367.794756,1.255272,30,44.348158,27,37,54,0.206972,0.187232,0.117218,2.807722,0.000146,0.000153,0.000121,0.001917,1413.044741,1220.666553,966.060462,1464.861987,14631462.34,4125.590875,987.326339,127.055945,987.826339,129.444055,16.942919,70.028878,3028298.135,2290.221044,1965.647923,1540.610655,9446.401367,1322.273299,224.494918,4201,33.965499,27.299299,27.070458,27.528139,84.281403,0.999707,1296.4679,186.035267,1296.9679,70.464733,16.939066,70.0244,2307452.296,1756.355973,1313.772568,3005.882568,1007.523838,220.294481,33.84198,27.335051,27.293641,27.376462,304.360036,0.99993,84.077372,65.820866,84.577372,190.679134,16.954232,70.034743,1535124.16,1524.190669,1007.17331,2231.328125,670.295194,220.761051,32.796699,26.907447,27.283285,26.531609,10.399575,0.999107,1987.377892,117.991003,1987.877892,138.508997,16.930365,70.027116,10788885.88,3407.720142,3166.012887,14171.69531,4710.849161,232.673339,32.541918,27.013873,27.600754,26.426992,21.579528,0.996455
TOI_2094_30s.0105.fits,0,59367.79456,2459367.795,2459367.795135,1.255216,30,44.369498,27,37,54,0.207017,0.18776,0.117475,2.799325,0.000146,0.000154,0.000121,0.001907,1416.662517,1221.936061,969.630206,1467.783743,14678363.73,4133.675477,987.62546,127.146183,988.12546,129.353817,16.942916,70.028872,3038665.578,2290.221044,1966.851802,1544.938757,3917.624268,1326.800129,225.999387,4179,33.646725,27.199486,26.990967,27.408005,75.741617,0.999696,1296.695309,186.143132,1297.195309,70.356868,16.939063,70.024393,2320340.768,1764.426932,1315.067644,2983.881348,1013.151448,221.274754,34.071855,27.280318,27.279439,27.281196,314.833327,0.999878,84.239248,66.013264,84.739248,190.486736,16.95423,70.034731,1543072.513,1526.070611,1011.140967,2229.938477,673.765756,222.367405,32.745572,26.828809,27.207693,26.449924,11.416157,0.999061,1987.63565,117.953405,1988.13565,138.546595,16.930362,70.027118,10814950.45,3412.50334,3169.213147,14497.47559,4722.229968,234.091553,32.665681,26.947046,27.529454,26.364638,21.149637,0.996588
TOI_2094_30s.0106.fits,0,59367.79494,2459367.795,2459367.795515,1.255155,30,44.36815,27,37,54,0.206845,0.187235,0.117029,2.809892,0.000146,0.000153,0.000121,0.001917,1414.372519,1220.823589,967.161134,1465.590307,14624837.19,4122.730188,987.628196,126.857225,988.128196,129.642775,16.942916,70.02889,3025078.56,2290.221044,1961.456016,1542.261736,3973.719238,1320.867506,222.333804,4133,33.661597,27.178855,26.971581,27.386129,76.992751,0.999712,1296.63719,185.850143,1297.13719,70.649857,16.939064,70.024412,2306432.687,1755.393604,1313.911981,2983.459229,1007.078637,219.187647,34.001412,27.271946,27.245484,27.298408,310.283682,0.99986,84.280066,65.663033,84.780066,190.836967,16.95423,70.034753,1532215.622,1519.424319,1008.418519,2261.10498,669.025213,219.545864,32.900517,26.825049,27.177536,26.472563,11.55174,0.999184,1987.599754,117.693888,1988.099754,138.806112,16.930362,70.027134,10786188.88,3406.882333,3165.999829,14544.62598,4709.671545,230.483681,32.539577,26.951891,27.535865,26.367916,20.940701,0.996615
TOI_2094_30s.0107.fits,0,59367.79532,2459367.795,2459367.795898,1.255095,30,44.38167,27,37,54,0.207316,0.187528,0.117685,2.799278,0.000148,0.000155,0.000123,0.001926,1402.261927,1210.849521,959.139984,1453.094609,14367596.8,4089.549408,987.07892,127.363012,987.57892,129.136988,16.942923,70.028859,2978634.178,2290.221044,1947.628699,1529.364493,3823.302002,1300.588074,219.98294,4002,33.842148,27.188524,26.970773,27.406275,75.97534,0.999671,1296.126112,186.404165,1296.626112,70.095835,16.939071,70.024377,2268855.467,1740.520074,1303.550301,2983.846924,990.670954,216.316945,33.762022,27.276019,27.259115,27.292922,311.855431,0.999872,83.742067,66.219946,84.242067,190.280054,16.954237,70.034719,1512809.769,1512.546166,1000.174278,2177.425537,660.551859,217.501432,32.968274,26.836909,27.187995,26.485823,12.87493,0.999156,1987.181268,118.347601,1987.681268,138.152399,16.930368,70.027094,10585931.57,3377.455896,3134.291577,14073.28809,4622.231374,227.995452,32.586086,26.973404,27.562572,26.384236,21.405291,0.996457
TOI_2094_30s.0108.fits,0,59367.79571,2459367.796,2459367.796284,1.255047,30,44.407713,27,37,54,0.206932,0.187517,0.117067,2.806548,0.000148,0.000155,0.000122,0.001936,1399.031685,1207.785491,956.39596,1449.674037,14305932.02,4077.785013,987.279438,127.161819,987.779438,129.338181,16.94292,70.028872,2960353.031,2290.221044,1940.469974,1525.58559,3819.23999,1292.605811,218.487003,4180,33.821586,27.230893,26.987403,27.474382,76.740154,0.999601,1296.350076,186.189529,1296.850076,70.310471,16.939068,70.02439,2259001.461,1737.745302,1299.961196,2927.375488,986.36831,214.732244,33.872181,27.337771,27.313578,27.361964,309.586491,0.999911,83.885969,65.98483,84.385969,190.51517,16.954235,70.034733,1499241.597,1503.478245,997.182102,2166.154053,654.627465,215.417648,32.992461,26.873972,27.225472,26.522472,12.102358,0.999178,1987.304441,118.200104,1987.804441,138.299896,16.930366,70.027103,10547688.96,3368.697826,3131.087888,14319.96191,4605.533159,225.707371,32.562955,27.017702,27.606755,26.428649,21.231067,0.99651
TOI_2094_30s.0109.fits,0,59367.79609,2459367.796,2459367.796663,1.254991,30,44.278202,27,37,54,0.206798,0.187312,0.117462,2.804066,0.000149,0.000156,0.000123,0.001946,1390.339631,1199.172788,952.109356,1440.668561,14132159.85,4054.694351,987.681874,126.741275,988.181874,129.758725,16.942915,70.028898,2922497.566,2290.221044,1927.519298,1516.196268,3845.00293,1276.076636,214.969686,4053,33.651837,27.183085,26.93557,27.430599,79.135172,0.999616,1296.632801,185.779778,1297.132801,70.720222,16.939064,70.024416,2229512.869,1727.582679,1290.539027,2864.839355,973.492438,211.732938,33.753332,27.296657,27.262285,27.331029,308.141404,0.999887,84.293626,65.695511,84.793626,190.804489,16.954229,70.034751,1485501.326,1496.107715,992.910678,2197.918945,648.627926,212.028075,32.935298,26.849701,27.195657,26.503745,11.337337,0.99922,1987.614511,117.689644,1988.114511,138.810356,16.930362,70.027135,10417145.65,3349.27844,3110.26564,14133.66602,4548.532849,223.254041,32.364628,26.969279,27.541814,26.396744,20.796614,0.99678
TOI_2094_30s.0110.fits,0,59367.79647,2459367.796,2459367.797043,1.25495,30,44.313068,27,37,54,0.206531,0.187194,0.116933,2.811428,0.000146,0.000153,0.00012,0.001912,1417.415715,1225.477126,970.642277,1470.550583,14623723.79,4113.969766,987.563354,127.511462,988.063354,128.988538,16.942917,70.028849,3020258.599,2290.221044,1954.089915,1545.608816,3884.420166,1318.762923,215.415732,4114,33.762772,27.284011,27.060344,27.507677,76.30697,0.999659,1296.506593,186.565834,1297.006593,69.934166,16.939066,70.024366,2305832.107,1747.655158,1319.386205,2967.820801,1006.8164,211.510508,33.665383,27.394614,27.348719,27.440508,306.807872,0.999859,84.179921,66.400613,84.679921,190.099387,16.954231,70.034706,1530977.164,1512.508581,1012.210564,2231.328125,668.484454,212.479054,32.844081,26.913371,27.310556,26.516187,7.669709,0.999064,1987.493016,118.397953,1987.993016,138.102047,16.930364,70.02709,10786914.52,3403.346364,3169.502414,14381.1377,4709.988384,223.146635,32.701835,27.051447,27.6635,26.439393,20.191236,0.996475
TOI_2094_30s.0111.fits,0,59367.79685,2459367.797,2459367.797422,1.254902,30,44.355648,27,37,54,0.207266,0.18756,0.117295,2.803464,0.000146,0.000154,0.000121,0.001915,1415.282605,1220.229981,966.174062,1464.254968,14546617.17,4108.155353,987.046941,126.616404,987.546941,129.883596,16.942923,70.028907,3015023.526,2290.221044,1952.766675,1543.975307,3893.090088,1316.477086,216.489219,4184,33.700064,27.22632,27.02251,27.43013,75.020095,0.999701,1296.033422,185.664089,1296.533422,70.835911,16.939071,70.024425,2297450.892,1748.953754,1313.614432,2930.268799,1003.156834,213.51698,34.033156,27.346286,27.316996,27.375576,308.87906,0.999898,83.778188,65.462473,84.278188,191.037527,16.954236,70.034767,1527119.814,1515.804987,1007.464566,2204.411377,666.800184,214.236546,32.951286,26.885198,27.261775,26.508622,9.081062,0.999131,1987.091449,117.633458,1987.591449,138.866542,16.930369,70.027139,10722046.47,3394.17684,3158.9534,14289.35156,4681.664459,225.206427,32.425017,27.019465,27.646659,26.392271,20.134216,0.996302
TOI_2094_30s.0112.fits,0,59367.79722,2459367.797,2459367.797801,1.254857,30,44.483177,27,37,54,0.206728,0.187481,0.116855,2.809373,0.000146,0.000153,0.00012,0.001907,1420.507639,1227.206215,973.075594,1473.553736,14712160.8,4128.404374,987.27768,126.998703,987.77768,129.501297,16.94292,70.028882,3041413.815,2290.221044,1963.62313,1548.878585,4015.035156,1328.000117,218.531901,4229,33.868815,27.201346,27.012279,27.390412,71.487242,0.999697,1296.219106,186.013668,1296.719106,70.486332,16.939069,70.024402,2322777.317,1758.425203,1320.94178,3023.519043,1014.215341,214.805863,33.868333,27.359964,27.303736,27.416191,296.078798,0.999955,83.895253,65.921883,84.395253,190.578117,16.954235,70.034737,1539317.813,1516.946184,1014.747807,2274.344482,672.126307,215.660056,33.114004,26.850442,27.196935,26.50395,11.886493,0.999205,1987.248436,117.959492,1987.748436,138.540508,16.930367,70.027118,10850065.67,3413.288408,3178.772014,14491.5459,4737.562645,226.64741,32.725907,27.000602,27.618829,26.382376,21.390292,0.996111
TOI_2094_30s.0113.fits,0,59367.7976,2459367.798,2459367.798181,1.254818,30,44.344221,27,37,54,0.20672,0.187555,0.117275,2.80375,0.000146,0.000154,0.000121,0.001913,1414.688709,1220.742323,968.272978,1465.990772,14605693.37,4119.157859,987.584724,126.361039,988.084724,130.138961,16.942916,70.028922,3019291.408,2290.221044,1957.019318,1542.801024,3836.982666,1318.34061,221.635053,4177,33.685313,27.251946,27.03687,27.467021,74.950348,0.999667,1296.605073,185.438417,1297.105073,71.061583,16.939064,70.024438,2306727.588,1755.616604,1313.913062,2933.175781,1007.207402,218.253675,33.901232,27.386936,27.317543,27.456329,297.91405,0.999919,84.183567,65.281735,84.683567,191.218265,16.954231,70.034778,1533086.75,1518.304968,1009.735714,2186.92041,669.405582,218.574492,32.803505,26.922852,27.234563,26.611141,10.013787,0.999393,1987.5807,117.304561,1988.0807,139.195439,16.930362,70.027159,10765879.03,3402.943113,3163.696445,14179.60449,4700.803468,229.515461,32.503656,27.067693,27.665546,26.469841,22.158571,0.996192
TOI_2094_30s.0114.fits,0,59367.79798,2459367.798,2459367.798560,1.254782,30,44.346899,27,37,54,0.206958,0.187436,0.116848,2.809928,0.000146,0.000154,0.000121,0.001919,1415.052172,1220.097659,965.344247,1464.36254,14656939.88,4131.660055,987.87041,127.019317,988.37041,129.480683,16.942913,70.028879,3033365.086,2290.221044,1965.716491,1543.134577,3886.166992,1324.485728,225.529275,4101,33.668019,27.229879,27.021903,27.437855,77.207419,0.999713,1296.886911,186.033649,1297.386911,70.466351,16.939061,70.024399,2313589.487,1762.117388,1312.95991,2995.996094,1010.203575,221.743104,33.89937,27.35173,27.307353,27.396107,305.207776,0.999906,84.597424,66.036245,85.097424,190.463755,16.954226,70.034729,1533449.112,1523.798754,1006.333092,2190.470703,669.563803,223.037141,32.843734,26.905626,27.238202,26.573049,8.634979,0.99933,1987.698761,117.836181,1988.198761,138.663819,16.930361,70.027125,10809901.28,3412.271161,3167.94908,14295.86816,4720.025305,233.496012,32.63225,27.002167,27.632976,26.371358,19.914768,0.996302
TOI_2094_30s.0115.fits,0,59367.79836,2459367.798,2459367.798939,1.25475,30,44.454322,27,37,54,0.207153,0.187587,0.117406,2.801895,0.000147,0.000154,0.000122,0.001921,1409.952724,1214.777347,962.395662,1458.856686,14609341.61,4132.117641,987.935245,127.174915,988.435245,129.325085,16.942912,70.028869,3026374.197,2290.221044,1968.371157,1537.501801,3937.023193,1321.433232,230.172067,4089,33.784233,27.179476,26.970596,27.388356,77.761618,0.999715,1296.91705,186.29961,1297.41705,70.20039,16.939061,70.024382,2307642.304,1765.647711,1306.966441,3003.325439,1007.606803,226.283643,33.69599,27.317029,27.287911,27.346147,309.014906,0.999894,84.63356,66.172147,85.13356,190.327853,16.954225,70.03472,1535005.163,1529.99448,1003.274968,2171.677002,670.243235,226.933675,33.179555,26.906704,27.247418,26.56599,7.966684,0.999307,1987.830978,118.142597,1988.330978,138.357403,16.93036,70.027105,10766694.15,3408.225528,3159.032187,14204.94727,4701.15938,237.620657,32.81061,26.995561,27.608693,26.38243,20.965594,0.996276
