 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,X(IJ)_C5,Y(IJ)_C5,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Source_SNR_C5,Peak_C5,Mean_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,X-Width_C5,Y-Width_C5,Angle_C5,Roundness_C5
1,cpt1m013-fa14-20190812-0095-e91.fits,1,0,58708.50131,2458708.501311,2458708.507043,1.015428,70.08,7.746497,12,23,35,0.179355,0.465721,0.257945,0.197477,0.454111,0.000378,0.000753,0.000508,0.000443,0.000739,475.060307,618.864881,507.368753,445.529457,614.722092,2302323.021,1774.455572,2054.393895,2052.438025,2054.893895,2044.061975,23.549578,-29.416832,412932.6508,452.389342,808.862474,510.510333,6613.412109,912.781563,607.16188,1876,7.679355,9.985051,10.578663,9.391439,29.765683,0.945403,1998.933507,2807.038322,1999.433507,1289.461678,23.549067,-29.335179,731544.8786,955.101573,765.934116,10362.3418,1617.069216,609.170498,8.017912,10.246761,10.500663,9.992859,35.492826,0.976891,2757.001183,2471.876287,2757.501183,1624.623713,23.555368,-29.370759,472097.5635,838.496497,563.028665,7428.42334,1043.564734,607.016178,7.640069,10.037784,10.161777,9.91379,41.900322,0.947677,2175.742636,1224.536141,2176.242636,2871.963859,23.550641,-29.50636,379677.7828,792.422449,479.135571,6633.576172,839.272166,604.703951,7.505974,9.91886,10.746068,9.091651,28.34476,0.909025,784.080611,1818.028009,784.580611,2278.471991,23.539064,-29.44326,719002.7961,951.558641,755.605346,10408.40625,1589.345126,618.143712,7.889177,10.252255,11.427635,9.076874,11.441295,0.939657
2,cpt1m013-fa14-20190812-0096-e91.fits,2,0,58708.50243,2458708.502427,2458708.508159,1.014421,70.088,9.229413,12,23,35,0.179703,0.465673,0.257623,0.196783,0.455614,0.000378,0.000752,0.000508,0.000443,0.00074,475.306234,618.967084,507.363085,444.1686,615.752011,2294561.182,1767.961399,2054.483862,2052.607832,2054.983862,2043.892168,23.549578,-29.416831,412340.6252,452.389342,807.256384,510.792647,6491.148438,911.472899,597.711667,1953,7.423842,10.15902,10.632306,9.685733,33.389732,0.944393,1998.977237,2807.14801,1999.477237,1289.35199,23.549066,-29.335184,729027.1664,951.773069,765.967424,10204.70313,1611.50385,602.086364,7.878563,10.372741,10.583613,10.161869,38.028116,0.971554,2757.061534,2472.037924,2757.561534,1624.462076,23.555368,-29.370759,470038.9955,834.923607,562.972458,7228.640137,1039.0143,600.080589,7.543834,10.136041,10.242131,10.029952,42.532209,0.940815,2175.800881,1224.742806,2176.300881,2871.757194,23.550641,-29.506357,377286.3851,790.360067,477.360131,6458.570801,833.986016,599.81543,7.467595,10.023841,10.775066,9.272616,30.260808,0.908258,784.136974,1818.210625,784.636974,2278.289375,23.539064,-29.443258,718208.6352,947.654508,757.88025,10096.53418,1587.589645,608.609457,8.086735,10.39149,11.493361,9.289618,14.793009,0.941843
3,cpt1m013-fa14-20190812-0097-e91.fits,3,0,58708.50354,2458708.503542,2458708.509274,1.013453,70.124,10.049989,12,23,35,0.179579,0.463899,0.259382,0.196634,0.455234,0.000377,0.000749,0.000509,0.000442,0.000738,476.48602,619.159738,510.036632,445.329276,616.487947,2284646.538,1757.330657,2054.521005,2052.574614,2055.021005,2043.925386,23.549578,-29.416835,410273.4479,452.389342,801.123965,512.1223,5948.390625,906.903434,580.714862,1894,8.298462,10.385101,10.899734,9.870467,31.927101,0.949661,1999.064271,2807.145229,1999.564271,1289.354771,23.549067,-29.335186,723987.9177,946.243242,765.118191,9591.94043,1600.364664,584.588545,8.407231,10.617507,10.843857,10.391158,37.312748,0.974161,2757.103838,2472.043416,2757.603838,1624.456584,23.555368,-29.370759,470544.9969,830.525641,566.562877,6694.289062,1040.132808,580.749834,8.006598,10.440034,10.538692,10.341375,42.705801,0.944191,2175.881102,1224.687719,2176.381102,2871.812281,23.550641,-29.506361,375418.544,784.249435,478.697882,5815.927246,829.857181,581.467076,7.934314,10.256977,11.037381,9.476573,29.473892,0.91397,784.18135,1818.176442,784.68135,2278.323558,23.539064,-29.44326,714695.0794,942.345343,758.421617,9443.195312,1579.822982,588.26858,8.373925,10.665196,11.746291,9.584102,14.765573,0.946808
4,cpt1m013-fa14-20190812-0098-e91.fits,4,0,58708.50466,2458708.504657,2458708.510389,1.012525,70.071,9.971582,12,23,35,0.180196,0.465126,0.258707,0.197067,0.454284,0.000375,0.000747,0.000505,0.00044,0.000734,480.07243,622.387765,512.261324,448.35312,618.907363,2287994.003,1751.401836,2054.438617,2052.59113,2054.938617,2043.90887,23.549577,-29.416832,412287.0929,452.389342,798.711569,516.19021,6058.296875,911.354567,570.726511,1929,7.77047,10.314398,10.780291,9.848506,33.387998,0.947729,1998.946158,2807.17887,1999.446158,1289.32113,23.549066,-29.335181,726357.5923,944.033865,769.419,9722.96875,1605.602795,573.647159,8.061311,10.556308,10.697767,10.414849,40.130564,0.974907,2757.033464,2472.052599,2757.533464,1624.447401,23.555368,-29.370757,470260.601,826.537915,568.952244,6855.846191,1039.504156,570.803538,7.81254,10.316496,10.316545,10.316447,44.998851,0.943124,2175.781781,1224.725396,2176.281781,2871.774604,23.550641,-29.506357,376660.2653,781.244319,482.128646,5994.01416,832.601987,570.557405,7.800654,10.158085,10.899701,9.41647,30.224312,0.913279,784.106526,1818.163287,784.606526,2278.336713,23.539064,-29.44326,714715.5442,939.521604,760.722841,9516.754883,1579.868219,578.818812,8.362947,10.562598,11.614086,9.51111,15.267792,0.947611
5,cpt1m013-fa14-20190812-0099-e91.fits,5,0,58708.50577,2458708.505774,2458708.511506,1.011632,70.072,9.84353,12,23,35,0.179156,0.465011,0.258741,0.197269,0.454054,0.000373,0.000744,0.000503,0.000438,0.000731,480.168959,624.974085,514.176185,450.396337,621.094063,2302909.387,1755.968614,2054.218447,2052.492428,2054.718447,2044.007572,23.549577,-29.416825,412581.0551,452.389342,799.57926,515.997695,6436.000488,912.004366,571.678933,1861,7.653204,10.191181,10.609882,9.772481,34.635817,0.946285,1998.753978,2807.041376,1999.253978,1289.458624,23.549066,-29.335175,730969.3512,945.874597,772.797317,10198.33594,1615.797021,573.745244,8.079324,10.363981,10.477651,10.25031,41.076132,0.974197,2756.836808,2471.942709,2757.336808,1624.557291,23.555368,-29.370752,473375.0104,828.957337,571.048701,7263.044922,1046.388512,571.111488,7.999186,10.130465,10.11389,10.147039,45.383088,0.94012,2175.618174,1224.616764,2176.118174,2871.883236,23.55064,-29.506353,379440.9854,783.343252,484.386614,6410.477539,838.748728,569.02391,7.698911,9.974374,10.653185,9.295562,31.985979,0.904672,783.91754,1818.066318,784.41754,2278.433682,23.539063,-29.443251,719124.0402,942.311043,763.149329,10085.8457,1589.613135,577.850035,7.815444,10.398351,11.449814,9.346889,15.335628,0.945828
6,cpt1m013-fa14-20190812-0100-e91.fits,6,0,58708.5069,2458708.506895,2458708.512628,1.010776,70.087,9.31217,12,23,35,0.179504,0.465592,0.258106,0.197331,0.454238,0.000371,0.000741,0.0005,0.000435,0.000728,483.876325,628.45035,516.10464,454.085256,624.175168,2304555.117,1747.678887,2054.53103,2052.589814,2055.03103,2043.910186,23.549577,-29.416826,413675.8189,452.389342,795.281295,520.162893,6787.85791,914.424325,554.043846,1839,7.453889,9.982589,10.48225,9.482927,33.631539,0.93325,1999.019778,2807.194642,1999.519778,1289.305358,23.549066,-29.335173,732115.6296,941.997085,777.195218,10983.55664,1618.330852,558.814448,7.237353,10.266419,10.483912,10.048926,38.236055,0.967221,2757.134606,2472.035635,2757.634606,1624.464365,23.555368,-29.370754,472789.7399,825.278407,572.885145,7653.160645,1045.09478,556.281558,7.344817,10.049296,10.112465,9.986126,43.673605,0.926224,2175.878294,1224.700877,2176.378294,2871.799123,23.55064,-29.506354,379811.5778,777.309788,488.623176,7178.444824,839.567917,554.501228,7.144159,9.868735,10.674102,9.063368,30.592951,0.886833,784.173493,1818.177726,784.673493,2278.322274,23.539063,-29.443252,719838.1699,939.003743,766.597764,10756.91797,1591.191708,561.161963,7.537101,10.256776,11.413241,9.100311,15.86683,0.931454
7,cpt1m013-fa14-20190812-0101-e91.fits,7,0,58708.50801,2458708.508011,2458708.513744,1.009962,70.084,9.226606,12,23,35,0.178925,0.464075,0.258404,0.198098,0.454205,0.000369,0.000736,0.000497,0.000433,0.000724,485.375463,630.762202,519.646786,457.41829,627.604282,2305635.327,1739.365806,2054.3169,2052.549229,2054.8169,2043.950771,23.549577,-29.416824,412535.8854,452.389342,790.903322,521.600901,6632.487793,911.904519,537.201175,1883,7.232689,10.048047,10.567758,9.528336,32.748833,0.938117,1998.82216,2807.159887,1999.32216,1289.340113,23.549066,-29.33517,730828.2099,938.361732,778.834201,10541.96094,1615.48503,541.965266,7.460585,10.344575,10.524467,10.164684,39.237565,0.969715,2756.9216,2472.017351,2757.4216,1624.482649,23.555368,-29.37075,473445.0533,820.372227,577.110046,7241.69873,1046.543341,539.194347,7.322485,10.131167,10.200194,10.06214,43.495887,0.932584,2175.681913,1224.645262,2176.181913,2871.854738,23.55064,-29.506353,381221.9441,774.201047,492.406909,6732.04834,842.685511,537.165443,7.333793,9.941303,10.728829,9.153776,30.681906,0.892068,783.983906,1818.109601,784.483906,2278.390399,23.539064,-29.443251,720140.1196,934.062534,770.976346,10523.33008,1591.859163,543.148258,7.47131,10.329255,11.452703,9.205808,14.707456,0.93909
8,cpt1m013-fa14-20190812-0102-e91.fits,8,0,58708.50913,2458708.509126,2458708.514859,1.009185,70.072,9.081807,12,23,35,0.179936,0.463672,0.257785,0.197835,0.455818,0.00037,0.000736,0.000497,0.000433,0.000726,486.817582,630.21052,518.162093,457.21903,627.857303,2303037.799,1738.549824,2054.455104,2052.633806,2054.955104,2043.866194,23.549577,-29.416822,414400.1525,452.389342,791.677617,523.445584,6611.547852,916.025454,535.898405,1874,7.041725,10.134127,10.64014,9.628115,33.161705,0.938466,1998.951231,2807.21093,1999.451231,1289.28907,23.549066,-29.33517,729572.2998,937.780766,777.977462,10657.64356,1612.708859,540.131107,7.25577,10.406922,10.574237,10.239608,39.626099,0.970286,2757.064401,2472.092567,2757.564401,1624.407433,23.555368,-29.370748,472010.9631,820.799102,575.062718,7438.355469,1043.373305,539.035421,7.288387,10.150654,10.211012,10.090295,43.678858,0.933456,2175.820593,1224.742579,2176.320593,2871.757421,23.55064,-29.506353,380370.7177,772.766683,492.219354,6806.066895,840.803888,536.044678,7.0733,9.995965,10.792381,9.199549,29.930103,0.900553,784.120557,1818.173384,784.620557,2278.326616,23.539063,-29.443254,721083.8186,933.939619,772.088263,10574.89648,1593.945196,540.344117,7.523247,10.408947,11.542458,9.275435,14.717469,0.938919
9,cpt1m013-fa14-20190812-0103-e91.fits,9,0,58708.51024,2458708.510240,2458708.515973,1.008446,70.067,9.130751,12,23,35,0.179685,0.463565,0.25878,0.198436,0.453709,0.00037,0.000738,0.0005,0.000435,0.000726,485.035491,627.971056,517.209545,455.661332,625.01953,2286945.79,1732.821884,2054.313456,2052.583455,2054.813456,2043.916545,23.549577,-29.416823,410930.2884,452.389342,787.927658,521.533017,6491.351562,908.35537,534.953075,1903,7.142987,10.334809,10.831507,9.83811,32.901733,0.945254,1998.832844,2807.176897,1999.332844,1289.323103,23.549066,-29.33517,724359.7404,934.272736,775.31936,10012.42383,1601.186573,538.035378,7.601842,10.600025,10.775883,10.424166,39.091895,0.973758,2756.941708,2472.066592,2757.441708,1624.433408,23.555368,-29.370748,470150.354,818.596112,574.33739,7086.470703,1039.260456,536.347781,7.206831,10.368163,10.438571,10.297756,43.408369,0.940186,2175.737969,1224.698883,2176.237969,2871.801117,23.55064,-29.506352,378669.8814,771.90929,490.562669,6213.429199,837.044214,531.323464,7.255335,10.218041,11.013908,9.422173,29.973088,0.904413,783.983361,1818.157835,784.483361,2278.342165,23.539063,-29.443249,713765.8138,929.442084,767.950823,10252.44434,1577.768854,536.659023,7.364952,10.599339,11.709652,9.489026,14.898328,0.942973
10,cpt1m013-fa14-20190812-0105-e91.fits,10,0,58708.51247,2458708.512473,2458708.518206,1.007082,70.075,9.076479,12,23,35,0.179824,0.463216,0.259205,0.197358,0.455074,0.000369,0.000735,0.000499,0.000432,0.000725,486.986944,629.870137,519.485315,456.574463,627.546898,2288891.569,1728.121614,2054.465244,2052.561089,2054.965244,2043.938911,23.549577,-29.416819,411597.9557,452.389342,785.990257,523.668013,6355.615234,909.831239,523.564196,1896,7.195954,10.382235,10.83967,9.924799,34.361747,0.941257,1998.92156,2807.175886,1999.42156,1289.324114,23.549065,-29.335164,724603.8076,932.266041,777.250029,10548.71289,1601.72608,527.124373,7.066853,10.63982,10.775266,10.504373,40.628089,0.971958,2757.034632,2472.015653,2757.534632,1624.484347,23.555367,-29.370748,471164.6747,816.559184,577.012278,7329.291504,1041.502597,526.800864,7.074772,10.398969,10.38111,10.416829,45.38183,0.933584,2175.802643,1224.68119,2176.302643,2871.81881,23.55064,-29.506347,377272.9383,767.742779,491.405388,6312.184082,833.956292,521.584041,7.525594,10.237848,11.001075,9.47462,31.456078,0.893969,784.10602,1818.133154,784.60602,2278.366846,23.539063,-29.443243,715850.1488,927.947448,771.433932,10201.11035,1582.376246,526.28225,7.388473,10.658105,11.7414,9.57481,16.36939,0.942783
11,cpt1m013-fa14-20190812-0106-e91.fits,11,0,58708.51359,2458708.513592,2458708.519325,1.006452,70.072,9.031693,12,23,35,0.179481,0.464722,0.257465,0.197282,0.456026,0.00037,0.00074,0.000499,0.000433,0.000728,485.408849,628.400317,516.272462,455.685841,626.355449,2279833.54,1725.900015,2054.386845,2052.55225,2054.886845,2043.94775,23.549576,-29.416822,409187.6014,452.389342,783.997199,521.924826,6446.612305,904.503186,520.89788,1898,6.987523,10.376472,10.879837,9.873106,33.207264,0.941479,1998.896188,2807.202629,1999.396188,1289.297371,23.549065,-29.335165,723337.7065,932.440564,775.746717,10217.73926,1598.927382,525.612635,7.177949,10.639741,10.84565,10.433832,38.343657,0.971766,2757.018204,2472.088221,2757.518204,1624.411779,23.555367,-29.370743,466794.6307,814.908975,572.818124,7169.157227,1031.842679,527.488293,7.161492,10.395751,10.482738,10.308764,43.139641,0.933503,2175.79588,1224.677621,2176.29588,2871.822379,23.55064,-29.506347,375659.8137,765.833903,490.523875,6306.428223,830.390504,521.949697,7.360772,10.22085,11.023755,9.417946,30.534715,0.895809,784.084824,1818.138317,784.584824,2278.361683,23.539063,-29.443245,714041.3889,926.664584,770.549993,10115.05273,1578.378008,524.333101,7.394247,10.686133,11.803775,9.56849,15.984755,0.94051
12,cpt1m013-fa14-20190812-0107-e91.fits,12,0,58708.51471,2458708.514712,2458708.520445,1.005863,70.072,8.829966,12,23,35,0.179104,0.463006,0.258506,0.19842,0.454649,0.000368,0.000734,0.000497,0.000432,0.000723,486.770022,631.054094,519.941754,459.332013,628.6532,2295958.877,1729.695606,2054.333268,2052.571709,2054.833268,2043.928291,23.549576,-29.41682,411214.4203,452.389342,785.928395,523.221228,6572.821777,908.98344,525.976247,1922,6.955754,10.317761,10.858003,9.777518,33.147474,0.93252,1998.793819,2807.189752,1999.293819,1289.310248,23.549065,-29.335164,726614.9173,933.367554,778.487439,10804.37598,1606.171609,529.642449,7.017863,10.57757,10.781587,10.373554,38.788235,0.967873,2756.932175,2472.066972,2757.432175,1624.433028,23.555367,-29.370744,471606.6485,816.935395,577.287569,7117.491699,1042.479574,529.859031,6.979512,10.320512,10.403173,10.23785,43.290805,0.927835,2175.746423,1224.706303,2176.246423,2871.793697,23.55064,-29.506347,380137.6973,768.344858,494.748801,6640.504883,840.2888,524.944613,7.170814,10.192286,11.049542,9.33503,30.101397,0.887015,783.982412,1818.146932,784.482412,2278.353068,23.539063,-29.443244,717599.6141,928.942751,772.490676,10332.30371,1586.243413,528.966839,6.994193,10.59713,11.774399,9.41986,15.185234,0.935288
13,cpt1m013-fa14-20190812-0108-e91.fits,13,0,58708.51583,2458708.515825,2458708.521558,1.005312,70.076,8.716066,12,23,35,0.179687,0.463739,0.25871,0.196822,0.456012,0.000369,0.000737,0.000499,0.000432,0.000727,486.633346,629.238646,518.707387,455.207293,627.013307,2286077.079,1728.100929,2054.48633,2052.65859,2054.98633,2043.84141,23.549576,-29.416821,410779.196,452.389342,784.936316,523.328056,6563.016602,908.021383,525.812097,1915,6.780142,10.35262,10.891515,9.813725,32.635143,0.938402,1998.987288,2807.298817,1999.487288,1289.201183,23.549065,-29.335164,724270.8694,932.558833,776.648983,10734.45703,1600.990125,532.213773,6.902813,10.626968,10.875364,10.378572,36.9555,0.971576,2757.08381,2472.17646,2757.58381,1624.32354,23.555367,-29.370742,469870.3464,815.602238,576.102326,7497.848633,1038.641503,531.068694,6.935628,10.385385,10.467885,10.302885,43.177015,0.937587,2175.886911,1224.793671,2176.386911,2871.706329,23.55064,-29.506346,375954.1575,767.622741,489.764226,6314.19873,831.041146,527.035708,6.971989,10.1953,11.047203,9.343398,29.888086,0.891306,784.137818,1818.211362,784.637818,2278.288638,23.539063,-29.443248,715981.7055,928.555416,771.070518,10287.77832,1582.66705,529.801727,7.159792,10.639447,11.815123,9.46377,14.489298,0.937707
14,cpt1m013-fa14-20190812-0110-e91.fits,14,0,58708.51806,2458708.518057,2458708.523790,1.004319,70.079,9.124941,12,23,35,0.180012,0.463296,0.259618,0.197766,0.453842,0.00037,0.000736,0.000499,0.000433,0.000724,487.169758,629.352161,520.047999,457.086175,626.773743,2282705.79,1724.178753,2054.338305,2052.591949,2054.838305,2043.908051,23.549576,-29.41682,410914.2523,452.389342,784.292346,523.929953,6152.341797,908.319923,520.525009,1915,7.075699,10.438224,10.970535,9.905913,32.47947,0.942237,1998.861674,2807.245822,1999.361674,1289.254178,23.549066,-29.335163,722730.8712,930.967708,776.32217,10066.87305,1597.585982,524.874488,7.331128,10.682139,10.877927,10.48635,38.81876,0.970704,2756.947401,2472.133383,2757.447401,1624.366617,23.555367,-29.37074,470485.1645,814.110293,577.913298,6834.217773,1040.00055,523.574206,7.292819,10.436179,10.506294,10.366065,43.444663,0.938692,2175.756175,1224.69847,2176.256175,2871.80153,23.55064,-29.506346,376903.6182,765.900001,492.10552,6079.814453,833.139915,519.888088,7.65,10.277082,11.027989,9.526174,31.313234,0.900058,784.01501,1818.116772,784.51501,2278.383228,23.539063,-29.44325,712586.1363,925.587985,769.874013,9888.044922,1575.161194,523.575426,7.558993,10.676387,11.777687,9.575087,15.754925,0.942669
15,cpt1m013-fa14-20190812-0111-e91.fits,15,0,58708.51917,2458708.519172,2458708.524905,1.003879,70.088,8.920488,12,23,35,0.179338,0.464711,0.258985,0.197225,0.45409,0.000369,0.000737,0.000498,0.000432,0.000724,486.274133,630.734873,519.867086,456.550534,626.840577,2290306.186,1728.744317,2054.530057,2052.527855,2055.030057,2043.972145,23.549577,-29.416818,410739.0264,452.389342,785.710882,522.761025,6446.250488,907.932589,522.880889,1778,7.087377,10.272401,10.784856,9.759947,33.718351,0.932722,1999.013294,2807.159822,1999.513294,1289.340178,23.549066,-29.335162,726648.7375,932.561753,779.196375,10410.16895,1606.246368,527.585448,6.994796,10.600908,10.77803,10.423787,39.626219,0.967908,2757.096492,2472.017448,2757.596492,1624.482552,23.555367,-29.370743,471136.873,815.78192,577.527966,7265.481445,1041.441142,526.626899,7.010036,10.364395,10.422137,10.306653,43.776594,0.931887,2175.884599,1224.634176,2176.384599,2871.865824,23.55064,-29.506346,377293.2786,767.8698,491.350589,6300.024902,834.001254,522.92271,6.95016,10.132787,10.961985,9.30359,30.182074,0.891903,784.188389,1818.067999,784.688389,2278.432001,23.539064,-29.443245,715227.2972,929.387605,769.568363,10247.99414,1580.999441,525.148882,7.435131,10.569525,11.714523,9.424527,15.345524,0.937985
16,cpt1m013-fa14-20190812-0112-e91.fits,16,0,58708.52029,2458708.520285,2458708.526018,1.003476,70.083,8.960892,12,23,35,0.179967,0.464097,0.259189,0.197093,0.454617,0.000369,0.000736,0.000499,0.000432,0.000725,487.146959,630.317146,519.937484,456.199016,627.266906,2290451.021,1729.005379,2054.357659,2052.672337,2054.857659,2043.827663,23.549577,-29.416816,412205.0582,452.389342,786.871498,523.853081,6432.463379,911.17323,524.465409,1846,6.895937,10.366059,10.86038,9.871737,33.513839,0.940555,1998.805219,2807.267903,1999.305219,1289.232097,23.549065,-29.335163,726038.5741,932.932962,778.23231,10387.68359,1604.89761,528.860689,7.134715,10.612415,10.798326,10.426503,39.125016,0.970417,2756.929452,2472.156838,2757.429452,1624.343162,23.555367,-29.370741,471462.5773,816.180053,577.645307,7199.373535,1042.161106,526.704686,7.075041,10.360665,10.406587,10.314743,44.002682,0.935136,2175.758887,1224.779063,2176.258887,2871.720937,23.55064,-29.506345,377106.3666,768.18477,490.90581,6066.450684,833.588088,525.265049,7.272603,10.176715,10.957558,9.395873,31.012886,0.894223,784.005012,1818.217954,784.505012,2278.282046,23.539063,-29.443243,715843.503,928.890721,770.6434,10076.6416,1582.361555,526.840854,7.505675,10.632069,11.768871,9.495266,15.348783,0.939542
17,cpt1m013-fa14-20190812-0113-e91.fits,17,0,58708.5214,2458708.521400,2458708.527133,1.003109,70.084,9.167177,12,23,35,0.180423,0.464945,0.258083,0.197417,0.454779,0.000371,0.000741,0.0005,0.000434,0.000727,486.405393,627.864045,515.900555,454.507253,625.134999,2280105.009,1728.718438,2054.422962,2052.662185,2054.922962,2043.837815,23.549577,-29.416823,411383.1194,452.389342,786.149636,523.28857,6035.725098,909.356347,527.634217,1946,7.29004,10.504284,10.957769,10.050799,33.958515,0.947449,1998.900845,2807.323055,1999.400845,1289.176945,23.549066,-29.335163,723660.8503,933.06175,775.57659,10250.99902,1599.641687,531.971519,7.222819,10.753025,10.911343,10.594707,39.610048,0.975225,2756.991805,2472.211546,2757.491805,1624.288454,23.555368,-29.370741,467740.528,816.953877,572.542149,6985.911133,1033.933571,533.627336,7.289202,10.502942,10.552792,10.453091,43.90491,0.938304,2175.807014,1224.814553,2176.307014,2871.685447,23.55064,-29.506346,375919.2123,768.523531,489.1447,5919.390137,830.963901,528.805573,7.144371,10.359028,11.086638,9.631417,31.208676,0.908855,784.04359,1818.231956,784.54359,2278.268044,23.539063,-29.443248,712784.4184,927.265418,768.695138,9478.830078,1575.599494,532.143636,7.928562,10.748784,11.828516,9.669051,15.320996,0.946558
18,cpt1m013-fa14-20190812-0114-e91.fits,18,0,58708.52251,2458708.522513,2458708.528246,1.00278,70.072,9.253685,12,23,35,0.180106,0.463692,0.258412,0.197744,0.455094,0.000371,0.000739,0.000499,0.000434,0.000728,485.999276,627.802303,517.830225,455.34499,625.488735,2284718.019,1730.455768,2054.496621,2052.581761,2054.996621,2043.918239,23.549577,-29.416817,411491.8561,452.389342,787.243497,522.699593,6097.42334,909.596707,529.889738,1872,7.208644,10.478392,10.909383,10.0474,34.873102,0.943722,1998.956802,2807.200236,1999.456802,1289.299764,23.549065,-29.335161,723789.4553,934.362277,774.634714,10162.00977,1599.925966,534.30912,7.38193,10.75229,10.870514,10.634065,41.054238,0.974353,2757.086498,2472.102479,2757.586498,1624.397521,23.555368,-29.370738,469161.1133,815.676138,575.180628,6907.962891,1037.073754,533.492533,7.382973,10.510607,10.476221,10.544992,45.760375,0.939218,2175.879677,1224.729255,2176.379677,2871.770745,23.55064,-29.506342,377200.7904,769.602957,490.123884,5965.375488,833.79681,529.217067,7.278066,10.357697,11.063865,9.651529,31.962945,0.904646,784.148216,1818.171092,784.648216,2278.328908,23.539063,-29.443239,714566.6596,929.423492,768.827844,9945.350586,1579.539112,533.083253,7.849634,10.792103,11.823808,9.760398,16.323064,0.949369
19,cpt1m013-fa14-20190812-0115-e91.fits,19,0,58708.52363,2458708.523630,2458708.529363,1.002485,70.08,9.191683,12,23,35,0.179138,0.463763,0.259756,0.197363,0.453793,0.000369,0.000738,0.000501,0.000433,0.000726,485.248483,628.308458,518.884442,455.455536,625.072871,2290574.415,1734.190379,2054.426436,2052.698444,2054.926436,2043.801556,23.549577,-29.416816,410328.0665,452.389342,786.47142,521.732966,6130.729004,907.024168,529.256715,1789,7.132661,10.392886,10.835282,9.95049,34.751729,0.941098,1998.88775,2807.336437,1999.38775,1289.163563,23.549065,-29.33516,725721.2228,935.744334,775.555028,10151.46875,1604.19611,535.327625,7.236493,10.670082,10.795688,10.544475,41.133803,0.969389,2757.002353,2472.215509,2757.502353,1624.284491,23.555367,-29.370739,472306.1147,819.067332,576.638936,6966.973633,1044.025733,533.541255,7.336025,10.449128,10.465517,10.432739,44.648406,0.93467,2175.839372,1224.806871,2176.339372,2871.693129,23.55064,-29.506344,377558.0568,770.160524,490.232939,6118.175293,834.586542,529.059547,7.130725,10.224755,10.995504,9.454006,31.238622,0.894759,784.080128,1818.268312,784.580128,2278.231688,23.539063,-29.443239,714989.0205,931.547253,767.528451,10083.90723,1580.472734,535.235391,7.868824,10.645735,11.736277,9.555193,16.169056,0.942415
